"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","54773","2455"
"Any Chronic Condition","Male","44808","2736"
"Any Chronic Condition","Total","99894","5192"
"Any Chronic Condition","Unknown","313","1"
"Cardiovascular Disease","Female","17180","1578"
"Cardiovascular Disease","Male","14740","1783"
"Cardiovascular Disease","Total","31987","3361"
"Cardiovascular Disease","Unknown","67","0"
"Chronic Liver Disease","Female","668","68"
"Chronic Liver Disease","Male","605","101"
"Chronic Liver Disease","Total","1275","169"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","15901","724"
"Chronic Lung Disease","Male","9991","728"
"Chronic Lung Disease","Total","25994","1452"
"Chronic Lung Disease","Unknown","102","0"
"Chronic Renal Disease","Female","3175","617"
"Chronic Renal Disease","Male","2903","721"
"Chronic Renal Disease","Total","6095","1338"
"Chronic Renal Disease","Unknown","17","0"
"Currently Pregnant","Female","2777","4"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2782","4"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","15852","1034"
"Diabetes Mellitus","Male","13377","1275"
"Diabetes Mellitus","Total","29308","2310"
"Diabetes Mellitus","Unknown","79","1"
"ICU","Female","2868","1067"
"ICU","Male","3653","1453"
"ICU","Total","6536","2522"
"ICU","Unknown","15","2"
"Immunocompromised Condition","Female","5298","301"
"Immunocompromised Condition","Male","3256","359"
"Immunocompromised Condition","Total","8569","660"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","87297","662"
"Missing/Unknown status on all conditions","Male","82357","753"
"Missing/Unknown status on all conditions","Total","174692","1419"
"Missing/Unknown status on all conditions","Unknown","5038","4"
"Neurologic/Neurodevelopmental","Female","3982","727"
"Neurologic/Neurodevelopmental","Male","2719","623"
"Neurologic/Neurodevelopmental","Total","6724","1350"
"Neurologic/Neurodevelopmental","Unknown","23","0"
"None of the above conditions","Female","131848","3114"
"None of the above conditions","Male","106629","3327"
"None of the above conditions","Total","239559","6442"
"None of the above conditions","Unknown","1082","1"
"Other Chronic Diseases","Female","8494","773"
"Other Chronic Diseases","Male","5417","762"
"Other Chronic Diseases","Total","13957","1535"
"Other Chronic Diseases","Unknown","46","0"
"Smoker","Female","13989","334"
"Smoker","Male","17955","663"
"Smoker","Total","32027","997"
"Smoker","Unknown","83","0"
"Total with completed information","Female","137492","3546"
"Total with completed information","Male","111631","3831"
"Total with completed information","Total","250237","7379"
"Total with completed information","Unknown","1114","2"
