"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","122658","4728"
"Any Chronic Condition","Male","97636","5440"
"Any Chronic Condition","Total","220755","10170"
"Any Chronic Condition","Unknown","461","2"
"Any Disability","Female","9023","1310"
"Any Disability","Male","6898","1175"
"Any Disability","Total","15950","2486"
"Any Disability","Unknown","29","1"
"Cardiovascular Disease","Female","25964","2604"
"Cardiovascular Disease","Male","23661","3119"
"Cardiovascular Disease","Total","49697","5724"
"Cardiovascular Disease","Unknown","72","1"
"Chronic Liver Disease","Female","1393","132"
"Chronic Liver Disease","Male","1205","193"
"Chronic Liver Disease","Total","2604","325"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","32199","1327"
"Chronic Lung Disease","Male","20465","1373"
"Chronic Lung Disease","Total","52763","2700"
"Chronic Lung Disease","Unknown","99","0"
"Chronic Renal Disease","Female","5511","1089"
"Chronic Renal Disease","Male","5423","1349"
"Chronic Renal Disease","Total","10952","2438"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5269","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5275","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","29460","1943"
"Diabetes Mellitus","Male","25460","2424"
"Diabetes Mellitus","Total","55011","4368"
"Diabetes Mellitus","Unknown","91","1"
"Hypertension/High blood pressure","Female","19293","879"
"Hypertension/High blood pressure","Male","15230","952"
"Hypertension/High blood pressure","Total","34616","1831"
"Hypertension/High blood pressure","Unknown","93","0"
"ICU","Female","4771","1954"
"ICU","Male","6098","2625"
"ICU","Total","10882","4580"
"ICU","Unknown","13","1"
"Immunocompromised Condition","Female","10993","616"
"Immunocompromised Condition","Male","6408","710"
"Immunocompromised Condition","Total","17429","1326"
"Immunocompromised Condition","Unknown","28","0"
"Missing/Unknown status on all conditions","Female","199459","842"
"Missing/Unknown status on all conditions","Male","183803","1007"
"Missing/Unknown status on all conditions","Total","390505","1851"
"Missing/Unknown status on all conditions","Unknown","7243","2"
"None of the above conditions","Female","270171","7088"
"None of the above conditions","Male","219652","7990"
"None of the above conditions","Total","491238","15080"
"None of the above conditions","Unknown","1415","2"
"Obesity (BMI>40)","Female","6755","191"
"Obesity (BMI>40)","Male","3655","170"
"Obesity (BMI>40)","Total","10424","361"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","34696","2132"
"Other Chronic Diseases","Male","22879","2179"
"Other Chronic Diseases","Total","57695","4311"
"Other Chronic Diseases","Unknown","120","0"
"Smoker","Female","28004","719"
"Smoker","Male","34557","1377"
"Smoker","Total","62664","2096"
"Smoker","Unknown","103","0"
"Total with completed information","Female","280219","7775"
"Total with completed information","Male","228471","8759"
"Total with completed information","Total","510150","16537"
"Total with completed information","Unknown","1460","3"
