"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","107485","4026"
"Any Chronic Condition","Male","85560","4717"
"Any Chronic Condition","Total","193748","8746"
"Any Chronic Condition","Unknown","703","3"
"Any Disability","Female","7623","1106"
"Any Disability","Male","5713","1024"
"Any Disability","Total","13388","2132"
"Any Disability","Unknown","52","2"
"Cardiovascular Disease","Female","24410","2289"
"Cardiovascular Disease","Male","22128","2781"
"Cardiovascular Disease","Total","46664","5071"
"Cardiovascular Disease","Unknown","126","1"
"Chronic Liver Disease","Female","1214","112"
"Chronic Liver Disease","Male","1067","162"
"Chronic Liver Disease","Total","2289","274"
"Chronic Liver Disease","Unknown","8","0"
"Chronic Lung Disease","Female","28264","1128"
"Chronic Lung Disease","Male","18013","1185"
"Chronic Lung Disease","Total","46439","2313"
"Chronic Lung Disease","Unknown","162","0"
"Chronic Renal Disease","Female","4973","922"
"Chronic Renal Disease","Male","4889","1157"
"Chronic Renal Disease","Total","9891","2080"
"Chronic Renal Disease","Unknown","29","1"
"Currently Pregnant","Female","4531","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4543","6"
"Currently Pregnant","Unknown","12","0"
"Diabetes Mellitus","Female","26421","1657"
"Diabetes Mellitus","Male","22921","2087"
"Diabetes Mellitus","Total","49487","3745"
"Diabetes Mellitus","Unknown","145","1"
"Hypertension/High blood pressure","Female","12816","448"
"Hypertension/High blood pressure","Male","10152","549"
"Hypertension/High blood pressure","Total","23063","998"
"Hypertension/High blood pressure","Unknown","95","1"
"ICU","Female","4116","1669"
"ICU","Male","5342","2290"
"ICU","Total","9477","3962"
"ICU","Unknown","19","3"
"Immunocompromised Condition","Female","9644","511"
"Immunocompromised Condition","Male","5719","607"
"Immunocompromised Condition","Total","15397","1118"
"Immunocompromised Condition","Unknown","34","0"
"Missing/Unknown status on all conditions","Female","201160","834"
"Missing/Unknown status on all conditions","Male","183824","1025"
"Missing/Unknown status on all conditions","Total","394936","1866"
"Missing/Unknown status on all conditions","Unknown","9952","7"
"None of the above conditions","Female","235493","5989"
"None of the above conditions","Male","190337","6831"
"None of the above conditions","Total","427813","12823"
"None of the above conditions","Unknown","1983","3"
"Obesity (BMI>40)","Female","4265","93"
"Obesity (BMI>40)","Male","2374","97"
"Obesity (BMI>40)","Total","6659","190"
"Obesity (BMI>40)","Unknown","20","0"
"Other Chronic Diseases","Female","32434","1931"
"Other Chronic Diseases","Male","21513","2011"
"Other Chronic Diseases","Total","54159","3943"
"Other Chronic Diseases","Unknown","212","1"
"Smoker","Female","24278","574"
"Smoker","Male","30099","1138"
"Smoker","Total","54541","1712"
"Smoker","Unknown","164","0"
"Total with completed information","Female","245789","6671"
"Total with completed information","Male","199445","7603"
"Total with completed information","Total","447315","14279"
"Total with completed information","Unknown","2081","5"
