"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","116226","4422"
"Any Chronic Condition","Male","92452","5093"
"Any Chronic Condition","Total","209224","9523"
"Any Chronic Condition","Unknown","546","8"
"Any Disability","Female","8387","1225"
"Any Disability","Male","6369","1109"
"Any Disability","Total","14794","2339"
"Any Disability","Unknown","38","5"
"Cardiovascular Disease","Female","25337","2474"
"Cardiovascular Disease","Male","23041","2971"
"Cardiovascular Disease","Total","48463","5448"
"Cardiovascular Disease","Unknown","85","3"
"Chronic Liver Disease","Female","1307","123"
"Chronic Liver Disease","Male","1142","177"
"Chronic Liver Disease","Total","2457","301"
"Chronic Liver Disease","Unknown","8","1"
"Chronic Lung Disease","Female","30563","1243"
"Chronic Lung Disease","Male","19446","1288"
"Chronic Lung Disease","Total","50140","2533"
"Chronic Lung Disease","Unknown","131","2"
"Chronic Renal Disease","Female","5266","1007"
"Chronic Renal Disease","Male","5188","1258"
"Chronic Renal Disease","Total","10477","2266"
"Chronic Renal Disease","Unknown","23","1"
"Currently Pregnant","Female","4909","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4919","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","28146","1804"
"Diabetes Mellitus","Male","24349","2255"
"Diabetes Mellitus","Total","52609","4063"
"Diabetes Mellitus","Unknown","114","4"
"Hypertension/High blood pressure","Female","16353","630"
"Hypertension/High blood pressure","Male","12835","719"
"Hypertension/High blood pressure","Total","29286","1353"
"Hypertension/High blood pressure","Unknown","98","4"
"ICU","Female","4434","1797"
"ICU","Male","5692","2441"
"ICU","Total","10143","4242"
"ICU","Unknown","17","4"
"Immunocompromised Condition","Female","10417","563"
"Immunocompromised Condition","Male","6130","657"
"Immunocompromised Condition","Total","16579","1222"
"Immunocompromised Condition","Unknown","32","2"
"Missing/Unknown status on all conditions","Female","203916","850"
"Missing/Unknown status on all conditions","Male","187009","1035"
"Missing/Unknown status on all conditions","Total","399904","1893"
"Missing/Unknown status on all conditions","Unknown","8979","8"
"None of the above conditions","Female","255356","6687"
"None of the above conditions","Male","206962","7556"
"None of the above conditions","Total","463973","14254"
"None of the above conditions","Unknown","1655","11"
"Obesity (BMI>40)","Female","5683","134"
"Obesity (BMI>40)","Male","3069","126"
"Obesity (BMI>40)","Total","8771","261"
"Obesity (BMI>40)","Unknown","19","1"
"Other Chronic Diseases","Female","33653","2037"
"Other Chronic Diseases","Male","22204","2094"
"Other Chronic Diseases","Total","56007","4134"
"Other Chronic Diseases","Unknown","150","3"
"Smoker","Female","26426","642"
"Smoker","Male","32635","1251"
"Smoker","Total","59176","1893"
"Smoker","Unknown","115","0"
"Total with completed information","Female","265710","7388"
"Total with completed information","Male","216087","8331"
"Total with completed information","Total","483514","15732"
"Total with completed information","Unknown","1717","13"
