"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","44004","2132"
"Any Chronic Condition","Male","35907","2372"
"Any Chronic Condition","Total","80330","4506"
"Any Chronic Condition","Unknown","419","2"
"Cardiovascular Disease","Female","14026","1384"
"Cardiovascular Disease","Male","11900","1563"
"Cardiovascular Disease","Total","26021","2947"
"Cardiovascular Disease","Unknown","95","0"
"Chronic Liver Disease","Female","549","57"
"Chronic Liver Disease","Male","489","82"
"Chronic Liver Disease","Total","1041","139"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","12613","642"
"Chronic Lung Disease","Male","7879","621"
"Chronic Lung Disease","Total","20633","1263"
"Chronic Lung Disease","Unknown","141","0"
"Chronic Renal Disease","Female","2656","533"
"Chronic Renal Disease","Male","2454","636"
"Chronic Renal Disease","Total","5131","1169"
"Chronic Renal Disease","Unknown","21","0"
"Currently Pregnant","Female","2316","4"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2328","4"
"Currently Pregnant","Unknown","12","0"
"Diabetes Mellitus","Female","13067","903"
"Diabetes Mellitus","Male","10892","1104"
"Diabetes Mellitus","Total","24068","2009"
"Diabetes Mellitus","Unknown","109","2"
"ICU","Female","2479","912"
"ICU","Male","3149","1237"
"ICU","Total","5654","2152"
"ICU","Unknown","26","3"
"Immunocompromised Condition","Female","4178","255"
"Immunocompromised Condition","Male","2614","314"
"Immunocompromised Condition","Total","6820","569"
"Immunocompromised Condition","Unknown","28","0"
"Missing/Unknown status on all conditions","Female","70671","597"
"Missing/Unknown status on all conditions","Male","66347","691"
"Missing/Unknown status on all conditions","Total","143002","1292"
"Missing/Unknown status on all conditions","Unknown","5984","4"
"Neurologic/Neurodevelopmental","Female","3299","627"
"Neurologic/Neurodevelopmental","Male","2261","555"
"Neurologic/Neurodevelopmental","Total","5591","1182"
"Neurologic/Neurodevelopmental","Unknown","31","0"
"None of the above conditions","Female","102719","2646"
"None of the above conditions","Male","82675","2793"
"None of the above conditions","Total","186748","5440"
"None of the above conditions","Unknown","1354","1"
"Other Chronic Diseases","Female","7004","673"
"Other Chronic Diseases","Male","4506","681"
"Other Chronic Diseases","Total","11558","1354"
"Other Chronic Diseases","Unknown","48","0"
"Smoker","Female","11151","280"
"Smoker","Male","14309","558"
"Smoker","Total","25580","838"
"Smoker","Unknown","120","0"
"Total with completed information","Female","107800","3050"
"Total with completed information","Male","87167","3262"
"Total with completed information","Total","196382","6315"
"Total with completed information","Unknown","1415","3"
