"county","collection_dt","ALL PCR tests performed","Running total of all PCR tests","All PCR positive tests","Running total of all PCR tests","7 day percent positive","14 day percent positive"
"Georgia","2020-03-14","376","2873","83","414","13.8","16.7"
"Georgia","2020-03-15","545","3418","118","532","14","18.2"
"Georgia","2020-03-16","1654","5072","220","752","15.2","15.6"
"Georgia","2020-03-17","2098","7170","287","1039","16.2","14.2"
"Georgia","2020-03-18","1920","9090","283","1322","16.5","14.4"
"Georgia","2020-03-19","2120","11210","308","1630","17","14.3"
"Georgia","2020-03-20","2387","13597","389","2019","16.6","14.9"
"Georgia","2020-03-21","895","14492","187","2206","16.4","15.1"
"Georgia","2020-03-22","915","15407","218","2424","16.8","15.4"
"Georgia","2020-03-23","3014","18421","615","3039","17.8","16.5"
"Georgia","2020-03-24","3344","21765","649","3688","18.6","17.4"
"Georgia","2020-03-25","3335","25100","645","4333","19.2","17.9"
"Georgia","2020-03-26","3145","28245","609","4942","19.9","18.5"
"Georgia","2020-03-27","3031","31276","646","5588","20.6","18.6"
"Georgia","2020-03-28","1134","32410","340","5928","21.9","19.2"
"Georgia","2020-03-29","954","33364","308","6236","23.2","20"
"Georgia","2020-03-30","3407","36771","752","6988","23.4","20.6"
"Georgia","2020-03-31","2855","39626","615","7603","23.7","21.1"
"Georgia","2020-04-01","3340","42966","677","8280","23.8","21.5"
"Georgia","2020-04-02","3284","46250","554","8834","23.5","21.7"
"Georgia","2020-04-03","3458","49708","640","9474","23.1","21.9"
"Georgia","2020-04-04","1650","51358","297","9771","21.4","21.7"
"Georgia","2020-04-05","860","52218","173","9944","19.6","21.4"
"Georgia","2020-04-06","4066","56284","733","10677","19","21.2"
"Georgia","2020-04-07","4698","60982","664","11341","18","20.8"
"Georgia","2020-04-08","4865","65847","687","12028","17.1","20.5"
"Georgia","2020-04-09","4590","70437","774","12802","17.1","20.3"
"Georgia","2020-04-10","5204","75641","900","13702","16.9","20"
"Georgia","2020-04-11","2467","78108","341","14043","16.3","18.9"
"Georgia","2020-04-12","966","79074","224","14267","16.8","18.2"
"Georgia","2020-04-13","4689","83763","786","15053","16.6","17.8"
"Georgia","2020-04-14","5610","89373","801","15854","16.6","17.3"
"Georgia","2020-04-15","5436","94809","712","16566","16.5","16.8"
"Georgia","2020-04-16","6332","101141","793","17359","15.9","16.5"
"Georgia","2020-04-17","6870","108011","804","18163","15.1","16"
"Georgia","2020-04-18","3524","111535","449","18612","14.9","15.6"
"Georgia","2020-04-19","2087","113622","421","19033","14.5","15.6"
"Georgia","2020-04-20","7994","121616","889","19922","13.7","15.1"
"Georgia","2020-04-21","8929","130545","917","20839","13.1","14.9"
"Georgia","2020-04-22","8723","139268","870","21709","12.6","14.6"
"Georgia","2020-04-23","6547","145815","654","22363","12.3","14.1"
"Georgia","2020-04-24","9496","155311","719","23082","11.7","13.4"
"Georgia","2020-04-25","4848","160159","348","23430","10.9","12.9"
"Georgia","2020-04-26","2124","162283","260","23690","9.8","12.1"
"Georgia","2020-04-27","8460","170743","901","24591","9.7","11.7"
"Georgia","2020-04-28","10108","180851","906","25497","9.5","11.3"
"Georgia","2020-04-29","10779","191630","887","26384","9.3","11"
"Georgia","2020-04-30","11152","202782","802","27186","8.9","10.6"
"Georgia","2020-05-01","10713","213495","886","28072","9","10.3"
"Georgia","2020-05-02","5695","219190","452","28524","9.1","10"
"Georgia","2020-05-03","3543","222733","289","28813","8.5","9.1"
"Georgia","2020-05-04","10922","233655","962","29775","8.2","9"
"Georgia","2020-05-05","9665","243320","587","30362","7.8","8.7"
"Georgia","2020-05-06","11026","254346","589","30951","7.4","8.3"
"Georgia","2020-05-07","9156","263502","597","31548","7.3","8.1"
"Georgia","2020-05-08","11777","275279","754","32302","7","8"
"Georgia","2020-05-09","6465","281744","403","32705","6.8","7.9"
"Georgia","2020-05-10","2277","284021","254","32959","7.2","7.9"
"Georgia","2020-05-11","13577","297598","833","33792","6.8","7.5"
"Georgia","2020-05-12","13713","311311","710","34502","6.7","7.3"
"Georgia","2020-05-13","12719","324030","679","35181","6.7","7.1"
"Georgia","2020-05-14","13469","337499","792","35973","6.6","7"
"Georgia","2020-05-15","15198","352697","930","36903","6.6","6.8"
"Georgia","2020-05-16","7325","360022","551","37454","6.8","6.8"
"Georgia","2020-05-17","3707","363729","306","37760","6.3","6.8"
"Georgia","2020-05-18","12589","376318","920","38680","6.5","6.7"
"Georgia","2020-05-19","14790","391108","923","39603","6.7","6.7"
"Georgia","2020-05-20","14381","405489","766","40369","6.7","6.7"
"Georgia","2020-05-21","13227","418716","762","41131","6.6","6.6"
"Georgia","2020-05-22","12947","431663","750","41881","6.6","6.6"
"Georgia","2020-05-23","6391","438054","441","42322","6.5","6.6"
"Georgia","2020-05-24","3343","441397","265","42587","6.5","6.4"
"Georgia","2020-05-25","3165","444562","205","42792","6.3","6.4"
"Georgia","2020-05-26","15601","460163","1100","43892","6.5","6.6"
"Georgia","2020-05-27","15082","475245","801","44693","6.5","6.6"
"Georgia","2020-05-28","14348","489593","742","45435","6.4","6.5"
"Georgia","2020-05-29","13134","502727","746","46181","6.4","6.5"
"Georgia","2020-05-30","6389","509116","417","46598","6.3","6.4"
"Georgia","2020-05-31","3381","512497","231","46829","6.1","6.3"
"Georgia","2020-06-01","13558","526055","938","47767","6.2","6.3"
"Georgia","2020-06-02","14179","540234","913","48680","6.1","6.3"
"Georgia","2020-06-03","15068","555302","902","49582","6.2","6.3"
"Georgia","2020-06-04","14541","569843","878","50460","6.3","6.4"
"Georgia","2020-06-05","13145","582988","818","51278","6.4","6.4"
"Georgia","2020-06-06","7721","590709","515","51793","6.4","6.4"
"Georgia","2020-06-07","3524","594233","336","52129","6.8","6.5"
"Georgia","2020-06-08","14833","609066","1082","53211","6.9","6.5"
"Georgia","2020-06-09","14577","623643","907","54118","6.9","6.5"
"Georgia","2020-06-10","15304","638947","1157","55275","7.1","6.6"
"Georgia","2020-06-11","16680","655627","1174","56449","7.2","6.8"
"Georgia","2020-06-12","14462","670089","952","57401","7.3","6.8"
"Georgia","2020-06-13","7479","677568","658","58059","7.6","7"
"Georgia","2020-06-14","4043","681611","420","58479","7.7","7.3"
"Georgia","2020-06-15","17921","699532","1460","59939","7.8","7.4"
"Georgia","2020-06-16","18059","717591","1439","61378","8.1","7.5"
"Georgia","2020-06-17","16903","734494","1703","63081","8.4","7.8"
"Georgia","2020-06-18","17701","752195","1768","64849","8.8","8"
"Georgia","2020-06-19","18416","770611","1805","66654","9.3","8.3"
"Georgia","2020-06-20","9640","780251","1180","67834","9.8","8.7"
"Georgia","2020-06-21","3904","784155","562","68396","10.4","9"
"Georgia","2020-06-22","24442","808597","3109","71505","11","9.4"
"Georgia","2020-06-23","22424","831021","2584","74089","11.5","9.8"
"Georgia","2020-06-24","22977","853998","2768","76857","11.8","10.1"
"Georgia","2020-06-25","25410","879408","3195","80052","12.2","10.5"
"Georgia","2020-06-26","27946","907354","3121","83173","12.4","10.8"
"Georgia","2020-06-27","14125","921479","1896","85069","12.6","11.2"
"Georgia","2020-06-28","5816","927295","999","86068","12.9","11.7"
"Georgia","2020-06-29","32224","959519","4025","90093","12.9","12"
"Georgia","2020-06-30","33334","992853","4188","94281","13.1","12.3"
"Georgia","2020-07-01","31870","1024723","3915","98196","13.1","12.5"
"Georgia","2020-07-02","33771","1058494","4085","102281","13","12.6"
"Georgia","2020-07-03","14560","1073054","2166","104447","13.6","13"
"Georgia","2020-07-04","5479","1078533","904","105351","14","13.3"
"Georgia","2020-07-05","6325","1084858","1230","106581","14.3","13.6"
"Georgia","2020-07-06","35659","1120517","5426","112007","14.7","13.8"
"Georgia","2020-07-07","35779","1156296","4803","116810","14.8","13.9"
"Georgia","2020-07-08","35796","1192092","4764","121574","15","14"
"Georgia","2020-07-09","35577","1227669","4657","126231","15.1","14.1"
"Georgia","2020-07-10","34564","1262233","4514","130745","14.9","14.2"
"Georgia","2020-07-11","14636","1276869","2464","133209","14.9","14.5"
"Georgia","2020-07-12","7927","1284796","1471","134680","14.8","14.6"
"Georgia","2020-07-13","35177","1319973","5189","139869","14.7","14.7"
"Georgia","2020-07-14","34002","1353975","4714","144583","14.8","14.8"
"Georgia","2020-07-15","33870","1387845","4525","149108","14.8","14.9"
"Georgia","2020-07-16","36598","1424443","4698","153806","14.8","14.9"
"Georgia","2020-07-17","31201","1455644","3922","157728","14.7","14.8"
"Georgia","2020-07-18","14302","1469946","2092","159820","14.4","14.6"
"Georgia","2020-07-19","7481","1477427","1199","161019","14","14.4"
"Georgia","2020-07-20","33684","1511111","4746","165765","13.9","14.3"
"Georgia","2020-07-21","29599","1540710","3881","169646","13.8","14.3"
"Georgia","2020-07-22","31459","1572169","3918","173564","13.7","14.2"
"Georgia","2020-07-23","32282","1604451","3944","177508","13.6","14.2"
"Georgia","2020-07-24","30146","1634597","3815","181323","13.6","14.1"
"Georgia","2020-07-25","15405","1650002","2264","183587","13.6","14"
"Georgia","2020-07-26","6304","1656306","1068","184655","13.7","13.9"
"Georgia","2020-07-27","34221","1690527","4199","188854","13.5","13.7"
"Georgia","2020-07-28","29525","1720052","3637","192491","13.4","13.6"
"Georgia","2020-07-29","29882","1749934","3711","196202","13.4","13.5"
"Georgia","2020-07-30","29555","1779489","3665","199867","13.4","13.5"
"Georgia","2020-07-31","28882","1808371","3184","203051","13.2","13.4"
"Georgia","2020-08-01","14858","1823229","1966","205017","12.9","13.3"
"Georgia","2020-08-02","6399","1829628","996","206013","12.7","13.2"
"Georgia","2020-08-03","27877","1857505","2960","208973","12.5","13"
"Georgia","2020-08-04","28680","1886185","3330","212303","12.4","12.9"
"Georgia","2020-08-05","29958","1916143","3417","215720","12.3","12.8"
"Georgia","2020-08-06","28048","1944191","3029","218749","12","12.7"
"Georgia","2020-08-07","28036","1972227","2799","221548","11.9","12.5"
"Georgia","2020-08-08","14656","1986883","1456","223004","11.4","12.2"
"Georgia","2020-08-09","7350","1994233","1006","224010","11.1","11.9"
"Georgia","2020-08-10","29541","2023774","3107","227117","11.1","11.8"
"Georgia","2020-08-11","26793","2050567","2648","229765","10.9","11.6"
"Georgia","2020-08-12","26383","2076950","2493","232258","10.6","11.4"
"Georgia","2020-08-13","25496","2102446","2182","234440","10.3","11.2"
"Georgia","2020-08-14","27880","2130326","2282","236722","10","11"
"Georgia","2020-08-15","11633","2141959","1201","237923","10.1","10.8"
"Georgia","2020-08-16","9582","2151541","1055","238978","9.7","10.4"
"Georgia","2020-08-17","19751","2171292","1809","240787","9.5","10.3"
"Georgia","2020-08-18","24796","2196088","2218","243005","9.4","10.1"
"Georgia","2020-08-19","26918","2223006","2238","245243","9.2","9.9"
"Georgia","2020-08-20","24084","2247090","2008","247251","9.2","9.7"
"Georgia","2020-08-21","26312","2273402","2070","249321","9.1","9.6"
"Georgia","2020-08-22","12900","2286302","1096","250417","8.9","9.5"
"Georgia","2020-08-23","6448","2292750","710","251127","8.9","9.3"
"Georgia","2020-08-24","25421","2318171","2302","253429","8.9","9.2"
"Georgia","2020-08-25","23444","2341615","1955","255384","8.8","9.1"
"Georgia","2020-08-26","26438","2368053","2250","257634","8.8","9"
"Georgia","2020-08-27","24538","2392591","1941","259575","8.7","9"
"Georgia","2020-08-28","25121","2417712","2060","261635","8.8","9"
"Georgia","2020-08-29","12170","2429882","1041","262676","8.8","8.8"
"Georgia","2020-08-30","6774","2436656","788","263464","8.9","8.9"
"Georgia","2020-08-31","24651","2461307","2153","265617","8.8","8.9"
"Georgia","2020-09-01","24022","2485329","1947","267564","8.8","8.8"
"Georgia","2020-09-02","24725","2510054","1947","269511","8.7","8.8"
"Georgia","2020-09-03","23422","2533476","1840","271351","8.7","8.7"
"Georgia","2020-09-04","23548","2557024","1908","273259","8.7","8.7"
"Georgia","2020-09-05","11533","2568557","816","274075","8.5","8.6"
"Georgia","2020-09-06","5950","2574507","578","274653","8.2","8.5"
"Georgia","2020-09-07","7255","2581762","675","275328","8.3","8.6"
"Georgia","2020-09-08","26253","2608015","2099","277427","8.3","8.5"
"Georgia","2020-09-09","25485","2633500","1881","279308","8.2","8.5"
"Georgia","2020-09-10","25013","2658513","1763","281071","8.1","8.4"
"Georgia","2020-09-11","23722","2682235","1616","282687","7.9","8.3"
"Georgia","2020-09-12","10448","2692683","802","283489","8","8.2"
"Georgia","2020-09-13","5623","2698306","591","284080","8.1","8.2"
"Georgia","2020-09-14","25064","2723370","1740","285820","7.8","8"
"Georgia","2020-09-15","23103","2746473","1497","287317","7.5","7.9"
"Georgia","2020-09-16","23245","2769718","1274","288591","7.3","7.7"
"Georgia","2020-09-17","18987","2788705","1135","289726","7.1","7.6"
"Georgia","2020-09-18","23247","2811952","1354","291080","7","7.4"
"Georgia","2020-09-19","12048","2824000","774","291854","6.8","7.4"
"Georgia","2020-09-20","4879","2828879","417","292271","6.5","7.3"
"Georgia","2020-09-21","23224","2852103","1445","293716","6.4","7.1"
"Georgia","2020-09-22","21559","2873662","1272","294988","6.3","6.9"
"Georgia","2020-09-23","22697","2896359","1323","296311","6.4","6.8"
"Georgia","2020-09-24","21406","2917765","1198","297509","6.3","6.7"
"Georgia","2020-09-25","21658","2939423","1210","298719","6.3","6.6"
"Georgia","2020-09-26","8869","2948292","670","299389","6.5","6.6"
"Georgia","2020-09-27","4762","2953054","385","299774","6.4","6.5"
"Georgia","2020-09-28","22217","2975271","1294","301068","6.3","6.4"
"Georgia","2020-09-29","21345","2996616","1105","302173","6.2","6.3"
"Georgia","2020-09-30","22334","3018950","1236","303409","6.2","6.3"
"Georgia","2020-10-01","24014","3042964","1174","304583","6.1","6.2"
"Georgia","2020-10-02","22856","3065820","1209","305792","6.1","6.2"
"Georgia","2020-10-03","12334","3078154","714","306506","5.8","6.1"
"Georgia","2020-10-04","6114","3084268","434","306940","5.7","6"
"Georgia","2020-10-05","25842","3110110","1521","308461","5.7","6"
"Georgia","2020-10-06","27419","3137529","1326","309787","5.6","5.9"
"Georgia","2020-10-07","28350","3165879","1375","311162","5.5","5.9"
"Georgia","2020-10-08","24952","3190831","1385","312547","5.6","5.9"
"Georgia","2020-10-09","25194","3216025","1310","313857","5.6","5.8"
"Georgia","2020-10-10","11716","3227741","738","314595","5.7","5.7"
"Georgia","2020-10-11","5513","3233254","468","315063","5.9","5.8"
"Georgia","2020-10-12","19256","3252510","1232","316295","5.9","5.8"
"Georgia","2020-10-13","25885","3278395","1541","317836","6.1","5.9"
"Georgia","2020-10-14","23658","3302053","1351","319187","6.2","5.9"
"Georgia","2020-10-15","23724","3325777","1474","320661","6.3","6"
"Georgia","2020-10-16","23310","3349087","1459","322120","6.5","6"
"Georgia","2020-10-17","11368","3360455","743","322863","6.5","6.1"
"Georgia","2020-10-18","5257","3365712","469","323332","6.6","6.2"
"Georgia","2020-10-19","26116","3391828","1710","325042","6.6","6.3"
"Georgia","2020-10-20","24273","3416101","1529","326571","6.6","6.4"
"Georgia","2020-10-21","27205","3443306","1706","328277","6.7","6.5"
"Georgia","2020-10-22","23233","3466539","1653","329930","6.8","6.6"
"Georgia","2020-10-23","25063","3491602","1626","331556","6.9","6.7"
"Georgia","2020-10-24","12098","3503700","967","332523","7.1","6.8"
"Georgia","2020-10-25","7169","3510869","678","333201","7.2","6.9"
"Georgia","2020-10-26","27296","3538165","1957","335158","7.3","6.9"
"Georgia","2020-10-27","26109","3564274","1679","336837","7.3","7"
"Georgia","2020-10-28","27828","3592102","1813","338650","7.3","7"
"Georgia","2020-10-29","19962","3612064","1410","340060","7.3","7.1"
"Georgia","2020-10-30","26670","3638734","1745","341805","7.3","7.1"
"Georgia","2020-10-31","12631","3651365","1035","342840","7.3","7.2"
"Georgia","2020-11-01","6969","3658334","735","343575","7.5","7.3"
"Georgia","2020-11-02","28993","3687327","2177","345752","7.5","7.4"
"Georgia","2020-11-03","24389","3711716","1686","347438","7.6","7.4"
"Georgia","2020-11-04","26232","3737948","1859","349297","7.7","7.5"
"Georgia","2020-11-05","27636","3765584","1810","351107","7.6","7.5"
"Georgia","2020-11-06","27344","3792928","1897","353004","7.7","7.5"
"Georgia","2020-11-07","13982","3806910","1380","354384","7.9","7.6"
"Georgia","2020-11-08","7434","3814344","838","355222","8","7.8"
"Georgia","2020-11-09","30469","3844813","2733","357955","8.2","7.9"
"Georgia","2020-11-10","31219","3876032","2467","360422","8.4","8"
"Georgia","2020-11-11","25643","3901675","2051","362473","8.5","8.1"
"Georgia","2020-11-12","32631","3934306","2667","365140","8.7","8.2"
"Georgia","2020-11-13","33184","3967490","2491","367631","8.8","8.2"
"Georgia","2020-11-14","17226","3984716","1583","369214","8.7","8.3"
"Georgia","2020-11-15","8457","3993173","979","370193","8.8","8.4"
"Georgia","2020-11-16","36177","4029350","3080","373273","8.7","8.5"
"Georgia","2020-11-17","36081","4065431","2666","375939","8.6","8.5"
"Georgia","2020-11-18","39616","4105047","2661","378600","8.4","8.5"
"Georgia","2020-11-19","39810","4144857","2758","381358","8.3","8.5"
"Georgia","2020-11-20","40299","4185156","2701","384059","8.1","8.5"
"Georgia","2020-11-21","20974","4206130","1617","385676","7.9","8.3"
"Georgia","2020-11-22","10752","4216882","988","386664","7.6","8.2"
"Georgia","2020-11-23","42661","4259543","3254","389918","7.5","8.1"
"Georgia","2020-11-24","37123","4296666","3139","393057","7.6","8.1"
"Georgia","2020-11-25","32818","4329484","3129","396186","8","8.2"
"Georgia","2020-11-26","5597","4335081","459","396645","8.2","8.2"
"Georgia","2020-11-27","18030","4353111","2441","399086","9.2","8.7"
"Georgia","2020-11-28","14711","4367822","2267","401353","10.3","9.1"
"Georgia","2020-11-29","11029","4378851","1668","403021","11.1","9.4"
"Georgia","2020-11-30","40847","4419698","5097","408118","11.8","9.6"
"Georgia","2020-12-01","37444","4457142","4522","412640","12.3","10"
"Georgia","2020-12-02","38457","4495599","4451","417091","12.6","10.3"
"Georgia","2020-12-03","36811","4532410","4381","421472","13.2","10.7"
"Georgia","2020-12-04","36539","4568949","4219","425691","12.9","11"
"Georgia","2020-12-05","20292","4589241","2753","428444","12.6","11.4"
"Georgia","2020-12-06","10243","4599484","1640","430084","12.7","11.9"
"Georgia","2020-12-07","40538","4640022","5115","435199","12.8","12.3"
"Georgia","2020-12-08","39991","4680013","4869","440068","12.8","12.6"
"Georgia","2020-12-09","41258","4721271","4883","444951","12.8","12.7"
"Georgia","2020-12-10","39902","4761173","5087","450038","12.9","13"
"Georgia","2020-12-11","40707","4801880","5081","455119","13.1","13"
"Georgia","2020-12-12","22379","4824259","3311","458430","13.2","12.9"
"Georgia","2020-12-13","10941","4835200","2097","460527","13.7","13.2"
"Georgia","2020-12-14","47565","4882765","6645","467172","13.9","13.3"
"Georgia","2020-12-15","47344","4930109","6424","473596","14.1","13.4"
"Georgia","2020-12-16","45678","4975787","5802","479398","14.2","13.5"
"Georgia","2020-12-17","48543","5024330","6490","485888","14.3","13.6"
"Georgia","2020-12-18","46722","5071052","6027","491915","14.4","13.7"
"Georgia","2020-12-19","25424","5096476","3696","495611","14.3","13.8"
"Georgia","2020-12-20","13494","5109970","2514","498125","14.2","14"
"Georgia","2020-12-21","52699","5162669","7822","505947","14.4","14.1"
"Georgia","2020-12-22","50008","5212677","7476","513423","14.6","14.3"
"Georgia","2020-12-23","46766","5259443","6772","520195","14.8","14.5"
"Georgia","2020-12-24","21859","5281302","3791","523986","15.4","14.8"
"Georgia","2020-12-25","4012","5285314","812","524798","16.4","15.4"
"Georgia","2020-12-26","20055","5305369","4569","529367","17.6","16"
"Georgia","2020-12-27","13505","5318874","3390","532757","18.5","16.4"
"Georgia","2020-12-28","51945","5370819","9811","542568","19.1","16.7"
"Georgia","2020-12-29","48706","5419525","9693","552261","19.8","17.2"
"Georgia","2020-12-30","49532","5469057","8990","561251","20.3","17.6"
"Georgia","2020-12-31","35945","5505002","6433","567684","20.4","17.9"
"Georgia","2021-01-01","6298","5511300","1597","569281","21.2","18.8"
"Georgia","2021-01-02","19524","5530824","4331","573612","21.1","19.3"
"Georgia","2021-01-03","11523","5542347","2928","576540","21.1","19.8"
"Georgia","2021-01-04","48391","5590738","9884","586424","21.3","20.2"
"Georgia","2021-01-05","64194","5654932","12032","598456","21.2","20.5"
"Georgia","2021-01-06","51901","5706833","9113","607569","21.1","20.7"
"Georgia","2021-01-07","51040","5757873","9536","617105","21.2","20.8"
"Georgia","2021-01-08","42262","5800135","7361","624466","20.1","20.6"
"Georgia","2021-01-09","23595","5823730","4843","629309","19.8","20.4"
"Georgia","2021-01-10","13640","5837370","3059","632368","19.4","20.3"
"Georgia","2021-01-11","44655","5882025","7681","640049","18.9","20.1"
"Georgia","2021-01-12","47113","5929138","7446","647495","18.5","19.8"
"Georgia","2021-01-13","44071","5973209","6556","654051","18.1","19.6"
"Georgia","2021-01-14","42897","6016106","6447","660498","17.6","19.4"
"Georgia","2021-01-15","39430","6055536","6207","666705","17.4","18.7"
"Georgia","2021-01-16","19805","6075341","3796","670501","17.2","18.5"
"Georgia","2021-01-17","7624","6082965","1616","672117","17","18.2"
"Georgia","2021-01-18","10524","6093489","1501","673618","16.6","17.8"
"Georgia","2021-01-19","1540","6095029","250","673868","16.6","17.6"
"Georgia","2021-01-20","0","6095029","0","673868","14.5","16.3"
"Appling","2020-02-01","0","0","0","0",".","."
"Appling","2020-02-02","0","0","0","0",".","."
"Appling","2020-02-03","0","0","0","0",".","."
"Appling","2020-02-04","0","0","0","0",".","."
"Appling","2020-02-05","0","0","0","0",".","."
"Appling","2020-02-06","0","0","0","0",".","."
"Appling","2020-02-07","0","0","0","0","0","."
"Appling","2020-02-08","0","0","0","0","0","."
"Appling","2020-02-09","0","0","0","0","0","."
"Appling","2020-02-10","0","0","0","0","0","."
"Appling","2020-02-11","0","0","0","0","0","."
"Appling","2020-02-12","0","0","0","0","0","."
"Appling","2020-02-13","0","0","0","0","0","."
"Appling","2020-02-14","0","0","0","0","0","0"
"Appling","2020-02-15","0","0","0","0","0","0"
"Appling","2020-02-16","0","0","0","0","0","0"
"Appling","2020-02-17","0","0","0","0","0","0"
"Appling","2020-02-18","0","0","0","0","0","0"
"Appling","2020-02-19","0","0","0","0","0","0"
"Appling","2020-02-20","0","0","0","0","0","0"
"Appling","2020-02-21","0","0","0","0","0","0"
"Appling","2020-02-22","0","0","0","0","0","0"
"Appling","2020-02-23","0","0","0","0","0","0"
"Appling","2020-02-24","0","0","0","0","0","0"
"Appling","2020-02-25","0","0","0","0","0","0"
"Appling","2020-02-26","0","0","0","0","0","0"
"Appling","2020-02-27","0","0","0","0","0","0"
"Appling","2020-02-28","0","0","0","0","0","0"
"Appling","2020-02-29","0","0","0","0","0","0"
"Appling","2020-03-01","0","0","0","0","0","0"
"Appling","2020-03-02","0","0","0","0","0","0"
"Appling","2020-03-03","0","0","0","0","0","0"
"Appling","2020-03-04","0","0","0","0","0","0"
"Appling","2020-03-05","0","0","0","0","0","0"
"Appling","2020-03-06","0","0","0","0","0","0"
"Appling","2020-03-07","0","0","0","0","0","0"
"Appling","2020-03-08","0","0","0","0","0","0"
"Appling","2020-03-09","0","0","0","0","0","0"
"Appling","2020-03-10","0","0","0","0","0","0"
"Appling","2020-03-11","0","0","0","0","0","0"
"Appling","2020-03-12","0","0","0","0","0","0"
"Appling","2020-03-13","1","1","0","0","0","0"
"Appling","2020-03-14","0","1","0","0","0","0"
"Appling","2020-03-15","0","1","0","0","0","0"
"Appling","2020-03-16","3","4","0","0","0","0"
"Appling","2020-03-17","3","7","0","0","0","0"
"Appling","2020-03-18","3","10","0","0","0","0"
"Appling","2020-03-19","3","13","0","0","0","0"
"Appling","2020-03-20","2","15","0","0","0","0"
"Appling","2020-03-21","1","16","0","0","0","0"
"Appling","2020-03-22","1","17","0","0","0","0"
"Appling","2020-03-23","1","18","0","0","0","0"
"Appling","2020-03-24","4","22","0","0","0","0"
"Appling","2020-03-25","6","28","0","0","0","0"
"Appling","2020-03-26","3","31","0","0","0","0"
"Appling","2020-03-27","2","33","1","1","7.1","3.6"
"Appling","2020-03-28","3","36","2","3","16.7","8.3"
"Appling","2020-03-29","0","36","0","3","16.7","8.3"
"Appling","2020-03-30","8","44","2","5","20.2","10.1"
"Appling","2020-03-31","5","49","1","6","23.1","11.5"
"Appling","2020-04-01","4","53","0","6","23.1","11.5"
"Appling","2020-04-02","3","56","0","6","23.1","11.5"
"Appling","2020-04-03","1","57","1","7","30.2","18.7"
"Appling","2020-04-04","0","57","0","7","20.7","18.7"
"Appling","2020-04-05","2","59","0","7","20.7","18.7"
"Appling","2020-04-06","7","66","1","8","19.2","19.7"
"Appling","2020-04-07","5","71","0","8","16.3","19.7"
"Appling","2020-04-08","5","76","2","10","22","22.6"
"Appling","2020-04-09","1","77","0","10","22","22.6"
"Appling","2020-04-10","1","78","0","10","7.8","19"
"Appling","2020-04-11","3","81","3","13","22","21.4"
"Appling","2020-04-12","0","81","0","13","22","21.4"
"Appling","2020-04-13","10","91","5","18","27.1","23.2"
"Appling","2020-04-14","3","94","1","19","31.9","24.1"
"Appling","2020-04-15","4","98","0","19","26.2","24.1"
"Appling","2020-04-16","4","102","0","19","26.2","24.1"
"Appling","2020-04-17","57","159","47","66","38","22.9"
"Appling","2020-04-18","1","160","0","66","23.7","22.9"
"Appling","2020-04-19","0","160","0","66","23.7","22.9"
