"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","92288","3435"
"Any Chronic Condition","Male","73434","3956"
"Any Chronic Condition","Total","166340","7397"
"Any Chronic Condition","Unknown","618","6"
"Cardiovascular Disease","Female","23072","2051"
"Cardiovascular Disease","Male","20668","2422"
"Cardiovascular Disease","Total","43863","4475"
"Cardiovascular Disease","Unknown","123","2"
"Chronic Liver Disease","Female","1067","98"
"Chronic Liver Disease","Male","935","137"
"Chronic Liver Disease","Total","2010","235"
"Chronic Liver Disease","Unknown","8","0"
"Chronic Lung Disease","Female","25234","987"
"Chronic Lung Disease","Male","15970","999"
"Chronic Lung Disease","Total","41358","1988"
"Chronic Lung Disease","Unknown","154","2"
"Chronic Renal Disease","Female","4502","803"
"Chronic Renal Disease","Male","4369","992"
"Chronic Renal Disease","Total","8901","1796"
"Chronic Renal Disease","Unknown","30","1"
"Currently Pregnant","Female","4075","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4084","6"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","23927","1426"
"Diabetes Mellitus","Male","20506","1781"
"Diabetes Mellitus","Total","44574","3211"
"Diabetes Mellitus","Unknown","141","4"
"ICU","Female","3736","1462"
"ICU","Male","4843","1970"
"ICU","Total","8598","3434"
"ICU","Unknown","19","2"
"Immunocompromised Condition","Female","8623","417"
"Immunocompromised Condition","Male","5120","502"
"Immunocompromised Condition","Total","13776","919"
"Immunocompromised Condition","Unknown","33","0"
"Missing/Unknown status on all conditions","Female","191303","793"
"Missing/Unknown status on all conditions","Male","173601","968"
"Missing/Unknown status on all conditions","Total","374279","1769"
"Missing/Unknown status on all conditions","Unknown","9375","8"
"Neurologic/Neurodevelopmental","Female","6550","955"
"Neurologic/Neurodevelopmental","Male","4783","873"
"Neurologic/Neurodevelopmental","Total","11381","1829"
"Neurologic/Neurodevelopmental","Unknown","48","1"
"None of the above conditions","Female","209810","4814"
"None of the above conditions","Male","168546","5369"
"None of the above conditions","Total","380175","10203"
"None of the above conditions","Unknown","1819","20"
"Other Chronic Diseases","Female","30277","1747"
"Other Chronic Diseases","Male","20133","1792"
"Other Chronic Diseases","Total","50615","3540"
"Other Chronic Diseases","Unknown","205","1"
"Smoker","Female","21525","487"
"Smoker","Male","26679","954"
"Smoker","Total","48345","1441"
"Smoker","Unknown","141","0"
"Total with completed information","Female","219600","5432"
"Total with completed information","Male","177186","6102"
"Total with completed information","Total","398699","11557"
"Total with completed information","Unknown","1913","23"
