"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","184209","6631"
"Any Chronic Condition","Male","141435","7727"
"Any Chronic Condition","Total","326057","14361"
"Any Chronic Condition","Unknown","413","3"
"Any Disability","Female","13496","1693"
"Any Disability","Male","11032","1608"
"Any Disability","Total","24563","3301"
"Any Disability","Unknown","35","0"
"Cardiovascular Disease","Female","32565","3300"
"Cardiovascular Disease","Male","29808","4079"
"Cardiovascular Disease","Total","62418","7380"
"Cardiovascular Disease","Unknown","45","1"
"Chronic Liver Disease","Female","2121","193"
"Chronic Liver Disease","Male","1797","293"
"Chronic Liver Disease","Total","3921","486"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","50171","1921"
"Chronic Lung Disease","Male","31947","1953"
"Chronic Lung Disease","Total","82242","3874"
"Chronic Lung Disease","Unknown","124","0"
"Chronic Renal Disease","Female","7634","1468"
"Chronic Renal Disease","Male","7411","1866"
"Chronic Renal Disease","Total","15055","3335"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","11956","27"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","11963","27"
"Currently Pregnant","Unknown","7","0"
"Diabetes Mellitus","Female","40649","2727"
"Diabetes Mellitus","Male","34286","3350"
"Diabetes Mellitus","Total","75018","6079"
"Diabetes Mellitus","Unknown","83","2"
"Hypertension/High blood pressure","Female","40088","1996"
"Hypertension/High blood pressure","Male","31220","2234"
"Hypertension/High blood pressure","Total","71412","4230"
"Hypertension/High blood pressure","Unknown","104","0"
"ICU","Female","6968","2930"
"ICU","Male","8832","3937"
"ICU","Total","15831","6869"
"ICU","Unknown","31","2"
"Immunocompromised Condition","Female","9013","533"
"Immunocompromised Condition","Male","5228","593"
"Immunocompromised Condition","Total","14251","1126"
"Immunocompromised Condition","Unknown","10","0"
"Missing/Unknown status on all conditions","Female","558567","1349"
"Missing/Unknown status on all conditions","Male","494518","1539"
"Missing/Unknown status on all conditions","Total","1066114","2890"
"Missing/Unknown status on all conditions","Unknown","13029","2"
"None of the above conditions","Female","475221","12327"
"None of the above conditions","Male","368895","14377"
"None of the above conditions","Total","846007","26705"
"None of the above conditions","Unknown","1891","1"
"Obesity (BMI>40)","Female","14663","491"
"Obesity (BMI>40)","Male","7830","463"
"Obesity (BMI>40)","Total","22519","954"
"Obesity (BMI>40)","Unknown","26","0"
"Other Chronic Diseases","Female","40949","2653"
"Other Chronic Diseases","Male","26573","2748"
"Other Chronic Diseases","Total","67588","5401"
"Other Chronic Diseases","Unknown","66","0"
"Smoker","Female","43641","1067"
"Smoker","Male","50400","2011"
"Smoker","Total","94127","3079"
"Smoker","Unknown","86","1"
"Total with completed information","Female","493029","13156"
"Total with completed information","Male","381152","15282"
"Total with completed information","Total","876114","28441"
"Total with completed information","Unknown","1933","3"
