"symptom date","cases","deaths","confirmed_case_hospitalization"
"2022-02-26","0","1","0"
"2021-09-01","0","1","0"
"2021-06-10","0","1","0"
"2021-11-01","0","1","0"
"2022-02-19","0","1","0"
"2021-02-01","0","1","0"
"2021-02-23","0","1","0"
"2021-03-12","0","1","0"
"2021-01-28","0","1","0"
"2022-02-19","0","1","0"
"2021-08-25","0","1","0"
"2021-02-06","0","1","0"
"2022-01-27","0","1","0"
"2021-02-26","0","1","0"
"2021-07-04","0","1","0"
"2021-06-08","0","1","0"
"2021-06-02","0","1","0"
"2021-04-04","0","1","0"
"2021-09-17","0","1","0"
"2020-12-15","0","1","0"
"2021-11-13","0","1","0"
"2021-10-23","0","1","0"
"2021-03-07","0","1","0"
"2022-03-04","0","1","0"
"2021-01-21","0","1","0"
"2021-04-13","0","1","0"
"2021-03-31","0","1","0"
"2021-05-09","0","1","0"
"2021-08-23","0","1","0"
"2020-02-01","3","0","0"
"2020-02-02","1","0","0"
"2020-02-02","2","0","0"
"2020-02-03","1","0","0"
"2020-02-03","0","0","1"
"2020-02-07","1","0","0"
"2020-02-09","1","0","0"
"2020-02-10","3","0","0"
"2020-02-10","1","0","0"
"2020-02-11","1","0","0"
"2020-02-13","1","0","0"
"2020-02-13","1","0","0"
"2020-02-15","1","0","0"
"2020-02-15","1","0","0"
"2020-02-16","1","0","0"
"2020-02-16","1","0","0"
"2020-02-17","1","0","0"
"2020-02-17","1","0","0"
"2020-02-19","1","0","0"
"2020-02-19","1","0","0"
"2020-02-19","1","0","0"
"2020-02-21","2","0","1"
"2020-02-21","1","0","0"
"2020-02-22","1","0","0"
"2020-02-23","1","0","0"
"2020-02-23","1","0","0"
"2020-02-23","1","0","0"
"2020-02-25","2","0","0"
"2020-02-25","2","0","0"
"2020-02-25","1","0","0"
"2020-02-26","1","0","1"
"2020-02-26","1","0","0"
"2020-02-26","1","0","0"
"2020-02-27","1","0","0"
"2020-02-28","2","0","0"
"2020-02-29","1","0","0"
"2020-02-29","1","0","0"
"2020-02-29","1","0","0"
"2020-03-01","2","0","0"
"2020-03-01","1","0","0"
"2020-03-01","1","0","0"
"2020-03-01","1","0","0"
"2020-03-01","8","0","0"
"2020-03-01","3","0","1"
"2020-03-02","1","0","0"
"2020-03-02","1","0","0"
"2020-03-03","1","0","0"
"2020-03-03","1","0","0"
"2020-03-03","5","0","0"
"2020-03-03","1","0","0"
"2020-03-04","3","0","0"
"2020-03-04","1","0","0"
"2020-03-04","2","0","0"
"2020-03-05","4","0","0"
"2020-03-05","1","0","0"
"2020-03-05","6","0","1"
"2020-03-05","1","0","0"
"2020-03-06","5","0","0"
"2020-03-06","2","0","0"
"2020-03-06","1","0","0"
"2020-03-06","4","0","0"
"2020-03-07","1","0","0"
"2020-03-07","8","0","0"
"2020-03-07","3","0","1"
"2020-03-07","8","0","0"
"2020-03-08","3","0","1"
"2020-03-08","1","0","0"
"2020-03-08","2","0","0"
"2020-03-08","3","0","0"
"2020-03-08","2","0","0"
"2020-03-09","1","0","0"
"2020-03-09","13","0","0"
"2020-03-09","1","0","0"
"2020-03-09","6","0","1"
"2020-03-09","3","0","0"
"2020-03-09","1","0","0"
"2020-03-09","1","0","0"
"2020-03-10","1","0","0"
"2020-03-10","7","0","2"
"2020-03-10","1","0","0"
"2020-03-10","13","0","0"
"2020-03-10","2","0","0"
"2020-03-10","1","0","0"
"2020-03-11","8","0","2"
"2020-03-11","2","0","0"
"2020-03-11","2","0","0"
"2020-03-11","10","0","2"
"2020-03-11","4","0","1"
"2020-03-11","1","0","0"
"2020-03-11","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","11","0","1"
"2020-03-12","4","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-12","11","0","2"
"2020-03-12","7","0","0"
"2020-03-12","1","0","0"
"2020-03-12","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","2","0","0"
"2020-03-13","15","0","0"
"2020-03-13","0","0","1"
"2020-03-13","1","0","0"
"2020-03-13","2","0","0"
"2020-03-13","16","0","2"
"2020-03-13","5","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","1","0","0"
"2020-03-13","2","0","0"
"2020-03-13","1","0","0"
"2020-03-14","2","0","0"
"2020-03-14","12","0","1"
"2020-03-14","2","0","1"
"2020-03-14","3","0","0"
"2020-03-14","1","0","0"
"2020-03-14","16","0","0"
"2020-03-14","4","0","0"
"2020-03-14","1","0","0"
"2020-03-14","1","0","0"
"2020-03-15","1","0","0"
"2020-03-15","1","0","0"
"2020-03-15","20","1","5"
"2020-03-15","6","0","0"
"2020-03-15","1","0","0"
"2020-03-15","2","0","0"
"2020-03-15","15","0","1"
"2020-03-15","4","0","0"
"2020-03-15","1","0","0"
"2020-03-15","1","0","0"
"2020-03-15","1","0","0"
"2020-03-15","2","0","0"
"2020-03-16","1","0","0"
"2020-03-16","1","0","0"
"2020-03-16","36","0","4"
"2020-03-16","5","0","1"
"2020-03-16","28","0","2"
"2020-03-16","8","0","0"
"2020-03-16","1","0","0"
"2020-03-16","3","0","0"
"2020-03-16","1","0","0"
"2020-03-17","0","0","1"
"2020-03-17","2","0","0"
"2020-03-17","30","1","1"
"2020-03-17","8","0","0"
"2020-03-17","1","0","0"
"2020-03-17","1","0","0"
"2020-03-17","1","0","0"
"2020-03-17","22","0","1"
"2020-03-17","12","0","0"
"2020-03-17","1","0","0"
"2020-03-17","2","0","0"
"2020-03-18","1","0","0"
"2020-03-18","1","0","0"
"2020-03-18","1","0","1"
"2020-03-18","46","0","2"
"2020-03-18","8","0","2"
"2020-03-18","2","0","0"
"2020-03-18","1","0","0"
"2020-03-18","17","0","1"
"2020-03-18","7","0","1"
"2020-03-18","1","0","0"
"2020-03-18","1","0","0"
"2020-03-18","1","0","0"
"2020-03-18","2","0","0"
"2020-03-19","1","0","0"
"2020-03-19","1","0","0"
"2020-03-19","32","1","3"
"2020-03-19","3","0","0"
"2020-03-19","2","0","0"
"2020-03-19","2","0","0"
"2020-03-19","1","0","0"
"2020-03-19","23","0","0"
"2020-03-19","8","0","1"
"2020-03-19","2","0","0"
"2020-03-19","1","0","0"
"2020-03-20","1","0","0"
"2020-03-20","3","0","0"
"2020-03-20","0","0","1"
"2020-03-20","34","1","5"
"2020-03-20","7","0","1"
"2020-03-20","3","0","0"
"2020-03-20","1","0","0"
"2020-03-20","22","0","3"
"2020-03-20","14","0","0"
"2020-03-21","3","0","0"
"2020-03-21","28","0","3"
"2020-03-21","3","0","1"
"2020-03-21","2","0","0"
"2020-03-21","1","0","0"
"2020-03-21","21","0","1"
"2020-03-21","7","0","1"
"2020-03-21","1","0","1"
"2020-03-21","1","0","0"
"2020-03-21","1","0","0"
"2020-03-22","1","0","1"
"2020-03-22","1","0","0"
"2020-03-22","11","0","3"
"2020-03-22","2","0","0"
"2020-03-22","1","0","0"
"2020-03-22","1","0","0"
"2020-03-22","1","0","0"
"2020-03-22","23","0","0"
"2020-03-22","6","0","0"
"2020-03-22","1","0","0"
"2020-03-22","2","0","0"
"2020-03-22","1","0","0"
"2020-03-23","1","0","0"
"2020-03-23","2","0","0"
"2020-03-23","2","0","0"
"2020-03-23","50","0","6"
"2020-03-23","7","0","2"
"2020-03-23","1","0","0"
"2020-03-23","0","0","1"
"2020-03-23","35","0","3"
"2020-03-23","9","0","0"
"2020-03-23","2","0","0"
"2020-03-23","2","0","0"
"2020-03-23","4","0","0"
"2020-03-23","2","0","0"
"2020-03-23","2","0","0"
"2020-03-24","3","0","0"
"2020-03-24","1","0","0"
"2020-03-24","41","0","9"
"2020-03-24","3","0","2"
"2020-03-24","1","0","1"
"2020-03-24","2","0","0"
"2020-03-24","1","0","0"
"2020-03-24","1","0","0"
"2020-03-24","16","0","1"
"2020-03-24","7","0","0"
"2020-03-24","3","0","0"
"2020-03-24","1","0","0"
"2020-03-25","1","0","0"
"2020-03-25","2","0","0"
"2020-03-25","8","0","0"
"2020-03-25","2","0","0"
"2020-03-25","53","0","4"
"2020-03-25","13","0","4"
"2020-03-25","1","0","0"
"2020-03-25","1","0","0"
"2020-03-25","2","0","0"
"2020-03-25","19","0","0"
"2020-03-25","4","0","1"
"2020-03-25","1","0","0"
"2020-03-25","5","0","0"
"2020-03-26","1","0","0"
"2020-03-26","1","0","0"
"2020-03-26","1","0","0"
"2020-03-26","36","0","12"
"2020-03-26","6","0","1"
"2020-03-26","2","0","0"
"2020-03-26","1","0","0"
"2020-03-26","23","0","0"
"2020-03-26","3","0","0"
"2020-03-26","1","0","0"
"2020-03-26","1","0","0"
"2020-03-26","1","0","1"
"2020-03-27","1","0","0"
"2020-03-27","3","0","0"
"2020-03-27","49","0","5"
"2020-03-27","12","0","3"
"2020-03-27","1","0","0"
"2020-03-27","2","0","0"
"2020-03-27","25","0","1"
"2020-03-27","8","0","0"
"2020-03-27","2","0","0"
"2020-03-28","2","0","0"
"2020-03-28","1","0","0"
"2020-03-28","1","0","0"
"2020-03-28","31","0","5"
"2020-03-28","5","0","0"
"2020-03-28","1","0","0"
"2020-03-28","1","0","0"
"2020-03-28","2","0","0"
"2020-03-28","1","0","0"
"2020-03-28","22","0","1"
"2020-03-28","9","0","3"
"2020-03-28","7","0","0"
"2020-03-28","1","0","0"
"2020-03-29","1","0","0"
"2020-03-29","26","0","3"
"2020-03-29","3","0","1"
"2020-03-29","1","0","1"
"2020-03-29","1","0","0"
"2020-03-29","18","0","0"
"2020-03-29","5","1","2"
"2020-03-29","1","0","0"
"2020-03-29","1","0","0"
"2020-03-29","3","0","0"
"2020-03-29","1","0","0"
"2020-03-30","1","0","0"
