"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","100802","3691"
"Any Chronic Condition","Male","80040","4293"
"Any Chronic Condition","Total","181523","7989"
"Any Chronic Condition","Unknown","681","5"
"Any Disability","Female","7030","1011"
"Any Disability","Male","5196","924"
"Any Disability","Total","12278","1936"
"Any Disability","Unknown","52","1"
"Cardiovascular Disease","Female","23658","2146"
"Cardiovascular Disease","Male","21322","2580"
"Cardiovascular Disease","Total","45109","4728"
"Cardiovascular Disease","Unknown","129","2"
"Chronic Liver Disease","Female","1128","103"
"Chronic Liver Disease","Male","977","146"
"Chronic Liver Disease","Total","2114","249"
"Chronic Liver Disease","Unknown","9","0"
"Chronic Lung Disease","Female","26524","1052"
"Chronic Lung Disease","Male","16870","1080"
"Chronic Lung Disease","Total","43554","2134"
"Chronic Lung Disease","Unknown","160","2"
"Chronic Renal Disease","Female","4698","846"
"Chronic Renal Disease","Male","4599","1065"
"Chronic Renal Disease","Total","9328","1914"
"Chronic Renal Disease","Unknown","31","3"
"Currently Pregnant","Female","4253","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4263","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","25034","1528"
"Diabetes Mellitus","Male","21567","1914"
"Diabetes Mellitus","Total","46744","3444"
"Diabetes Mellitus","Unknown","143","2"
"Hypertension/High blood pressure","Female","10189","285"
"Hypertension/High blood pressure","Male","7955","357"
"Hypertension/High blood pressure","Total","18225","643"
"Hypertension/High blood pressure","Unknown","81","1"
"ICU","Female","3867","1546"
"ICU","Male","5045","2103"
"ICU","Total","8931","3651"
"ICU","Unknown","19","2"
"Immunocompromised Condition","Female","9031","449"
"Immunocompromised Condition","Male","5357","530"
"Immunocompromised Condition","Total","14425","979"
"Immunocompromised Condition","Unknown","37","0"
"Missing/Unknown status on all conditions","Female","197489","827"
"Missing/Unknown status on all conditions","Male","179529","1004"
"Missing/Unknown status on all conditions","Total","386646","1843"
"Missing/Unknown status on all conditions","Unknown","9628","12"
"None of the above conditions","Female","220724","5361"
"None of the above conditions","Male","177716","6066"
"None of the above conditions","Total","400354","11442"
"None of the above conditions","Unknown","1914","15"
"Obesity (BMI>40)","Female","3315","63"
"Obesity (BMI>40)","Male","1844","65"
"Obesity (BMI>40)","Total","5174","128"
"Obesity (BMI>40)","Unknown","15","0"
"Other Chronic Diseases","Female","31206","1812"
"Other Chronic Diseases","Male","20724","1866"
"Other Chronic Diseases","Total","52142","3678"
"Other Chronic Diseases","Unknown","212","0"
"Smoker","Female","22654","520"
"Smoker","Male","28124","1025"
"Smoker","Total","50936","1545"
"Smoker","Unknown","158","0"
"Total with completed information","Female","230807","6008"
"Total with completed information","Male","186649","6821"
"Total with completed information","Total","419473","12846"
"Total with completed information","Unknown","2017","17"
