"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","118637","4495"
"Any Chronic Condition","Male","94351","5192"
"Any Chronic Condition","Total","213535","9688"
"Any Chronic Condition","Unknown","547","1"
"Any Disability","Female","8592","1246"
"Any Disability","Male","6555","1129"
"Any Disability","Total","15182","2375"
"Any Disability","Unknown","35","0"
"Cardiovascular Disease","Female","25577","2512"
"Cardiovascular Disease","Male","23270","3009"
"Cardiovascular Disease","Total","48930","5521"
"Cardiovascular Disease","Unknown","83","0"
"Chronic Liver Disease","Female","1334","125"
"Chronic Liver Disease","Male","1163","180"
"Chronic Liver Disease","Total","2504","305"
"Chronic Liver Disease","Unknown","7","0"
"Chronic Lung Disease","Female","31173","1267"
"Chronic Lung Disease","Male","19825","1310"
"Chronic Lung Disease","Total","51128","2577"
"Chronic Lung Disease","Unknown","130","0"
"Chronic Renal Disease","Female","5357","1021"
"Chronic Renal Disease","Male","5276","1285"
"Chronic Renal Disease","Total","10655","2306"
"Chronic Renal Disease","Unknown","22","0"
"Currently Pregnant","Female","5053","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5063","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","28603","1826"
"Diabetes Mellitus","Male","24756","2308"
"Diabetes Mellitus","Total","53471","4135"
"Diabetes Mellitus","Unknown","112","1"
"Hypertension/High blood pressure","Female","17342","682"
"Hypertension/High blood pressure","Male","13606","770"
"Hypertension/High blood pressure","Total","31046","1452"
"Hypertension/High blood pressure","Unknown","98","0"
"ICU","Female","4543","1841"
"ICU","Male","5804","2483"
"ICU","Total","10362","4325"
"ICU","Unknown","15","1"
"Immunocompromised Condition","Female","10630","575"
"Immunocompromised Condition","Male","6232","670"
"Immunocompromised Condition","Total","16893","1245"
"Immunocompromised Condition","Unknown","31","0"
"Missing/Unknown status on all conditions","Female","202962","844"
"Missing/Unknown status on all conditions","Male","186490","1036"
"Missing/Unknown status on all conditions","Total","398180","1882"
"Missing/Unknown status on all conditions","Unknown","8728","2"
"None of the above conditions","Female","260817","6815"
"None of the above conditions","Male","211360","7681"
"None of the above conditions","Total","473827","14496"
"None of the above conditions","Unknown","1650","0"
"Obesity (BMI>40)","Female","6033","147"
"Obesity (BMI>40)","Male","3292","141"
"Obesity (BMI>40)","Total","9344","288"
"Obesity (BMI>40)","Unknown","19","0"
"Other Chronic Diseases","Female","34055","2069"
"Other Chronic Diseases","Male","22449","2123"
"Other Chronic Diseases","Total","56654","4192"
"Other Chronic Diseases","Unknown","150","0"
"Smoker","Female","27024","657"
"Smoker","Male","33341","1285"
"Smoker","Total","60484","1942"
"Smoker","Unknown","119","0"
"Total with completed information","Female","271153","7503"
"Total with completed information","Male","220460","8463"
"Total with completed information","Total","493322","15967"
"Total with completed information","Unknown","1709","1"
