"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","55736","2477"
"Any Chronic Condition","Male","45545","2760"
"Any Chronic Condition","Total","101601","5238"
"Any Chronic Condition","Unknown","320","1"
"Cardiovascular Disease","Female","17446","1593"
"Cardiovascular Disease","Male","14989","1796"
"Cardiovascular Disease","Total","32504","3389"
"Cardiovascular Disease","Unknown","69","0"
"Chronic Liver Disease","Female","684","68"
"Chronic Liver Disease","Male","614","104"
"Chronic Liver Disease","Total","1301","172"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","16177","730"
"Chronic Lung Disease","Male","10138","733"
"Chronic Lung Disease","Total","26420","1463"
"Chronic Lung Disease","Unknown","105","0"
"Chronic Renal Disease","Female","3209","620"
"Chronic Renal Disease","Male","2947","724"
"Chronic Renal Disease","Total","6175","1344"
"Chronic Renal Disease","Unknown","19","0"
"Currently Pregnant","Female","2829","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2837","5"
"Currently Pregnant","Unknown","8","0"
"Diabetes Mellitus","Female","16105","1046"
"Diabetes Mellitus","Male","13610","1286"
"Diabetes Mellitus","Total","29797","2333"
"Diabetes Mellitus","Unknown","82","1"
"ICU","Female","2902","1077"
"ICU","Male","3682","1464"
"ICU","Total","6599","2543"
"ICU","Unknown","15","2"
"Immunocompromised Condition","Female","5397","303"
"Immunocompromised Condition","Male","3315","363"
"Immunocompromised Condition","Total","8729","666"
"Immunocompromised Condition","Unknown","17","0"
"Missing/Unknown status on all conditions","Female","89269","662"
"Missing/Unknown status on all conditions","Male","84073","754"
"Missing/Unknown status on all conditions","Total","178605","1420"
"Missing/Unknown status on all conditions","Unknown","5263","4"
"Neurologic/Neurodevelopmental","Female","4072","732"
"Neurologic/Neurodevelopmental","Male","2759","629"
"Neurologic/Neurodevelopmental","Total","6856","1361"
"Neurologic/Neurodevelopmental","Unknown","25","0"
"None of the above conditions","Female","134216","3149"
"None of the above conditions","Male","108555","3365"
"None of the above conditions","Total","243871","6515"
"None of the above conditions","Unknown","1100","1"
"Other Chronic Diseases","Female","8630","781"
"Other Chronic Diseases","Male","5517","771"
"Other Chronic Diseases","Total","14195","1552"
"Other Chronic Diseases","Unknown","48","0"
"Smoker","Female","14225","338"
"Smoker","Male","18240","670"
"Smoker","Total","32548","1008"
"Smoker","Unknown","83","0"
"Total with completed information","Female","139982","3585"
"Total with completed information","Male","113634","3872"
"Total with completed information","Total","254748","7459"
"Total with completed information","Unknown","1132","2"
