"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","78738","2855"
"Any Chronic Condition","Male","62709","3223"
"Any Chronic Condition","Total","141967","6078"
"Any Chronic Condition","Unknown","520","0"
"Cardiovascular Disease","Female","20919","1762"
"Cardiovascular Disease","Male","18454","2024"
"Cardiovascular Disease","Total","39474","3786"
"Cardiovascular Disease","Unknown","101","0"
"Chronic Liver Disease","Female","872","73"
"Chronic Liver Disease","Male","784","117"
"Chronic Liver Disease","Total","1661","190"
"Chronic Liver Disease","Unknown","5","0"
"Chronic Lung Disease","Female","21092","813"
"Chronic Lung Disease","Male","13303","818"
"Chronic Lung Disease","Total","34519","1631"
"Chronic Lung Disease","Unknown","124","0"
"Chronic Renal Disease","Female","3883","673"
"Chronic Renal Disease","Male","3700","812"
"Chronic Renal Disease","Total","7608","1485"
"Chronic Renal Disease","Unknown","25","0"
"Currently Pregnant","Female","3491","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3500","5"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","20319","1178"
"Diabetes Mellitus","Male","17334","1437"
"Diabetes Mellitus","Total","37777","2615"
"Diabetes Mellitus","Unknown","124","0"
"ICU","Female","3335","1220"
"ICU","Male","4339","1659"
"ICU","Total","7690","2879"
"ICU","Unknown","16","0"
"Immunocompromised Condition","Female","7233","339"
"Immunocompromised Condition","Male","4383","395"
"Immunocompromised Condition","Total","11640","734"
"Immunocompromised Condition","Unknown","24","0"
"Missing/Unknown status on all conditions","Female","145489","695"
"Missing/Unknown status on all conditions","Male","132382","811"
"Missing/Unknown status on all conditions","Total","285708","1511"
"Missing/Unknown status on all conditions","Unknown","7837","5"
"Neurologic/Neurodevelopmental","Female","5223","818"
"Neurologic/Neurodevelopmental","Male","3679","709"
"Neurologic/Neurodevelopmental","Total","8934","1527"
"Neurologic/Neurodevelopmental","Unknown","32","0"
"None of the above conditions","Female","175680","3611"
"None of the above conditions","Male","141321","3894"
"None of the above conditions","Total","318537","7506"
"None of the above conditions","Unknown","1536","1"
"Other Chronic Diseases","Female","27339","1558"
"Other Chronic Diseases","Male","18492","1574"
"Other Chronic Diseases","Total","46014","3132"
"Other Chronic Diseases","Unknown","183","0"
"Smoker","Female","17952","389"
"Smoker","Male","22565","763"
"Smoker","Total","40634","1152"
"Smoker","Unknown","117","0"
"Total with completed information","Female","184185","4144"
"Total with completed information","Male","148740","4524"
"Total with completed information","Total","334539","8669"
"Total with completed information","Unknown","1614","1"
