"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","89397","3317"
"Any Chronic Condition","Male","71078","3784"
"Any Chronic Condition","Total","161074","7106"
"Any Chronic Condition","Unknown","599","5"
"Cardiovascular Disease","Female","22646","1994"
"Cardiovascular Disease","Male","20251","2325"
"Cardiovascular Disease","Total","43019","4320"
"Cardiovascular Disease","Unknown","122","1"
"Chronic Liver Disease","Female","1029","93"
"Chronic Liver Disease","Male","899","132"
"Chronic Liver Disease","Total","1935","225"
"Chronic Liver Disease","Unknown","7","0"
"Chronic Lung Disease","Female","24364","954"
"Chronic Lung Disease","Male","15373","952"
"Chronic Lung Disease","Total","39883","1907"
"Chronic Lung Disease","Unknown","146","1"
"Chronic Renal Disease","Female","4391","777"
"Chronic Renal Disease","Male","4222","934"
"Chronic Renal Disease","Total","8642","1712"
"Chronic Renal Disease","Unknown","29","1"
"Currently Pregnant","Female","3942","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3951","6"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","23189","1380"
"Diabetes Mellitus","Male","19838","1694"
"Diabetes Mellitus","Total","43165","3077"
"Diabetes Mellitus","Unknown","138","3"
"ICU","Female","3650","1417"
"ICU","Male","4721","1884"
"ICU","Total","8390","3303"
"ICU","Unknown","19","2"
"Immunocompromised Condition","Female","8345","399"
"Immunocompromised Condition","Male","4957","485"
"Immunocompromised Condition","Total","13331","884"
"Immunocompromised Condition","Unknown","29","0"
"Missing/Unknown status on all conditions","Female","184826","773"
"Missing/Unknown status on all conditions","Male","167692","947"
"Missing/Unknown status on all conditions","Total","362081","1727"
"Missing/Unknown status on all conditions","Unknown","9563","7"
"Neurologic/Neurodevelopmental","Female","6256","918"
"Neurologic/Neurodevelopmental","Male","4527","835"
"Neurologic/Neurodevelopmental","Total","10829","1754"
"Neurologic/Neurodevelopmental","Unknown","46","1"
"None of the above conditions","Female","202462","4525"
"None of the above conditions","Male","162406","4985"
"None of the above conditions","Total","366632","9523"
"None of the above conditions","Unknown","1764","13"
"Other Chronic Diseases","Female","29611","1714"
"Other Chronic Diseases","Male","19745","1752"
"Other Chronic Diseases","Total","49555","3467"
"Other Chronic Diseases","Unknown","199","1"
"Smoker","Female","20738","472"
"Smoker","Male","25702","901"
"Smoker","Total","46572","1373"
"Smoker","Unknown","132","0"
"Total with completed information","Female","212047","5126"
"Total with completed information","Male","170882","5699"
"Total with completed information","Total","384786","10841"
"Total with completed information","Unknown","1857","16"
