"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","183462","6614"
"Any Chronic Condition","Male","140971","7706"
"Any Chronic Condition","Total","324838","14322"
"Any Chronic Condition","Unknown","405","2"
"Any Disability","Female","13442","1689"
"Any Disability","Male","10983","1604"
"Any Disability","Total","24460","3293"
"Any Disability","Unknown","35","0"
"Cardiovascular Disease","Female","32499","3296"
"Cardiovascular Disease","Male","29742","4068"
"Cardiovascular Disease","Total","62287","7365"
"Cardiovascular Disease","Unknown","46","1"
"Chronic Liver Disease","Female","2113","192"
"Chronic Liver Disease","Male","1793","293"
"Chronic Liver Disease","Total","3908","485"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","49966","1916"
"Chronic Lung Disease","Male","31838","1949"
"Chronic Lung Disease","Total","81926","3865"
"Chronic Lung Disease","Unknown","122","0"
"Chronic Renal Disease","Female","7613","1464"
"Chronic Renal Disease","Male","7389","1860"
"Chronic Renal Disease","Total","15012","3325"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","11819","27"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","11827","27"
"Currently Pregnant","Unknown","8","0"
"Diabetes Mellitus","Female","40526","2722"
"Diabetes Mellitus","Male","34208","3340"
"Diabetes Mellitus","Total","74813","6064"
"Diabetes Mellitus","Unknown","79","2"
"Hypertension/High blood pressure","Female","39819","1985"
"Hypertension/High blood pressure","Male","31047","2221"
"Hypertension/High blood pressure","Total","70965","4206"
"Hypertension/High blood pressure","Unknown","99","0"
"ICU","Female","6954","2923"
"ICU","Male","8807","3928"
"ICU","Total","15792","6853"
"ICU","Unknown","31","2"
"Immunocompromised Condition","Female","9038","534"
"Immunocompromised Condition","Male","5238","596"
"Immunocompromised Condition","Total","14286","1130"
"Immunocompromised Condition","Unknown","10","0"
"Missing/Unknown status on all conditions","Female","559624","1344"
"Missing/Unknown status on all conditions","Male","494960","1533"
"Missing/Unknown status on all conditions","Total","1067776","2879"
"Missing/Unknown status on all conditions","Unknown","13192","2"
"None of the above conditions","Female","473127","12272"
"None of the above conditions","Male","367342","14328"
"None of the above conditions","Total","842348","26600"
"None of the above conditions","Unknown","1879","0"
"Obesity (BMI>40)","Female","14568","489"
"Obesity (BMI>40)","Male","7787","462"
"Obesity (BMI>40)","Total","22380","951"
"Obesity (BMI>40)","Unknown","25","0"
"Other Chronic Diseases","Female","40880","2651"
"Other Chronic Diseases","Male","26538","2743"
"Other Chronic Diseases","Total","67484","5394"
"Other Chronic Diseases","Unknown","66","0"
"Smoker","Female","43498","1063"
"Smoker","Male","50248","2004"
"Smoker","Total","93830","3067"
"Smoker","Unknown","84","0"
"Total with completed information","Female","490879","13099"
"Total with completed information","Male","379600","15235"
"Total with completed information","Total","872400","28336"
"Total with completed information","Unknown","1921","2"
