"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","142731","5352"
"Any Chronic Condition","Male","112655","6141"
"Any Chronic Condition","Total","255745","11495"
"Any Chronic Condition","Unknown","359","2"
"Any Disability","Female","10478","1450"
"Any Disability","Male","8175","1318"
"Any Disability","Total","18676","2768"
"Any Disability","Unknown","23","0"
"Cardiovascular Disease","Female","28204","2805"
"Cardiovascular Disease","Male","25768","3411"
"Cardiovascular Disease","Total","54024","6217"
"Cardiovascular Disease","Unknown","52","1"
"Chronic Liver Disease","Female","1613","143"
"Chronic Liver Disease","Male","1398","219"
"Chronic Liver Disease","Total","3014","362"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","38046","1493"
"Chronic Lung Disease","Male","24454","1540"
"Chronic Lung Disease","Total","62575","3033"
"Chronic Lung Disease","Unknown","75","0"
"Chronic Renal Disease","Female","6284","1194"
"Chronic Renal Disease","Male","6089","1508"
"Chronic Renal Disease","Total","12382","2702"
"Chronic Renal Disease","Unknown","9","0"
"Currently Pregnant","Female","6942","13"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","6945","13"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","33242","2204"
"Diabetes Mellitus","Male","28452","2707"
"Diabetes Mellitus","Total","61764","4913"
"Diabetes Mellitus","Unknown","70","2"
"Hypertension/High blood pressure","Female","26442","1217"
"Hypertension/High blood pressure","Male","20726","1324"
"Hypertension/High blood pressure","Total","47261","2541"
"Hypertension/High blood pressure","Unknown","93","0"
"ICU","Female","5611","2274"
"ICU","Male","7137","3015"
"ICU","Total","12769","5291"
"ICU","Unknown","21","2"
"Immunocompromised Condition","Female","9907","580"
"Immunocompromised Condition","Male","5775","668"
"Immunocompromised Condition","Total","15697","1248"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","306754","1066"
"Missing/Unknown status on all conditions","Male","282221","1220"
"Missing/Unknown status on all conditions","Total","597630","2287"
"Missing/Unknown status on all conditions","Unknown","8655","1"
"None of the above conditions","Female","327438","8521"
"None of the above conditions","Male","262986","9728"
"None of the above conditions","Total","591674","18253"
"None of the above conditions","Unknown","1250","4"
"Obesity (BMI>40)","Female","9398","279"
"Obesity (BMI>40)","Male","5123","252"
"Obesity (BMI>40)","Total","14539","531"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","36792","2267"
"Other Chronic Diseases","Male","24083","2320"
"Other Chronic Diseases","Total","60952","4587"
"Other Chronic Diseases","Unknown","77","0"
"Smoker","Female","33486","823"
"Smoker","Male","40086","1535"
"Smoker","Total","73658","2358"
"Smoker","Unknown","86","0"
"Total with completed information","Female","340717","9266"
"Total with completed information","Male","273935","10564"
"Total with completed information","Total","615956","19835"
"Total with completed information","Unknown","1304","5"
