county_resident,positive,deaths,hospitalization,case_rate
Appling,1035,29,91,5576.21
Atkinson,443,3,58,5318.13
Bacon,599,14,46,5252.54
Baker,84,4,20,2695.76
Baldwin,2134,57,167,4803.28
Banks,487,8,66,2437.19
Barrow,2200,48,242,2546.8
Bartow,2924,85,292,2639.68
Ben Hill,782,24,79,4698.11
Berrien,452,12,22,2344.88
Bibb,6075,170,848,3992.77
Bleckley,434,21,27,3380.59
Brantley,345,10,33,1796.69
Brooks,523,26,55,3325.49
Bryan,1153,11,80,2946.06
Bulloch,2885,28,132,3630.44
Burke,813,10,86,3638.89
Butts,659,42,53,2617.78
Calhoun,246,8,47,3894.25
Camden,1296,11,53,2403.38
Candler,464,19,31,4281.63
Carroll,2798,68,156,2329.36
Catoosa,1193,18,78,1734.74
Charlton,634,7,25,4784.54
Chatham,8482,162,759,2903.04
Chattahoochee,1632,1,14,15182.81
Chattooga,771,22,54,3113.14
Cherokee,6066,92,487,2275.17
Clarke,5064,44,225,3902.02
Clay,121,2,9,4238.18
Clayton,7090,162,644,2325.83
Clinch,379,6,28,5694.11
Cobb,19634,427,1764,2483.47
Coffee,2061,50,303,4788.35
Colquitt,1890,34,153,4163.64
Columbia,3760,61,181,2370.28
Cook,549,13,61,3148.48
Coweta,2617,47,131,1721.7
Crawford,166,5,26,1357.54
Crisp,560,17,72,2512.45
Dade,282,5,20,1744.83
Dawson,821,7,75,3038.38
DeKalb,18773,365,2103,2366.88
Decatur,1156,29,87,4391.76
Dodge,426,12,39,2089.77
Dooly,338,14,52,2522.39
Dougherty,3152,187,644,3505.92
Douglas,3571,71,407,2350.8
Early,495,33,37,4878.77
Echols,241,2,9,6072.06
Effingham,1445,23,97,2256.9
Elbert,677,3,44,3573.5
Emanuel,1058,31,78,4668.2
Evans,430,6,35,4023.58
Fannin,658,24,50,2500
Fayette,1860,50,104,1582.39
Floyd,3183,45,235,3185.68
Forsyth,4052,45,320,1604.71
Franklin,752,13,59,3223.46
Fulton,27650,576,2409,2515.51
Gilmer,820,13,79,2610.05
Glascock,39,2,4,1289.26
Glynn,3463,95,283,4024.54
Gordon,1867,36,113,3216.25
Grady,778,22,91,3170.33
Greene,508,24,57,2714.11
Gwinnett,27519,407,2685,2833.67
Habersham,1654,67,219,3611.35
Hall,9279,152,963,4496.75
Hancock,393,42,64,4796.78
Haralson,486,8,27,1581.93
Harris,794,22,88,2287.39
Hart,515,13,67,1972.65
Heard,195,5,15,1576.39
Henry,5248,102,214,2187.89
Houston,3158,82,377,2010.97
Irwin,300,4,37,3180.32
Jackson,2004,32,164,2682.73
Jasper,221,4,21,1556.45
Jeff Davis,720,20,47,4753.1
Jefferson,797,29,76,5204.73
Jenkins,424,30,63,4944.03
Johnson,417,22,57,4316.32
Jones,559,8,49,1955.16
Lamar,369,18,42,1907.27
Lanier,295,5,15,2849.97
Laurens,1657,74,141,3503.47
Lee,699,26,104,2332.25
Liberty,1118,22,109,1806.02
Lincoln,213,7,24,2621.54
Long,251,3,19,1260.36
Lowndes,3907,82,199,3314.44
Lumpkin,917,14,92,2712.86
Macon,234,10,46,1801.66
Madison,694,8,58,2299.76
Marion,191,8,20,2303.15
McDuffie,605,14,69,2801.31
McIntosh,291,7,30,1997.67
Meriwether,545,13,71,2592.77
Miller,261,1,10,4528.11
Mitchell,813,45,148,3686.07
Monroe,693,51,84,2499.37
Montgomery,310,5,23,3360.8
Morgan,485,3,38,2534.23
Murray,837,6,52,2078.93
Muscogee,6034,170,664,3148.84
Newton,2602,90,271,2315.89
Non-GA Resident/Unknown State,16287,158,635,0
Oconee,750,26,64,1796.97
Oglethorpe,330,11,45,2165.35
Paulding,2789,54,143,1616.42
Peach,672,24,105,2454.79
Pickens,619,10,56,1846.11
Pierce,611,20,81,3126.12
Pike,329,10,31,1744.43
Polk,1484,17,98,3412.91
Pulaski,313,22,37,2873.4
Putnam,692,25,68,3161.98
Quitman,32,1,6,1394.94
Rabun,341,9,45,2007.54
Randolph,331,29,55,4900.8
Richmond,7136,162,566,3528.48
Rockdale,1858,36,223,1956.61
Schley,105,2,16,1990.52
Screven,416,10,44,2992.81
Seminole,356,9,24,4373.46
Spalding,1335,61,188,1931.7
Stephens,1064,38,113,4041.32
Stewart,522,14,80,8516.89
Sumter,933,62,199,3173.58
Talbot,166,6,22,2695.68
Taliaferro,22,0,2,1348.04
Tattnall,836,11,59,3289.91
Taylor,213,11,32,2676.55
Telfair,390,19,40,2492.97
Terrell,329,32,74,3885.67
Thomas,1495,63,167,3364.77
Tift,1787,57,223,4376.68
Toombs,1330,49,103,4929.03
Towns,334,9,37,2775.47
Treutlen,258,9,27,3778.01
Troup,2808,100,310,3987.84
Turner,305,23,48,3776.62
Twiggs,195,7,48,2411.58
Union,771,20,83,3043.22
Unknown,2231,6,57,0
Upson,796,62,80,3029.27
Walker,1552,36,80,2229.56
Walton,1826,55,178,1905.78
Ware,1501,59,172,4186.54
Warren,152,5,23,2917.47
Washington,675,8,50,3324.8
Wayne,1139,30,110,3799.96
Webster,44,2,10,1725.49
Wheeler,336,11,19,4248.32
White,837,19,99,2635.56
Whitfield,4585,60,241,4380.35
Wilcox,248,20,51,2821.39
Wilkes,268,5,30,2676.25
Wilkinson,338,18,61,3789.66
Worth,535,30,90,2656.14
