"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","52077","2414"
"Any Chronic Condition","Male","42680","2681"
"Any Chronic Condition","Total","95084","5096"
"Any Chronic Condition","Unknown","327","1"
"Cardiovascular Disease","Female","16462","1551"
"Cardiovascular Disease","Male","14067","1752"
"Cardiovascular Disease","Total","30603","3303"
"Cardiovascular Disease","Unknown","74","0"
"Chronic Liver Disease","Female","647","67"
"Chronic Liver Disease","Male","581","97"
"Chronic Liver Disease","Total","1231","164"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","15046","719"
"Chronic Lung Disease","Male","9474","707"
"Chronic Lung Disease","Total","24624","1426"
"Chronic Lung Disease","Unknown","104","0"
"Chronic Renal Disease","Female","3046","606"
"Chronic Renal Disease","Male","2800","708"
"Chronic Renal Disease","Total","5862","1314"
"Chronic Renal Disease","Unknown","16","0"
"Currently Pregnant","Female","2658","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2665","5"
"Currently Pregnant","Unknown","7","0"
"Diabetes Mellitus","Female","15197","1014"
"Diabetes Mellitus","Male","12786","1249"
"Diabetes Mellitus","Total","28069","2264"
"Diabetes Mellitus","Unknown","86","1"
"ICU","Female","2779","1046"
"ICU","Male","3546","1417"
"ICU","Total","6340","2464"
"ICU","Unknown","15","1"
"Immunocompromised Condition","Female","5018","293"
"Immunocompromised Condition","Male","3110","354"
"Immunocompromised Condition","Total","8144","647"
"Immunocompromised Condition","Unknown","16","0"
"Missing/Unknown status on all conditions","Female","81020","647"
"Missing/Unknown status on all conditions","Male","76801","732"
"Missing/Unknown status on all conditions","Total","162810","1381"
"Missing/Unknown status on all conditions","Unknown","4989","2"
"Neurologic/Neurodevelopmental","Female","3836","710"
"Neurologic/Neurodevelopmental","Male","2619","612"
"Neurologic/Neurodevelopmental","Total","6479","1322"
"Neurologic/Neurodevelopmental","Unknown","24","0"
"None of the above conditions","Female","124608","3047"
"None of the above conditions","Male","100602","3234"
"None of the above conditions","Total","226327","6281"
"None of the above conditions","Unknown","1117","0"
"Other Chronic Diseases","Female","8164","757"
"Other Chronic Diseases","Male","5198","748"
"Other Chronic Diseases","Total","13409","1505"
"Other Chronic Diseases","Unknown","47","0"
"Smoker","Female","13282","327"
"Smoker","Male","17101","648"
"Smoker","Total","30478","975"
"Smoker","Unknown","95","0"
"Total with completed information","Female","130035","3479"
"Total with completed information","Male","105411","3730"
"Total with completed information","Total","236600","7210"
"Total with completed information","Unknown","1154","1"
