"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","83053","3012"
"Any Chronic Condition","Male","66022","3456"
"Any Chronic Condition","Total","149634","6471"
"Any Chronic Condition","Unknown","559","3"
"Cardiovascular Disease","Female","21657","1844"
"Cardiovascular Disease","Male","19225","2142"
"Cardiovascular Disease","Total","40992","3986"
"Cardiovascular Disease","Unknown","110","0"
"Chronic Liver Disease","Female","928","80"
"Chronic Liver Disease","Male","832","126"
"Chronic Liver Disease","Total","1766","206"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","22404","867"
"Chronic Lung Disease","Male","14133","869"
"Chronic Lung Disease","Total","36669","1737"
"Chronic Lung Disease","Unknown","132","1"
"Chronic Renal Disease","Female","4081","711"
"Chronic Renal Disease","Male","3923","860"
"Chronic Renal Disease","Total","8030","1571"
"Chronic Renal Disease","Unknown","26","0"
"Currently Pregnant","Female","3669","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3680","6"
"Currently Pregnant","Unknown","11","0"
"Diabetes Mellitus","Female","21514","1248"
"Diabetes Mellitus","Male","18359","1551"
"Diabetes Mellitus","Total","40002","2800"
"Diabetes Mellitus","Unknown","129","1"
"ICU","Female","3446","1294"
"ICU","Male","4491","1760"
"ICU","Total","7954","3056"
"ICU","Unknown","17","2"
"Immunocompromised Condition","Female","7704","359"
"Immunocompromised Condition","Male","4612","438"
"Immunocompromised Condition","Total","12342","797"
"Immunocompromised Condition","Unknown","26","0"
"Missing/Unknown status on all conditions","Female","163610","730"
"Missing/Unknown status on all conditions","Male","147978","857"
"Missing/Unknown status on all conditions","Total","320342","1593"
"Missing/Unknown status on all conditions","Unknown","8754","6"
"Neurologic/Neurodevelopmental","Female","5649","851"
"Neurologic/Neurodevelopmental","Male","4016","752"
"Neurologic/Neurodevelopmental","Total","9706","1604"
"Neurologic/Neurodevelopmental","Unknown","41","1"
"None of the above conditions","Female","186508","3903"
"None of the above conditions","Male","149598","4302"
"None of the above conditions","Total","337744","8211"
"None of the above conditions","Unknown","1638","6"
"Other Chronic Diseases","Female","28216","1619"
"Other Chronic Diseases","Male","18953","1658"
"Other Chronic Diseases","Total","47365","3278"
"Other Chronic Diseases","Unknown","196","1"
"Smoker","Female","19049","419"
"Smoker","Male","23774","824"
"Smoker","Total","42946","1243"
"Smoker","Unknown","123","0"
"Total with completed information","Female","195457","4469"
"Total with completed information","Male","157474","4960"
"Total with completed information","Total","354652","9436"
"Total with completed information","Unknown","1721","7"
