"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","126182","4851"
"Any Chronic Condition","Male","100424","5527"
"Any Chronic Condition","Total","227055","10380"
"Any Chronic Condition","Unknown","449","2"
"Any Disability","Female","9344","1343"
"Any Disability","Male","7171","1193"
"Any Disability","Total","16545","2537"
"Any Disability","Unknown","30","1"
"Cardiovascular Disease","Female","26392","2657"
"Cardiovascular Disease","Male","24033","3171"
"Cardiovascular Disease","Total","50492","5828"
"Cardiovascular Disease","Unknown","67","0"
"Chronic Liver Disease","Female","1428","135"
"Chronic Liver Disease","Male","1245","199"
"Chronic Liver Disease","Total","2677","334"
"Chronic Liver Disease","Unknown","4","0"
"Chronic Lung Disease","Female","33129","1358"
"Chronic Lung Disease","Male","21078","1403"
"Chronic Lung Disease","Total","54304","2761"
"Chronic Lung Disease","Unknown","97","0"
"Chronic Renal Disease","Female","5649","1112"
"Chronic Renal Disease","Male","5568","1377"
"Chronic Renal Disease","Total","11233","2489"
"Chronic Renal Disease","Unknown","16","0"
"Currently Pregnant","Female","5491","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5496","6"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","30237","1996"
"Diabetes Mellitus","Male","26096","2461"
"Diabetes Mellitus","Total","56423","4458"
"Diabetes Mellitus","Unknown","90","1"
"Hypertension/High blood pressure","Female","21012","962"
"Hypertension/High blood pressure","Male","16591","1020"
"Hypertension/High blood pressure","Total","37687","1982"
"Hypertension/High blood pressure","Unknown","84","0"
"ICU","Female","4954","2004"
"ICU","Male","6317","2687"
"ICU","Total","11283","4692"
"ICU","Unknown","12","1"
"Immunocompromised Condition","Female","10422","597"
"Immunocompromised Condition","Male","6081","683"
"Immunocompromised Condition","Total","16528","1280"
"Immunocompromised Condition","Unknown","25","0"
"Missing/Unknown status on all conditions","Female","199534","843"
"Missing/Unknown status on all conditions","Male","184234","1009"
"Missing/Unknown status on all conditions","Total","390768","1853"
"Missing/Unknown status on all conditions","Unknown","7000","1"
"None of the above conditions","Female","278618","7223"
"None of the above conditions","Male","226660","8120"
"None of the above conditions","Total","506692","15344"
"None of the above conditions","Unknown","1414","1"
"Obesity (BMI>40)","Female","7326","215"
"Obesity (BMI>40)","Male","3993","188"
"Obesity (BMI>40)","Total","11333","403"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","35101","2177"
"Other Chronic Diseases","Male","23105","2212"
"Other Chronic Diseases","Total","58323","4389"
"Other Chronic Diseases","Unknown","117","0"
"Smoker","Female","28952","741"
"Smoker","Male","35681","1401"
"Smoker","Total","64732","2142"
"Smoker","Unknown","99","0"
"Total with completed information","Female","288682","7909"
"Total with completed information","Male","235467","8891"
"Total with completed information","Total","525605","16802"
"Total with completed information","Unknown","1456","2"
