State,County,ICU Beds,Acute Care Beds
Georgia,Appling,3,
Georgia,Atkinson,0,
Georgia,Bacon,4,
Georgia,Baker,0,
Georgia,Baldwin,12,140
Georgia,Banks,0,
Georgia,Barrow,6,80
Georgia,Bartow,21,112
Georgia,Ben Hill,5,75
Georgia,Berrien,0,51
Georgia,Bibb,117,979
Georgia,Bleckley,0,25
Georgia,Brantley,0,
Georgia,Brooks,0,25
Georgia,Bryan,0,
Georgia,Bulloch,24,150
Georgia,Burke,0,
Georgia,Butts,0,21
Georgia,Calhoun,0,
Georgia,Camden,5,40
Georgia,Candler,6,25
Georgia,Carroll,18,281
Georgia,Catoosa,0,36
Georgia,Charlton,0,
Georgia,Chatham,78,1368
Georgia,Chattahoochee,0,
Georgia,Chattooga,0,
Georgia,Cherokee,15,158
Georgia,Clarke,104,520
Georgia,Clay,0,
Georgia,Clayton,34,331
Georgia,Clinch,0,25
Georgia,Cobb,119,1001
Georgia,Coffee,10,88
Georgia,Colquitt,10,84
Georgia,Columbia,0,
Georgia,Cook,0,60
Georgia,Coweta,19,143
Georgia,Crawford,0,
Georgia,Crisp,16,216
Georgia,Dade,0,
Georgia,Dawson,0,
Georgia,Decatur,10,80
Georgia,DeKalb,168,1297
Georgia,Dodge,6,94
Georgia,Dooly,0,
Georgia,Dougherty,50,668
Georgia,Douglas,8,102
Georgia,Early,0,25
Georgia,Echols,0,unknown
Georgia,Effingham,0,
Georgia,Elbert,4,52
Georgia,Emanuel,8,94
Georgia,Evans,0,209
Georgia,Fannin,5,50
Georgia,Fayette,37,300
Georgia,Floyd,65,508
Georgia,Forsyth,24,304
Georgia,Franklin,8,56
Georgia,Fulton,538,3746
Georgia,Gilmer,0,
Georgia,Glascock,0,
Georgia,Glynn,24,316
Georgia,Gordon,8,69
Georgia,Grady,4,60
Georgia,Greene,0,25
Georgia,Gwinnett,82,815
Georgia,Habersham,4,137
Georgia,Hall,85,657
Georgia,Hancock,0,
Georgia,Haralson,0,25
Georgia,Harris,0,
Georgia,Hart,0,
Georgia,Heard,0,
Georgia,Henry,40,277
Georgia,Houston,36,282
Georgia,Irwin,0,34
Georgia,Jackson,0,239
Georgia,Jasper,0,17
Georgia,Jeff Davis,4,25
Georgia,Jefferson,0,37
Georgia,Jenkins,0,25
Georgia,Johnson,0,
Georgia,Jones,0,
Georgia,Lamar,0,
Georgia,Lanier,0,25
Georgia,Laurens,16,190
Georgia,Lee,0,
Georgia,Liberty,0,25
Georgia,Lincoln,0,
Georgia,Long,0,
Georgia,Lowndes,48,335
Georgia,Lumpkin,0,49
Georgia,McDuffie,0,25
Georgia,McIntosh,0,
Georgia,Macon,0,49
Georgia,Madison,0,
Georgia,Marion,0,
Georgia,Meriwether,0,104
Georgia,Miller,0,25
Georgia,Mitchell,0,25
Georgia,Monroe,0,25
Georgia,Montgomery,0,
Georgia,Morgan,0,46
Georgia,Murray,0,29
Georgia,Muscogee,61,1043
Georgia,Newton,10,97
Georgia,Oconee,0,
Georgia,Oglethorpe,0,
Georgia,Paulding,8,216
Georgia,Peach,0,
Georgia,Pickens,6,35
Georgia,Pierce,0,
Georgia,Pike,0,
Georgia,Polk,0,18
Georgia,Pulaski,6,55
Georgia,Putnam,0,25
Georgia,Quitman,0,
Georgia,Rabun,0,unknown
Georgia,Randolph,0,105
Georgia,Richmond,264,1915
Georgia,Rockdale,16,138
Georgia,Schley,0,
Georgia,Screven,0,unknown
Georgia,Seminole,0,65
Georgia,Spalding,22,160
Georgia,Stephens,6,96
Georgia,Stewart,0,
Georgia,Sumter,10,76
Georgia,Talbot,0,
Georgia,Taliaferro,0,
Georgia,Tattnall,0,
Georgia,Taylor,0,
Georgia,Telfair,0,
Georgia,Terrell,0,
Georgia,Thomas,35,264
Georgia,Tift,20,181
Georgia,Toombs,8,122
Georgia,Towns,0,137
Georgia,Treutlen,0,
Georgia,Troup,20,542
Georgia,Turner,0,
Georgia,Twiggs,0,
Georgia,Union,5,45
Georgia,Upson,28,120
Georgia,Walker,0,
Georgia,Walton,7,135
Georgia,Ware,22,345
Georgia,Warren,0,
Georgia,Washington,0,116
Georgia,Wayne,12,115
Georgia,Webster,0,
Georgia,Wheeler,0,
Georgia,White,0,
Georgia,Whitfield,34,282
Georgia,Wilcox,0,
Georgia,Wilkes,0,25
Georgia,Wilkinson,0,
Georgia,Worth,0,25
