"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","152860","5949"
"Any Chronic Condition","Male","120745","6818"
"Any Chronic Condition","Total","273959","12773"
"Any Chronic Condition","Unknown","354","6"
"Any Disability","Female","11329","1550"
"Any Disability","Male","9022","1398"
"Any Disability","Total","20376","2948"
"Any Disability","Unknown","25","0"
"Cardiovascular Disease","Female","29244","3021"
"Cardiovascular Disease","Male","26762","3677"
"Cardiovascular Disease","Total","56052","6702"
"Cardiovascular Disease","Unknown","46","4"
"Chronic Liver Disease","Female","1727","161"
"Chronic Liver Disease","Male","1520","246"
"Chronic Liver Disease","Total","3249","407"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","41073","1690"
"Chronic Lung Disease","Male","26498","1710"
"Chronic Lung Disease","Total","67657","3402"
"Chronic Lung Disease","Unknown","86","2"
"Chronic Renal Disease","Female","6626","1312"
"Chronic Renal Disease","Male","6412","1631"
"Chronic Renal Disease","Total","13049","2946"
"Chronic Renal Disease","Unknown","11","3"
"Currently Pregnant","Female","7679","21"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7682","21"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","35144","2458"
"Diabetes Mellitus","Male","30033","2985"
"Diabetes Mellitus","Total","65244","5447"
"Diabetes Mellitus","Unknown","67","4"
"Hypertension/High blood pressure","Female","30232","1576"
"Hypertension/High blood pressure","Male","23648","1725"
"Hypertension/High blood pressure","Total","53967","3302"
"Hypertension/High blood pressure","Unknown","87","1"
"ICU","Female","6156","2595"
"ICU","Male","7749","3453"
"ICU","Total","13933","6053"
"ICU","Unknown","28","5"
"Immunocompromised Condition","Female","9438","562"
"Immunocompromised Condition","Male","5492","633"
"Immunocompromised Condition","Total","14941","1195"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","311929","1114"
"Missing/Unknown status on all conditions","Male","290699","1260"
"Missing/Unknown status on all conditions","Total","611062","2375"
"Missing/Unknown status on all conditions","Unknown","8434","1"
"None of the above conditions","Female","357767","10041"
"None of the above conditions","Male","286928","11564"
"None of the above conditions","Total","646085","21614"
"None of the above conditions","Unknown","1390","9"
"Obesity (BMI>40)","Female","10971","392"
"Obesity (BMI>40)","Male","5998","352"
"Obesity (BMI>40)","Total","16985","744"
"Obesity (BMI>40)","Unknown","16","0"
"Other Chronic Diseases","Female","37756","2447"
"Other Chronic Diseases","Male","24726","2477"
"Other Chronic Diseases","Total","62556","4924"
"Other Chronic Diseases","Unknown","74","0"
"Smoker","Female","36422","937"
"Smoker","Male","43229","1736"
"Smoker","Total","79731","2674"
"Smoker","Unknown","80","1"
"Total with completed information","Female","371212","10834"
"Total with completed information","Male","297791","12428"
"Total with completed information","Total","670433","23275"
"Total with completed information","Unknown","1430","13"
