"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","188799","6690"
"Any Chronic Condition","Male","144373","7798"
"Any Chronic Condition","Total","333588","14490"
"Any Chronic Condition","Unknown","416","2"
"Any Disability","Female","13786","1708"
"Any Disability","Male","11320","1621"
"Any Disability","Total","25141","3329"
"Any Disability","Unknown","35","0"
"Cardiovascular Disease","Female","32922","3321"
"Cardiovascular Disease","Male","30179","4105"
"Cardiovascular Disease","Total","63145","7427"
"Cardiovascular Disease","Unknown","44","1"
"Chronic Liver Disease","Female","2162","194"
"Chronic Liver Disease","Male","1830","295"
"Chronic Liver Disease","Total","3995","489"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","51367","1943"
"Chronic Lung Disease","Male","32633","1963"
"Chronic Lung Disease","Total","84127","3906"
"Chronic Lung Disease","Unknown","127","0"
"Chronic Renal Disease","Female","7735","1476"
"Chronic Renal Disease","Male","7507","1881"
"Chronic Renal Disease","Total","15252","3358"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","12884","27"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","12894","27"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","41338","2738"
"Diabetes Mellitus","Male","34860","3373"
"Diabetes Mellitus","Total","76278","6113"
"Diabetes Mellitus","Unknown","80","2"
"Hypertension/High blood pressure","Female","41685","2028"
"Hypertension/High blood pressure","Male","32378","2272"
"Hypertension/High blood pressure","Total","74166","4300"
"Hypertension/High blood pressure","Unknown","103","0"
"ICU","Female","7028","2954"
"ICU","Male","8910","3968"
"ICU","Total","15969","6924"
"ICU","Unknown","31","2"
"Immunocompromised Condition","Female","8857","530"
"Immunocompromised Condition","Male","5149","589"
"Immunocompromised Condition","Total","14015","1119"
"Immunocompromised Condition","Unknown","9","0"
"Missing/Unknown status on all conditions","Female","556718","1357"
"Missing/Unknown status on all conditions","Male","494128","1543"
"Missing/Unknown status on all conditions","Total","1063648","2902"
"Missing/Unknown status on all conditions","Unknown","12802","2"
"None of the above conditions","Female","487738","12483"
"None of the above conditions","Male","378162","14569"
"None of the above conditions","Total","867855","27052"
"None of the above conditions","Unknown","1955","0"
"Obesity (BMI>40)","Female","15249","496"
"Obesity (BMI>40)","Male","8076","465"
"Obesity (BMI>40)","Total","23356","961"
"Obesity (BMI>40)","Unknown","31","0"
"Other Chronic Diseases","Female","41342","2667"
"Other Chronic Diseases","Male","26802","2776"
"Other Chronic Diseases","Total","68208","5443"
"Other Chronic Diseases","Unknown","64","0"
"Smoker","Female","44575","1084"
"Smoker","Male","51395","2031"
"Smoker","Total","96055","3115"
"Smoker","Unknown","85","0"
"Total with completed information","Female","505969","13318"
"Total with completed information","Male","390414","15471"
"Total with completed information","Total","898380","28791"
"Total with completed information","Unknown","1997","2"
