"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","159260","6079"
"Any Chronic Condition","Male","125106","6976"
"Any Chronic Condition","Total","284626","13058"
"Any Chronic Condition","Unknown","260","3"
"Any Disability","Female","11749","1583"
"Any Disability","Male","9416","1430"
"Any Disability","Total","21184","3013"
"Any Disability","Unknown","19","0"
"Cardiovascular Disease","Female","29755","3067"
"Cardiovascular Disease","Male","27320","3741"
"Cardiovascular Disease","Total","57109","6810"
"Cardiovascular Disease","Unknown","34","2"
"Chronic Liver Disease","Female","1810","163"
"Chronic Liver Disease","Male","1576","257"
"Chronic Liver Disease","Total","3387","420"
"Chronic Liver Disease","Unknown","1","0"
"Chronic Lung Disease","Female","42968","1733"
"Chronic Lung Disease","Male","27617","1759"
"Chronic Lung Disease","Total","70652","3493"
"Chronic Lung Disease","Unknown","67","1"
"Chronic Renal Disease","Female","6792","1344"
"Chronic Renal Disease","Male","6585","1666"
"Chronic Renal Disease","Total","13383","3012"
"Chronic Renal Disease","Unknown","6","2"
"Currently Pregnant","Female","8562","22"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","8566","22"
"Currently Pregnant","Unknown","4","0"
"Diabetes Mellitus","Female","36184","2516"
"Diabetes Mellitus","Male","30869","3051"
"Diabetes Mellitus","Total","67110","5569"
"Diabetes Mellitus","Unknown","57","2"
"Hypertension/High blood pressure","Female","32172","1656"
"Hypertension/High blood pressure","Male","25207","1822"
"Hypertension/High blood pressure","Total","57438","3478"
"Hypertension/High blood pressure","Unknown","59","0"
"ICU","Female","6328","2679"
"ICU","Male","7981","3551"
"ICU","Total","14331","6233"
"ICU","Unknown","22","3"
"Immunocompromised Condition","Female","9302","550"
"Immunocompromised Condition","Male","5399","612"
"Immunocompromised Condition","Total","14708","1162"
"Immunocompromised Condition","Unknown","7","0"
"Missing/Unknown status on all conditions","Female","347477","1162"
"Missing/Unknown status on all conditions","Male","318354","1310"
"Missing/Unknown status on all conditions","Total","673564","2474"
"Missing/Unknown status on all conditions","Unknown","7733","2"
"None of the above conditions","Female","381699","10330"
"None of the above conditions","Male","303145","11888"
"None of the above conditions","Total","685972","22218"
"None of the above conditions","Unknown","1128","0"
"Obesity (BMI>40)","Female","11797","418"
"Obesity (BMI>40)","Male","6442","386"
"Obesity (BMI>40)","Total","18249","804"
"Obesity (BMI>40)","Unknown","10","0"
"Other Chronic Diseases","Female","38334","2485"
"Other Chronic Diseases","Male","25065","2521"
"Other Chronic Diseases","Total","63452","5006"
"Other Chronic Diseases","Unknown","53","0"
"Smoker","Female","38022","964"
"Smoker","Male","44839","1797"
"Smoker","Total","82913","2761"
"Smoker","Unknown","52","0"
"Total with completed information","Female","395793","11127"
"Total with completed information","Male","314094","12754"
"Total with completed information","Total","711042","23884"
"Total with completed information","Unknown","1155","3"
