"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","111696","4238"
"Any Chronic Condition","Male","88924","4920"
"Any Chronic Condition","Total","201169","9163"
"Any Chronic Condition","Unknown","549","5"
"Any Disability","Female","7998","1165"
"Any Disability","Male","6031","1066"
"Any Disability","Total","14066","2235"
"Any Disability","Unknown","37","4"
"Cardiovascular Disease","Female","24866","2394"
"Cardiovascular Disease","Male","22574","2880"
"Cardiovascular Disease","Total","47526","5276"
"Cardiovascular Disease","Unknown","86","2"
"Chronic Liver Disease","Female","1259","118"
"Chronic Liver Disease","Male","1105","171"
"Chronic Liver Disease","Total","2371","289"
"Chronic Liver Disease","Unknown","7","0"
"Chronic Lung Disease","Female","29387","1187"
"Chronic Lung Disease","Male","18709","1240"
"Chronic Lung Disease","Total","48222","2427"
"Chronic Lung Disease","Unknown","126","0"
"Chronic Renal Disease","Female","5114","972"
"Chronic Renal Disease","Male","5027","1209"
"Chronic Renal Disease","Total","10163","2182"
"Chronic Renal Disease","Unknown","22","1"
"Currently Pregnant","Female","4711","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4721","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","27262","1745"
"Diabetes Mellitus","Male","23624","2178"
"Diabetes Mellitus","Total","50999","3924"
"Diabetes Mellitus","Unknown","113","1"
"Hypertension/High blood pressure","Female","14494","553"
"Hypertension/High blood pressure","Male","11451","637"
"Hypertension/High blood pressure","Total","26036","1191"
"Hypertension/High blood pressure","Unknown","91","1"
"ICU","Female","4262","1736"
"ICU","Male","5497","2365"
"ICU","Total","9776","4104"
"ICU","Unknown","17","3"
"Immunocompromised Condition","Female","10029","538"
"Immunocompromised Condition","Male","5916","630"
"Immunocompromised Condition","Total","15978","1169"
"Immunocompromised Condition","Unknown","33","1"
"Missing/Unknown status on all conditions","Female","202364","841"
"Missing/Unknown status on all conditions","Male","185276","1025"
"Missing/Unknown status on all conditions","Total","396645","1873"
"Missing/Unknown status on all conditions","Unknown","9005","7"
"None of the above conditions","Female","245177","6376"
"None of the above conditions","Male","198450","7262"
"None of the above conditions","Total","445276","13645"
"None of the above conditions","Unknown","1649","7"
"Obesity (BMI>40)","Female","4959","119"
"Obesity (BMI>40)","Male","2729","115"
"Obesity (BMI>40)","Total","7706","234"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","33042","1978"
"Other Chronic Diseases","Male","21882","2056"
"Other Chronic Diseases","Total","55077","4036"
"Other Chronic Diseases","Unknown","153","2"
"Smoker","Female","25306","602"
"Smoker","Male","31277","1192"
"Smoker","Total","56696","1794"
"Smoker","Unknown","113","0"
"Total with completed information","Female","255486","7066"
"Total with completed information","Male","207562","8034"
"Total with completed information","Total","464767","15109"
"Total with completed information","Unknown","1719","9"
