county_resident,positive,deaths,hospitalization,case_rate
Appling,1001,26,89,5393.03
Atkinson,435,3,56,5222.09
Bacon,589,10,45,5164.85
Baker,78,3,17,2503.21
Baldwin,2048,55,151,4609.71
Banks,467,7,64,2337.1
Barrow,2079,46,233,2406.72
Bartow,2790,82,272,2518.71
Ben Hill,736,20,79,4421.75
Berrien,438,11,20,2272.26
Bibb,5941,157,829,3904.7
Bleckley,425,19,25,3310.48
Brantley,341,10,32,1775.86
Brooks,510,27,55,3242.83
Bryan,1055,11,75,2695.66
Bulloch,2758,25,129,3470.62
Burke,760,9,82,3401.67
Butts,625,42,52,2482.72
Calhoun,233,7,45,3688.46
Camden,1227,7,50,2275.42
Candler,412,17,28,3801.79
Carroll,2624,63,151,2184.5
Catoosa,1096,17,74,1593.7
Charlton,610,6,22,4603.43
Chatham,8074,146,739,2763.4
Chattahoochee,1622,1,13,15089.78
Chattooga,714,12,50,2882.98
Cherokee,5738,91,474,2152.15
Clarke,4855,41,203,3740.98
Clay,120,2,9,4203.15
Clayton,7010,158,647,2299.58
Clinch,362,6,27,5438.7
Cobb,19000,421,1709,2403.27
Coffee,1976,43,292,4590.86
Colquitt,1905,33,153,4196.68
Columbia,3617,57,178,2280.13
Cook,540,12,57,3096.86
Coweta,2499,41,122,1644.07
Crawford,165,4,25,1349.36
Crisp,529,17,69,2373.37
Dade,271,5,20,1676.77
Dawson,790,6,73,2923.65
DeKalb,18006,349,2027,2270.18
Decatur,1100,27,83,4179.01
Dodge,392,11,37,1922.98
Dooly,322,14,50,2402.99
Dougherty,3122,182,632,3472.55
Douglas,3432,70,397,2259.29
Early,465,32,37,4583.09
Echols,239,2,9,6021.67
Effingham,1365,23,89,2131.95
Elbert,594,3,37,3135.39
Emanuel,978,29,74,4315.21
Evans,412,6,32,3855.15
Fannin,594,12,44,2256.84
Fayette,1734,49,97,1475.19
Floyd,2963,40,219,2965.49
Forsyth,3705,42,304,1467.29
Franklin,709,11,55,3039.14
Fulton,26910,564,2335,2448.19
Gilmer,792,11,76,2520.93
Glascock,37,2,4,1223.14
Glynn,3408,94,273,3960.63
Gordon,1778,36,110,3062.93
Grady,749,21,90,3052.16
Greene,492,23,54,2628.63
Gwinnett,26550,391,2615,2733.89
Habersham,1553,66,207,3390.83
Hall,8757,143,927,4243.78
Hancock,386,41,63,4711.34
Haralson,433,8,26,1409.41
Harris,774,21,85,2229.78
Hart,483,13,61,1850.08
Heard,189,5,14,1527.89
Henry,4947,98,196,2062.4
Houston,3027,77,364,1927.55
Irwin,283,4,35,3000.11
Jackson,1874,30,152,2508.7
Jasper,209,4,20,1471.93
Jeff Davis,702,19,45,4634.28
Jefferson,767,23,74,5008.82
Jenkins,396,29,62,4617.54
Johnson,410,22,55,4243.87
Jones,528,8,46,1846.73
Lamar,350,17,38,1809.07
Lanier,292,5,15,2820.98
Laurens,1578,62,132,3336.43
Lee,690,25,102,2302.23
Liberty,1060,22,106,1712.33
Lincoln,207,7,24,2547.69
Long,230,3,18,1154.91
Lowndes,3803,76,192,3226.22
Lumpkin,872,14,88,2579.73
Macon,227,10,46,1747.77
Madison,659,8,54,2183.78
Marion,185,8,20,2230.8
McDuffie,579,13,67,2680.93
McIntosh,282,7,28,1935.88
Meriwether,532,12,69,2530.92
Miller,241,1,10,4181.12
Mitchell,775,45,142,3513.78
Monroe,656,48,81,2365.92
Montgomery,291,5,21,3154.81
Morgan,468,2,34,2445.4
Murray,793,5,50,1969.65
Muscogee,5849,162,643,3052.3
Newton,2519,80,257,2242.02
Non-GA Resident/Unknown State,16962,149,614,0
Oconee,706,26,59,1691.54
Oglethorpe,314,11,44,2060.37
Paulding,2707,49,139,1568.89
Peach,655,21,101,2392.69
Pickens,600,10,55,1789.44
Pierce,589,17,77,3013.56
Pike,311,9,27,1648.99
Polk,1396,17,95,3210.52
Pulaski,310,13,37,2845.86
Putnam,674,23,70,3079.73
Quitman,31,1,6,1351.35
Rabun,316,7,43,1860.36
Randolph,331,28,55,4900.8
Richmond,6834,152,547,3379.15
Rockdale,1806,35,212,1901.85
Schley,104,2,15,1971.56
Screven,372,9,41,2676.26
Seminole,343,9,23,4213.76
Spalding,1278,56,181,1849.23
Stephens,992,33,103,3767.85
Stewart,462,13,79,7537.93
Sumter,918,60,194,3122.56
Talbot,158,5,22,2565.77
Taliaferro,21,0,2,1286.76
Tattnall,779,9,58,3065.6
Taylor,204,9,30,2563.46
Telfair,377,17,39,2409.87
Terrell,326,31,74,3850.24
Thomas,1471,58,164,3310.75
Tift,1688,56,218,4134.22
Toombs,1277,43,97,4732.61
Towns,297,8,37,2468.01
Treutlen,244,8,25,3573
Troup,2752,93,304,3908.31
Turner,292,22,48,3615.65
Twiggs,183,7,44,2263.17
Union,660,17,74,2605.09
Unknown,2399,5,62,0
Upson,749,59,76,2850.4
Walker,1426,29,74,2048.56
Walton,1733,52,169,1808.71
Ware,1461,53,169,4074.97
Warren,131,5,23,2514.4
Washington,650,8,47,3201.66
Wayne,1087,27,99,3626.48
Webster,43,2,10,1686.27
Wheeler,322,11,19,4071.31
White,721,17,92,2270.29
Whitfield,4436,60,236,4238
Wilcox,243,20,50,2764.51
Wilkes,259,4,29,2586.38
Wilkinson,332,17,59,3722.39
Worth,520,29,87,2581.67
