"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","111248","4211"
"Any Chronic Condition","Male","88590","4900"
"Any Chronic Condition","Total","200404","9117"
"Any Chronic Condition","Unknown","566","6"
"Any Disability","Female","7949","1158"
"Any Disability","Male","5995","1061"
"Any Disability","Total","13984","2223"
"Any Disability","Unknown","40","4"
"Cardiovascular Disease","Female","24822","2378"
"Cardiovascular Disease","Male","22536","2874"
"Cardiovascular Disease","Total","47450","5254"
"Cardiovascular Disease","Unknown","92","2"
"Chronic Liver Disease","Female","1254","116"
"Chronic Liver Disease","Male","1103","171"
"Chronic Liver Disease","Total","2365","287"
"Chronic Liver Disease","Unknown","8","0"
"Chronic Lung Disease","Female","29268","1176"
"Chronic Lung Disease","Male","18639","1233"
"Chronic Lung Disease","Total","48038","2410"
"Chronic Lung Disease","Unknown","131","1"
"Chronic Renal Disease","Female","5096","968"
"Chronic Renal Disease","Male","5004","1202"
"Chronic Renal Disease","Total","10123","2171"
"Chronic Renal Disease","Unknown","23","1"
"Currently Pregnant","Female","4689","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4699","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","27187","1735"
"Diabetes Mellitus","Male","23555","2169"
"Diabetes Mellitus","Total","50860","3905"
"Diabetes Mellitus","Unknown","118","1"
"Hypertension/High blood pressure","Female","14297","534"
"Hypertension/High blood pressure","Male","11313","627"
"Hypertension/High blood pressure","Total","25704","1163"
"Hypertension/High blood pressure","Unknown","94","2"
"ICU","Female","4242","1730"
"ICU","Male","5473","2354"
"ICU","Total","9733","4087"
"ICU","Unknown","18","3"
"Immunocompromised Condition","Female","9987","532"
"Immunocompromised Condition","Male","5893","626"
"Immunocompromised Condition","Total","15914","1159"
"Immunocompromised Condition","Unknown","34","1"
"Missing/Unknown status on all conditions","Female","202285","843"
"Missing/Unknown status on all conditions","Male","185129","1028"
"Missing/Unknown status on all conditions","Total","396352","1878"
"Missing/Unknown status on all conditions","Unknown","8938","7"
"None of the above conditions","Female","244209","6324"
"None of the above conditions","Male","197642","7212"
"None of the above conditions","Total","443528","13544"
"None of the above conditions","Unknown","1677","8"
"Obesity (BMI>40)","Female","4888","114"
"Obesity (BMI>40)","Male","2689","114"
"Obesity (BMI>40)","Total","7595","228"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","32972","1971"
"Other Chronic Diseases","Male","21849","2052"
"Other Chronic Diseases","Total","54983","4026"
"Other Chronic Diseases","Unknown","162","3"
"Smoker","Female","25197","597"
"Smoker","Male","31164","1190"
"Smoker","Total","56480","1787"
"Smoker","Unknown","119","0"
"Total with completed information","Female","254532","7014"
"Total with completed information","Male","206756","7984"
"Total with completed information","Total","463036","15008"
"Total with completed information","Unknown","1748","10"
