"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","140384","5207"
"Any Chronic Condition","Male","110909","5985"
"Any Chronic Condition","Total","251646","11193"
"Any Chronic Condition","Unknown","353","1"
"Any Disability","Female","10299","1423"
"Any Disability","Male","7981","1288"
"Any Disability","Total","18304","2711"
"Any Disability","Unknown","24","0"
"Cardiovascular Disease","Female","27958","2756"
"Cardiovascular Disease","Male","25520","3360"
"Cardiovascular Disease","Total","53528","6116"
"Cardiovascular Disease","Unknown","50","0"
"Chronic Liver Disease","Female","1574","142"
"Chronic Liver Disease","Male","1379","217"
"Chronic Liver Disease","Total","2956","359"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","37346","1456"
"Chronic Lung Disease","Male","23970","1504"
"Chronic Lung Disease","Total","61388","2960"
"Chronic Lung Disease","Unknown","72","0"
"Chronic Renal Disease","Female","6203","1169"
"Chronic Renal Disease","Male","6032","1480"
"Chronic Renal Disease","Total","12244","2649"
"Chronic Renal Disease","Unknown","9","0"
"Currently Pregnant","Female","6729","10"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","6732","10"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","32803","2151"
"Diabetes Mellitus","Male","28111","2642"
"Diabetes Mellitus","Total","60989","4794"
"Diabetes Mellitus","Unknown","75","1"
"Hypertension/High blood pressure","Female","25641","1144"
"Hypertension/High blood pressure","Male","20151","1245"
"Hypertension/High blood pressure","Total","45886","2389"
"Hypertension/High blood pressure","Unknown","94","0"
"ICU","Female","5496","2198"
"ICU","Male","6986","2925"
"ICU","Total","12501","5124"
"ICU","Unknown","19","1"
"Immunocompromised Condition","Female","9934","580"
"Immunocompromised Condition","Male","5797","668"
"Immunocompromised Condition","Total","15746","1248"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","297096","1018"
"Missing/Unknown status on all conditions","Male","273055","1181"
"Missing/Unknown status on all conditions","Total","578503","2200"
"Missing/Unknown status on all conditions","Unknown","8352","1"
"None of the above conditions","Female","318446","8146"
"None of the above conditions","Male","255655","9247"
"None of the above conditions","Total","575294","17394"
"None of the above conditions","Unknown","1193","1"
"Obesity (BMI>40)","Female","9088","262"
"Obesity (BMI>40)","Male","4951","235"
"Obesity (BMI>40)","Total","14059","497"
"Obesity (BMI>40)","Unknown","20","0"
"Other Chronic Diseases","Female","36566","2238"
"Other Chronic Diseases","Male","23961","2296"
"Other Chronic Diseases","Total","60603","4534"
"Other Chronic Diseases","Unknown","76","0"
"Smoker","Female","32880","802"
"Smoker","Male","39452","1510"
"Smoker","Total","72409","2312"
"Smoker","Unknown","77","0"
"Total with completed information","Female","331439","8874"
"Total with completed information","Male","266469","10067"
"Total with completed information","Total","599153","18943"
"Total with completed information","Unknown","1245","2"
