county_resident,positive,deaths,hospitalization,case_rate
Appling,1011,26,89,5446.9
Atkinson,436,3,56,5234.09
Bacon,593,11,45,5199.93
Baker,79,4,18,2535.3
Baldwin,2061,56,153,4638.97
Banks,471,7,65,2357.12
Barrow,2106,46,233,2437.98
Bartow,2821,82,276,2546.7
Ben Hill,744,21,79,4469.81
Berrien,440,12,21,2282.63
Bibb,5974,158,829,3926.39
Bleckley,427,19,25,3326.06
Brantley,343,10,33,1786.27
Brooks,513,27,55,3261.91
Bryan,1101,11,76,2813.19
Bulloch,2796,26,130,3518.44
Burke,771,9,83,3450.9
Butts,631,42,52,2506.55
Calhoun,234,7,45,3704.29
Camden,1243,8,50,2305.1
Candler,422,17,28,3894.07
Carroll,2661,63,151,2215.3
Catoosa,1118,17,74,1625.69
Charlton,618,6,24,4663.8
Chatham,8199,147,743,2806.19
Chattahoochee,1626,1,13,15126.99
Chattooga,729,12,50,2943.55
Cherokee,5811,91,475,2179.53
Clarke,4916,42,212,3787.98
Clay,120,2,9,4203.15
Clayton,7069,159,648,2318.94
Clinch,368,6,28,5528.85
Cobb,19174,421,1721,2425.28
Coffee,2004,43,293,4655.92
Colquitt,1884,33,153,4150.42
Columbia,3645,58,178,2297.79
Cook,542,12,57,3108.33
Coweta,2527,42,123,1662.49
Crawford,166,4,25,1357.54
Crisp,536,17,70,2404.77
Dade,274,5,20,1695.33
Dawson,795,6,73,2942.16
DeKalb,18192,351,2040,2293.63
Decatur,1121,29,85,4258.79
Dodge,407,12,37,1996.57
Dooly,330,14,52,2462.69
Dougherty,3128,183,633,3479.23
Douglas,3457,71,398,2275.75
Early,475,32,36,4681.65
Echols,239,2,9,6021.67
Effingham,1384,23,90,2161.62
Elbert,600,3,37,3167.06
Emanuel,1000,30,74,4412.28
Evans,415,6,32,3883.22
Fannin,602,13,44,2287.23
Fayette,1754,49,100,1492.21
Floyd,3010,41,221,3012.53
Forsyth,3772,44,304,1493.82
Franklin,729,11,56,3124.87
Fulton,27122,565,2346,2467.47
Gilmer,796,11,77,2533.66
Glascock,38,2,4,1256.2
Glynn,3416,94,276,3969.92
Gordon,1802,36,111,3104.27
Grady,757,21,91,3084.76
Greene,497,23,55,2655.34
Gwinnett,26744,396,2624,2753.86
Habersham,1565,67,209,3417.03
Hall,8864,145,928,4295.64
Hancock,386,42,62,4711.34
Haralson,446,8,26,1451.73
Harris,780,21,87,2247.06
Hart,488,13,64,1869.23
Heard,189,5,14,1527.89
Henry,5026,99,199,2095.34
Houston,3069,78,368,1954.29
Irwin,288,4,35,3053.11
Jackson,1903,31,152,2547.52
Jasper,210,4,20,1478.98
Jeff Davis,707,19,45,4667.28
Jefferson,774,23,75,5054.53
Jenkins,398,29,63,4640.86
Johnson,411,22,56,4254.22
Jones,535,8,46,1871.22
Lamar,353,17,38,1824.57
Lanier,295,5,15,2849.97
Laurens,1595,64,134,3372.38
Lee,696,25,102,2322.24
Liberty,1078,22,107,1741.41
Lincoln,213,7,24,2621.54
Long,231,3,18,1159.93
Lowndes,3828,76,194,3247.43
Lumpkin,886,14,88,2621.15
Macon,227,10,46,1747.77
Madison,674,8,56,2233.49
Marion,189,8,20,2279.03
McDuffie,580,14,67,2685.56
McIntosh,284,7,28,1949.61
Meriwether,535,13,69,2545.2
Miller,246,1,10,4267.87
Mitchell,781,45,143,3540.99
Monroe,665,49,81,2398.38
Montgomery,293,5,21,3176.5
Morgan,473,2,35,2471.52
Murray,798,5,51,1982.07
Muscogee,5883,166,647,3070.04
Newton,2540,82,258,2260.71
Non-GA Resident/Unknown State,17291,153,614,0
Oconee,722,26,62,1729.88
Oglethorpe,322,11,44,2112.86
Paulding,2728,50,140,1581.06
Peach,660,23,100,2410.96
Pickens,610,10,55,1819.27
Pierce,594,17,77,3039.14
Pike,315,9,27,1670.2
Polk,1417,17,97,3258.82
Pulaski,310,14,37,2845.86
Putnam,675,23,68,3084.3
Quitman,32,1,6,1394.94
Rabun,321,8,43,1889.79
Randolph,331,28,55,4900.8
Richmond,6921,158,549,3422.17
Rockdale,1818,35,214,1914.49
Schley,104,2,15,1971.56
Screven,392,10,41,2820.14
Seminole,346,9,23,4250.61
Spalding,1295,56,183,1873.82
Stephens,1019,34,103,3870.4
Stewart,462,13,79,7537.93
Sumter,922,61,195,3136.16
Talbot,160,5,22,2598.25
Taliaferro,21,0,2,1286.76
Tattnall,793,10,59,3120.7
Taylor,206,10,30,2588.59
Telfair,381,18,39,2435.44
Terrell,327,31,74,3862.05
Thomas,1472,59,164,3313
Tift,1713,56,218,4195.44
Toombs,1280,43,98,4743.73
Towns,309,8,37,2567.72
Treutlen,245,8,25,3587.64
Troup,2763,94,304,3923.94
Turner,294,22,48,3640.42
Twiggs,185,7,44,2287.91
Union,675,18,74,2664.3
Unknown,2342,5,58,0
Upson,757,60,76,2880.85
Walker,1481,30,75,2127.57
Walton,1752,53,176,1828.54
Ware,1472,54,169,4105.65
Warren,138,5,23,2648.75
Washington,655,8,47,3226.28
Wayne,1094,27,100,3649.83
Webster,43,2,10,1686.27
Wheeler,324,11,19,4096.6
White,736,17,93,2317.53
Whitfield,4469,60,236,4269.53
Wilcox,245,20,51,2787.26
Wilkes,260,4,29,2596.37
Wilkinson,331,18,60,3711.18
Worth,523,29,89,2596.56
