"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","174681","6293"
"Any Chronic Condition","Male","134367","7256"
"Any Chronic Condition","Total","309408","13555"
"Any Chronic Condition","Unknown","360","6"
"Any Disability","Female","12650","1634"
"Any Disability","Male","10245","1509"
"Any Disability","Total","22920","3144"
"Any Disability","Unknown","25","1"
"Cardiovascular Disease","Female","31478","3175"
"Cardiovascular Disease","Male","28753","3867"
"Cardiovascular Disease","Total","60278","7046"
"Cardiovascular Disease","Unknown","47","4"
"Chronic Liver Disease","Female","1982","172"
"Chronic Liver Disease","Male","1693","265"
"Chronic Liver Disease","Total","3678","438"
"Chronic Liver Disease","Unknown","3","1"
"Chronic Lung Disease","Female","47271","1814"
"Chronic Lung Disease","Male","30178","1827"
"Chronic Lung Disease","Total","77551","3643"
"Chronic Lung Disease","Unknown","102","2"
"Chronic Renal Disease","Female","7251","1394"
"Chronic Renal Disease","Male","7049","1743"
"Chronic Renal Disease","Total","14310","3138"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","11036","23"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","11043","23"
"Currently Pregnant","Unknown","7","0"
"Diabetes Mellitus","Female","38855","2610"
"Diabetes Mellitus","Male","32778","3164"
"Diabetes Mellitus","Total","71705","5776"
"Diabetes Mellitus","Unknown","72","2"
"Hypertension/High blood pressure","Female","36428","1796"
"Hypertension/High blood pressure","Male","28295","1971"
"Hypertension/High blood pressure","Total","64810","3770"
"Hypertension/High blood pressure","Unknown","87","3"
"ICU","Female","6666","2792"
"ICU","Male","8393","3684"
"ICU","Total","15089","6478"
"ICU","Unknown","30","2"
"Immunocompromised Condition","Female","9412","549"
"Immunocompromised Condition","Male","5403","609"
"Immunocompromised Condition","Total","14827","1158"
"Immunocompromised Condition","Unknown","12","0"
"Missing/Unknown status on all conditions","Female","553337","1257"
"Missing/Unknown status on all conditions","Male","487892","1429"
"Missing/Unknown status on all conditions","Total","1054455","2689"
"Missing/Unknown status on all conditions","Unknown","13226","3"
"None of the above conditions","Female","447373","11025"
"None of the above conditions","Male","347134","12762"
"None of the above conditions","Total","796163","23797"
"None of the above conditions","Unknown","1656","10"
"Obesity (BMI>40)","Female","13391","448"
"Obesity (BMI>40)","Male","7161","417"
"Obesity (BMI>40)","Total","20573","865"
"Obesity (BMI>40)","Unknown","21","0"
"Other Chronic Diseases","Female","39960","2568"
"Other Chronic Diseases","Male","25933","2605"
"Other Chronic Diseases","Total","65952","5173"
"Other Chronic Diseases","Unknown","59","0"
"Smoker","Female","41469","1007"
"Smoker","Male","48086","1880"
"Smoker","Total","89634","2888"
"Smoker","Unknown","79","1"
"Total with completed information","Female","464751","11838"
"Total with completed information","Male","359304","13651"
"Total with completed information","Total","825756","25502"
"Total with completed information","Unknown","1701","13"
