county_resident,positive,deaths,hospitalization,case_rate
Appling,1007,26,89,5425.35
Atkinson,435,3,56,5222.09
Bacon,592,10,45,5191.16
Baker,78,3,17,2503.21
Baldwin,2056,55,153,4627.71
Banks,469,7,64,2347.11
Barrow,2086,46,233,2414.83
Bartow,2801,82,275,2528.64
Ben Hill,738,20,79,4433.76
Berrien,438,11,20,2272.26
Bibb,5954,157,830,3913.24
Bleckley,426,19,25,3318.27
Brantley,342,10,32,1781.06
Brooks,510,27,55,3242.83
Bryan,1059,11,75,2705.88
Bulloch,2782,25,129,3500.82
Burke,766,9,83,3428.52
Butts,630,42,52,2502.58
Calhoun,233,7,45,3688.46
Camden,1234,7,50,2288.41
Candler,416,17,28,3838.7
Carroll,2644,63,151,2201.15
Catoosa,1101,17,74,1600.97
Charlton,613,6,22,4626.07
Chatham,8114,146,741,2777.09
Chattahoochee,1624,1,13,15108.38
Chattooga,723,12,50,2919.32
Cherokee,5770,91,474,2164.15
Clarke,4874,41,203,3755.62
Clay,120,2,9,4203.15
Clayton,7015,158,648,2301.22
Clinch,365,6,27,5483.77
Cobb,19041,421,1714,2408.46
Coffee,1981,43,293,4602.48
Colquitt,1907,33,153,4201.09
Columbia,3625,57,178,2285.18
Cook,542,12,57,3108.33
Coweta,2505,41,122,1648.02
Crawford,165,4,25,1349.36
Crisp,531,17,69,2382.34
Dade,273,5,20,1689.15
Dawson,792,6,73,2931.05
DeKalb,18072,349,2030,2278.5
Decatur,1108,27,83,4209.41
Dodge,401,11,37,1967.13
Dooly,325,14,50,2425.37
Dougherty,3124,182,633,3474.78
Douglas,3440,70,397,2264.56
Early,469,32,37,4622.51
Echols,239,2,9,6021.67
Effingham,1376,23,89,2149.13
Elbert,594,3,37,3135.39
Emanuel,993,29,74,4381.4
Evans,414,6,32,3873.87
Fannin,597,12,44,2268.24
Fayette,1745,49,97,1484.55
Floyd,2975,40,220,2977.5
Forsyth,3731,42,304,1477.58
Franklin,713,11,55,3056.28
Fulton,26992,564,2337,2455.65
Gilmer,794,11,76,2527.29
Glascock,37,2,4,1223.14
Glynn,3417,94,273,3971.09
Gordon,1783,36,111,3071.54
Grady,752,21,90,3064.38
Greene,492,23,54,2628.63
Gwinnett,26618,391,2618,2740.89
Habersham,1557,66,208,3399.56
Hall,8785,144,927,4257.35
Hancock,387,41,63,4723.54
Haralson,438,8,26,1425.69
Harris,777,21,87,2238.42
Hart,484,13,62,1853.91
Heard,189,5,14,1527.89
Henry,4977,98,196,2074.91
Houston,3043,77,366,1937.74
Irwin,284,4,35,3010.71
Jackson,1883,30,152,2520.75
Jasper,210,4,20,1478.98
Jeff Davis,703,19,45,4640.88
Jefferson,767,23,74,5008.82
Jenkins,396,29,63,4617.54
Johnson,410,22,56,4243.87
Jones,532,8,46,1860.73
Lamar,351,17,38,1814.23
Lanier,294,5,15,2840.31
Laurens,1586,62,134,3353.35
Lee,693,25,102,2312.24
Liberty,1062,22,106,1715.56
Lincoln,210,7,24,2584.62
Long,230,3,18,1154.91
Lowndes,3814,76,193,3235.55
Lumpkin,874,14,88,2585.65
Macon,227,10,46,1747.77
Madison,664,8,54,2200.35
Marion,187,8,20,2254.91
McDuffie,579,13,67,2680.93
McIntosh,282,7,28,1935.88
Meriwether,534,12,69,2540.44
Miller,241,1,10,4181.12
Mitchell,779,45,142,3531.92
Monroe,659,48,81,2376.74
Montgomery,292,5,21,3165.65
Morgan,470,2,35,2455.85
Murray,795,5,50,1974.62
Muscogee,5864,163,645,3060.13
Newton,2529,80,257,2250.92
Non-GA Resident/Unknown State,17059,149,613,0
Oconee,708,26,59,1696.34
Oglethorpe,317,11,44,2080.05
Paulding,2716,49,139,1574.11
Peach,658,21,101,2403.65
Pickens,602,10,55,1795.41
Pierce,591,17,77,3023.79
Pike,314,9,27,1664.9
Polk,1400,17,95,3219.72
Pulaski,311,13,37,2855.04
Putnam,676,23,70,3088.87
Quitman,32,1,6,1394.94
Rabun,320,7,43,1883.9
Randolph,331,28,55,4900.8
Richmond,6867,153,547,3395.47
Rockdale,1811,35,212,1907.12
Schley,104,2,15,1971.56
Screven,380,9,41,2733.81
Seminole,344,9,23,4226.04
Spalding,1279,56,181,1850.67
Stephens,1000,33,103,3798.24
Stewart,462,13,79,7537.93
Sumter,919,60,194,3125.96
Talbot,158,5,22,2565.77
Taliaferro,21,0,2,1286.76
Tattnall,788,9,58,3101.02
Taylor,204,9,30,2563.46
Telfair,379,17,39,2422.65
Terrell,326,31,74,3850.24
Thomas,1474,58,164,3317.5
Tift,1693,56,218,4146.46
Toombs,1277,43,97,4732.61
Towns,297,8,37,2468.01
Treutlen,244,8,25,3573
Troup,2754,93,304,3911.15
Turner,293,22,48,3628.03
Twiggs,184,7,44,2275.54
Union,666,17,74,2628.77
Unknown,2386,5,59,0
Upson,751,59,76,2858.01
Walker,1465,29,75,2104.58
Walton,1739,52,170,1814.97
Ware,1463,53,169,4080.55
Warren,135,5,23,2591.17
Washington,654,8,47,3221.36
Wayne,1089,27,99,3633.15
Webster,43,2,10,1686.27
Wheeler,322,11,19,4071.31
White,723,17,92,2276.59
Whitfield,4451,60,236,4252.33
Wilcox,245,20,50,2787.26
Wilkes,260,4,29,2596.37
Wilkinson,332,17,59,3722.39
Worth,522,29,87,2591.6
