"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1",1,"China","Anhui Province","Anqing",83,39,0,0,44,"2020-19FEB"
"2",2,"China","Anhui Province","Bengbu",160,115,0,5,40,"2020-19FEB"
"3",3,"China","Anhui Province","Bozhou",108,50,0,0,58,"2020-19FEB"
"4",4,"China","Anhui Province","Chizhou",17,10,0,0,7,"2020-19FEB"
"5",5,"China","Anhui Province","Chuzhou",13,6,0,0,7,"2020-19FEB"
"6",6,"China","Anhui Province","Fuyang",155,91,0,0,64,"2020-19FEB"
"7",7,"China","Anhui Province","Hefei",173,97,0,1,75,"2020-19FEB"
"8",8,"China","Anhui Province","Huaibei",27,14,0,0,13,"2020-19FEB"
"9",9,"China","Anhui Province","Huainan",54,30,0,0,24,"2020-19FEB"
"10",11,"China","Anhui Province","Huangshan",9,3,0,0,6,"2020-19FEB"
"11",12,"China","Anhui Province","Lu'an",69,39,0,0,30,"2020-19FEB"
"12",13,"China","Anhui Province","Ma'anshan",37,22,0,0,15,"2020-19FEB"
"13",14,"China","Anhui Province","Suzhou",41,21,0,0,20,"2020-19FEB"
"14",15,"China","Anhui Province","Tongling",29,17,0,0,12,"2020-19FEB"
"15",16,"China","Anhui Province","Wuhu",33,16,0,0,17,"2020-19FEB"
"16",17,"China","Anhui Province","Xuancheng",6,2,0,0,4,"2020-19FEB"
"17",18,"China","Beijing Municipality","Area to be Identified",0,-134,0,4,130,"2020-19FEB"
"18",19,"China","Beijing Municipality","Beijing Municipality",393,378,0,0,15,"2020-19FEB"
"19",40,"China","Chongqing Municipality","Chongqing Municipality",560,281,0,5,274,"2020-19FEB"
"20",80,"China","Fujian Province","Fuzhou",71,38,0,0,33,"2020-19FEB"
"21",81,"China","Fujian Province","Longyan",6,5,0,0,1,"2020-19FEB"
"22",82,"China","Fujian Province","Nanping",20,12,0,0,8,"2020-19FEB"
"23",83,"China","Fujian Province","Ningde",26,14,0,0,12,"2020-19FEB"
"24",84,"China","Fujian Province","Putian",55,36,0,0,19,"2020-19FEB"
"25",85,"China","Fujian Province","Quanzhou",46,33,0,0,13,"2020-19FEB"
"26",86,"China","Fujian Province","Sanming",14,9,0,0,5,"2020-19FEB"
"27",87,"China","Fujian Province","Xiamen",35,25,0,0,10,"2020-19FEB"
"28",88,"China","Fujian Province","Zhangzhou",20,9,0,0,11,"2020-19FEB"
"29",89,"China","Gansu province","Area to be identified",0,-2,0,0,2,"2020-19FEB"
"30",90,"China","Gansu province","Baiyin",4,3,0,0,1,"2020-19FEB"
"31",91,"China","Gansu province","Dingxi",9,1,0,0,8,"2020-19FEB"
"32",92,"China","Gansu province","Gannan Tibetan Autonomous Prefecture",8,4,0,0,4,"2020-19FEB"
"33",93,"China","Gansu province","Jiayuguan",0,0,0,0,0,"2020-19FEB"
"34",94,"China","Gansu province","Jinchang",1,0,0,0,1,"2020-19FEB"
"35",95,"China","Gansu province","Jiuquan",0,0,0,0,0,"2020-19FEB"
"36",96,"China","Gansu province","Lanzhou",36,11,0,2,23,"2020-19FEB"
"37",97,"China","Gansu province","Linxia Hui Autonomous Prefecture",3,0,0,0,3,"2020-19FEB"
"38",98,"China","Gansu province","Longnan",4,0,0,0,4,"2020-19FEB"
"39",99,"China","Gansu province","Pingliang",9,6,0,0,3,"2020-19FEB"
"40",100,"China","Gansu province","Qingyang",3,1,0,0,2,"2020-19FEB"
"41",101,"China","Gansu province","Tianshui",12,0,0,0,12,"2020-19FEB"
"42",102,"China","Gansu province","Wuwei",0,0,0,0,0,"2020-19FEB"
"43",103,"China","Gansu province","Zhangye",2,0,0,0,2,"2020-19FEB"
"44",104,"China","Guangdong Province","Area to be identified",0,0,0,0,0,"2020-19FEB"
"45",105,"China","Guangdong Province","Chaozhou",5,1,0,0,4,"2020-19FEB"
"46",106,"China","Guangdong Province","Dongguan",91,66,0,1,24,"2020-19FEB"
"47",107,"China","Guangdong Province","Foshan",84,51,0,0,33,"2020-19FEB"
"48",108,"China","Guangdong Province","Guangzhou",339,191,0,0,148,"2020-19FEB"
"49",109,"China","Guangdong Province","Heyuan",4,3,0,0,1,"2020-19FEB"
"50",110,"China","Guangdong Province","Huizhou",62,24,0,0,38,"2020-19FEB"
"51",111,"China","Guangdong Province","Jiangmen",23,14,0,0,9,"2020-19FEB"
"52",112,"China","Guangdong Province","Jieyang",8,4,0,0,4,"2020-19FEB"
"53",113,"China","Guangdong Province","Maoming",14,8,0,0,6,"2020-19FEB"
"54",114,"China","Guangdong Province","Meizhou",16,6,0,0,10,"2020-19FEB"
"55",115,"China","Guangdong Province","Qingyuan",12,3,0,0,9,"2020-19FEB"
"56",116,"China","Guangdong Province","Shantou",50,14,0,0,36,"2020-19FEB"
"57",118,"China","Guangdong Province","Shanwei",5,3,0,0,2,"2020-19FEB"
"58",119,"China","Guangdong Province","Shaoguan",10,5,0,0,5,"2020-19FEB"
"59",120,"China","Guangdong Province","Shenzhen",416,232,0,2,182,"2020-19FEB"
"60",121,"China","Guangdong Province","Yangjiang",13,4,0,0,9,"2020-19FEB"
"61",122,"China","Guangdong Province","Yunfu",0,0,0,0,0,"2020-19FEB"
"62",123,"China","Guangdong Province","Zhanjiang",22,11,0,0,11,"2020-19FEB"
"63",124,"China","Guangdong Province","Zhaoqing",18,9,0,1,8,"2020-19FEB"
"64",125,"China","Guangdong Province","Zhongshan",132,52,0,0,80,"2020-19FEB"
"65",127,"China","Guangdong Province","Zhuhai",98,52,0,1,45,"2020-19FEB"
"66",128,"China","Guangxi Zhuang Autonomous Region","Area to be identified",0,0,0,0,0,"2020-19FEB"
"67",129,"China","Guangxi Zhuang Autonomous Region","Baise",3,1,0,0,2,"2020-19FEB"
"68",130,"China","Guangxi Zhuang Autonomous Region","Beihai",44,29,0,1,14,"2020-19FEB"
"69",131,"China","Guangxi Zhuang Autonomous Region","Chongzuo",0,0,0,0,0,"2020-19FEB"
"70",132,"China","Guangxi Zhuang Autonomous Region","Fangchenggang",19,13,0,0,6,"2020-19FEB"
"71",133,"China","Guangxi Zhuang Autonomous Region","Guigang",8,5,0,0,3,"2020-19FEB"
"72",135,"China","Guangxi Zhuang Autonomous Region","Guilin",31,16,0,0,15,"2020-19FEB"
"73",136,"China","Guangxi Zhuang Autonomous Region","Hechi",23,18,0,1,4,"2020-19FEB"
"74",137,"China","Guangxi Zhuang Autonomous Region","Hezhou",4,4,0,0,0,"2020-19FEB"
"75",138,"China","Guangxi Zhuang Autonomous Region","Laibin",11,11,0,0,0,"2020-19FEB"
"76",139,"China","Guangxi Zhuang Autonomous Region","Liuzhou",24,14,0,0,10,"2020-19FEB"
"77",140,"China","Guangxi Zhuang Autonomous Region","NanNing",54,31,0,0,23,"2020-19FEB"
"78",141,"China","Guangxi Zhuang Autonomous Region","Qinzhou",8,7,0,0,1,"2020-19FEB"
"79",142,"China","Guangxi Zhuang Autonomous Region","Wuzhou",5,0,0,0,5,"2020-19FEB"
"80",143,"China","Guangxi Zhuang Autonomous Region","Yulin",11,7,0,0,4,"2020-19FEB"
"81",144,"China","Guizhou Province","Anshun",4,3,0,0,1,"2020-19FEB"
"82",145,"China","Guizhou Province","Bijie",23,13,0,0,10,"2020-19FEB"
"83",146,"China","Guizhou Province","Guiyang",36,21,0,1,14,"2020-19FEB"
"84",147,"China","Guizhou Province","Liupanshui",10,3,0,1,6,"2020-19FEB"
"85",148,"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",10,6,0,0,4,"2020-19FEB"
"86",149,"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",17,10,0,0,7,"2020-19FEB"
"87",150,"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",4,0,0,0,4,"2020-19FEB"
"88",151,"China","Guizhou Province","Tongren",10,1,0,0,9,"2020-19FEB"
"89",152,"China","Guizhou Province","Zunyi",32,17,0,0,15,"2020-19FEB"
"90",153,"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-19FEB"
"91",154,"China","Hainan Province","Baoting Li and Miao Autonomous County",3,2,0,0,1,"2020-19FEB"
"92",155,"China","Hainan Province","Changjiang Li Autonomous County",7,5,0,0,2,"2020-19FEB"
"93",156,"China","Hainan Province","Chengmai County",9,4,0,1,4,"2020-19FEB"
"94",157,"China","Hainan Province","Danzhou",15,4,0,0,11,"2020-19FEB"
"95",158,"China","Hainan Province","Ding'an County",3,0,0,1,2,"2020-19FEB"
"96",159,"China","Hainan Province","Dongfang City",3,1,0,0,2,"2020-19FEB"
"97",160,"China","Hainan Province","Haikou",39,21,0,0,18,"2020-19FEB"
"98",161,"China","Hainan Province","Ledong Li Autonomous County",2,2,0,0,0,"2020-19FEB"
"99",162,"China","Hainan Province","Lingao County",6,2,0,0,4,"2020-19FEB"
"100",164,"China","Hainan Province","Lingshui Li Autonomous County",4,3,0,0,1,"2020-19FEB"
"101",165,"China","Hainan Province","Qionghai City",6,1,0,1,4,"2020-19FEB"
"102",166,"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",1,0,0,0,1,"2020-19FEB"
"103",167,"China","Hainan Province","Sansha",3,0,0,0,3,"2020-19FEB"
