"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",989,363,0,6,620,"2020-22FEB"
"18","China","Beijing Municipality",399,206,0,4,189,"2020-22FEB"
"38","China","Chongqing Municipality",573,239,0,6,328,"2020-22FEB"
"78","China","Fujian Province",293,127,0,1,165,"2020-22FEB"
"87","China","Gansu province",91,13,0,2,76,"2020-22FEB"
"102","China","Guangdong Province",1342,596,0,6,740,"2020-22FEB"
"126","China","Guangxi Zhuang Autonomous Region",249,143,0,2,104,"2020-22FEB"
"141","China","Guizhou Province",146,53,0,2,91,"2020-22FEB"
"150","China","Hainan Province",168,60,0,4,104,"2020-22FEB"
"169","China","Hebei Province",311,101,0,6,204,"2020-22FEB"
"180","China","Heilongjiang Province",480,253,0,12,215,"2020-22FEB"
"193","China","Henan Province",1271,391,0,19,861,"2020-22FEB"
"213","China","Hong Kong Special Administrative Region",69,61,0,2,6,"2020-22FEB"
"214","China","Hubei Province",64084,46439,0,2346,15299,"2020-22FEB"
"232","China","Hunan Province",1016,308,0,4,704,"2020-22FEB"
"246","China","Inner Mongolia Autonomous Region",75,49,0,0,26,"2020-22FEB"
"259","China","Jiangsu Province",631,220,0,0,411,"2020-22FEB"
"272","China","Jiangxi Province",934,322,0,1,611,"2020-22FEB"
"284","China","Jilin Province",91,38,0,1,52,"2020-22FEB"
"295","China","Liaoning Province",121,52,0,1,68,"2020-22FEB"
"309","China","Macao Special Administrative Region",10,4,0,0,6,"2020-22FEB"
"310","China","Ningxia Hui Autonomous Region",71,23,0,0,48,"2020-22FEB"
"317","China","Qinghai Province",18,0,0,0,18,"2020-22FEB"
"325","China","Shaanxi Province",245,91,0,1,153,"2020-22FEB"
"337","China","Shandong Province",754,439,0,4,311,"2020-22FEB"
"354","China","Shanghai Municipality",335,105,0,3,227,"2020-22FEB"
"373","China","Shanxi Province",132,51,0,0,81,"2020-22FEB"
"384","China","Sichuan Province",526,267,0,3,256,"2020-22FEB"
"405","China","Taiwan Province",26,23,0,1,2,"2020-22FEB"
"406","China","Tianjin Municipality",135,67,0,3,65,"2020-22FEB"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-22FEB"
"430","China","Xinjiang Uygur Autonomous Region",76,49,0,2,25,"2020-22FEB"
"453","China","Yunnan Province",174,65,0,2,107,"2020-22FEB"
"469","China","Zhejiang Province",1205,475,0,1,729,"2020-22FEB"
