"","ADM0_EN","ADM1_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"1","China","Anhui Province",990,0,0,6,984,"2020-17MAR"
"18","China","Beijing Municipality",456,79,0,8,369,"2020-17MAR"
"38","China","Chongqing Municipality",576,0,0,6,570,"2020-17MAR"
"78","China","Fujian Province",296,0,0,1,295,"2020-17MAR"
"87","China","Gansu province",133,40,0,2,91,"2020-17MAR"
"102","China","Guangdong Province",1364,49,0,8,1307,"2020-17MAR"
"126","China","Guangxi Zhuang Autonomous Region",253,1,0,2,250,"2020-17MAR"
"141","China","Guizhou Province",147,1,0,2,144,"2020-17MAR"
"150","China","Hainan Province",168,1,0,6,161,"2020-17MAR"
"169","China","Hebei Province",318,2,0,6,310,"2020-17MAR"
"180","China","Heilongjiang Province",482,10,0,13,459,"2020-17MAR"
"193","China","Henan Province",1273,1,0,22,1250,"2020-17MAR"
"213","China","Hong Kong Special Administrative Region",162,70,0,4,88,"2020-17MAR"
"214","China","Hubei Province",67799,8685,0,3111,56003,"2020-17MAR"
"232","China","Hunan Province",1018,0,0,4,1014,"2020-17MAR"
"246","China","Inner Mongolia Autonomous Region",75,1,0,1,73,"2020-17MAR"
"259","China","Jiangsu Province",631,0,0,0,631,"2020-17MAR"
"272","China","Jiangxi Province",935,0,0,1,934,"2020-17MAR"
"284","China","Jilin Province",93,0,0,1,92,"2020-17MAR"
"295","China","Liaoning Province",125,4,0,1,120,"2020-17MAR"
"309","China","Macao Special Administrative Region",12,2,0,0,10,"2020-17MAR"
"310","China","Ningxia Hui Autonomous Region",75,0,0,0,75,"2020-17MAR"
"317","China","Qinghai Province",18,0,0,0,18,"2020-17MAR"
"325","China","Shaanxi Province",246,7,0,3,236,"2020-17MAR"
"337","China","Shandong Province",761,8,0,7,746,"2020-17MAR"
"354","China","Shanghai Municipality",361,33,0,3,325,"2020-17MAR"
"373","China","Shanxi Province",133,0,0,0,133,"2020-17MAR"
"384","China","Sichuan Province",540,17,0,3,520,"2020-17MAR"
"405","China","Taiwan Province",77,54,0,1,22,"2020-17MAR"
"406","China","Tianjin Municipality",136,0,0,3,133,"2020-17MAR"
"423","China","Tibet Autonomous Region",1,0,0,0,1,"2020-17MAR"
"430","China","Xinjiang Uygur Autonomous Region",76,0,0,3,73,"2020-17MAR"
"453","China","Yunnan Province",176,2,0,2,172,"2020-17MAR"
"469","China","Zhejiang Province",1232,15,0,1,1216,"2020-17MAR"
