"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","85117","3127"
"Any Chronic Condition","Male","67678","3566"
"Any Chronic Condition","Total","153361","6696"
"Any Chronic Condition","Unknown","566","3"
"Cardiovascular Disease","Female","22017","1909"
"Cardiovascular Disease","Male","19587","2201"
"Cardiovascular Disease","Total","41718","4110"
"Cardiovascular Disease","Unknown","114","0"
"Chronic Liver Disease","Female","966","86"
"Chronic Liver Disease","Male","860","130"
"Chronic Liver Disease","Total","1832","216"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","23017","901"
"Chronic Lung Disease","Male","14522","900"
"Chronic Lung Disease","Total","37674","1802"
"Chronic Lung Disease","Unknown","135","1"
"Chronic Renal Disease","Female","4184","743"
"Chronic Renal Disease","Male","4021","892"
"Chronic Renal Disease","Total","8230","1635"
"Chronic Renal Disease","Unknown","25","0"
"Currently Pregnant","Female","3764","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3775","6"
"Currently Pregnant","Unknown","11","0"
"Diabetes Mellitus","Female","22083","1302"
"Diabetes Mellitus","Male","18874","1596"
"Diabetes Mellitus","Total","41087","2899"
"Diabetes Mellitus","Unknown","130","1"
"ICU","Female","3513","1338"
"ICU","Male","4562","1802"
"ICU","Total","8092","3142"
"ICU","Unknown","17","2"
"Immunocompromised Condition","Female","7894","380"
"Immunocompromised Condition","Male","4717","453"
"Immunocompromised Condition","Total","12638","833"
"Immunocompromised Condition","Unknown","27","0"
"Missing/Unknown status on all conditions","Female","171964","738"
"Missing/Unknown status on all conditions","Male","155704","890"
"Missing/Unknown status on all conditions","Total","336889","1635"
"Missing/Unknown status on all conditions","Unknown","9221","7"
"Neurologic/Neurodevelopmental","Female","5826","873"
"Neurologic/Neurodevelopmental","Male","4177","775"
"Neurologic/Neurodevelopmental","Total","10045","1649"
"Neurologic/Neurodevelopmental","Unknown","42","1"
"None of the above conditions","Female","191670","4101"
"None of the above conditions","Male","153695","4504"
"None of the above conditions","Total","347044","8614"
"None of the above conditions","Unknown","1679","9"
"Other Chronic Diseases","Female","28657","1658"
"Other Chronic Diseases","Male","19205","1687"
"Other Chronic Diseases","Total","48057","3346"
"Other Chronic Diseases","Unknown","195","1"
"Smoker","Female","19612","442"
"Smoker","Male","24423","852"
"Smoker","Total","44161","1294"
"Smoker","Unknown","126","0"
"Total with completed information","Female","200857","4678"
"Total with completed information","Male","161799","5188"
"Total with completed information","Total","364419","9876"
"Total with completed information","Unknown","1763","10"
