"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","127214","4859"
"Any Chronic Condition","Male","101218","5536"
"Any Chronic Condition","Total","228878","10397"
"Any Chronic Condition","Unknown","446","2"
"Any Disability","Female","9418","1342"
"Any Disability","Male","7234","1195"
"Any Disability","Total","16681","2538"
"Any Disability","Unknown","29","1"
"Cardiovascular Disease","Female","26494","2657"
"Cardiovascular Disease","Male","24131","3178"
"Cardiovascular Disease","Total","50692","5835"
"Cardiovascular Disease","Unknown","67","0"
"Chronic Liver Disease","Female","1440","135"
"Chronic Liver Disease","Male","1256","199"
"Chronic Liver Disease","Total","2701","334"
"Chronic Liver Disease","Unknown","5","0"
"Chronic Lung Disease","Female","33426","1362"
"Chronic Lung Disease","Male","21268","1404"
"Chronic Lung Disease","Total","54792","2766"
"Chronic Lung Disease","Unknown","98","0"
"Chronic Renal Disease","Female","5679","1118"
"Chronic Renal Disease","Male","5592","1380"
"Chronic Renal Disease","Total","11286","2498"
"Chronic Renal Disease","Unknown","15","0"
"Currently Pregnant","Female","5555","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5560","6"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","30431","2001"
"Diabetes Mellitus","Male","26242","2466"
"Diabetes Mellitus","Total","56760","4468"
"Diabetes Mellitus","Unknown","87","1"
"Hypertension/High blood pressure","Female","21411","968"
"Hypertension/High blood pressure","Male","16875","1026"
"Hypertension/High blood pressure","Total","38372","1994"
"Hypertension/High blood pressure","Unknown","86","0"
"ICU","Female","4994","2011"
"ICU","Male","6342","2693"
"ICU","Total","11348","4705"
"ICU","Unknown","12","1"
"Immunocompromised Condition","Female","10334","594"
"Immunocompromised Condition","Male","6020","678"
"Immunocompromised Condition","Total","16379","1272"
"Immunocompromised Condition","Unknown","25","0"
"Missing/Unknown status on all conditions","Female","202406","847"
"Missing/Unknown status on all conditions","Male","186736","1015"
"Missing/Unknown status on all conditions","Total","396132","1863"
"Missing/Unknown status on all conditions","Unknown","6990","1"
"None of the above conditions","Female","281384","7232"
"None of the above conditions","Male","228718","8138"
"None of the above conditions","Total","511495","15371"
"None of the above conditions","Unknown","1393","1"
"Obesity (BMI>40)","Female","7445","218"
"Obesity (BMI>40)","Male","4053","188"
"Obesity (BMI>40)","Total","11512","406"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","35193","2179"
"Other Chronic Diseases","Male","23164","2216"
"Other Chronic Diseases","Total","58471","4395"
"Other Chronic Diseases","Unknown","114","0"
"Smoker","Female","29244","744"
"Smoker","Male","36015","1404"
"Smoker","Total","65355","2148"
"Smoker","Unknown","96","0"
"Total with completed information","Female","291549","7917"
"Total with completed information","Male","237591","8909"
"Total with completed information","Total","530575","16828"
"Total with completed information","Unknown","1435","2"
