"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","183953","6626"
"Any Chronic Condition","Male","141286","7722"
"Any Chronic Condition","Total","325649","14350"
"Any Chronic Condition","Unknown","410","2"
"Any Disability","Female","13481","1692"
"Any Disability","Male","11021","1607"
"Any Disability","Total","24537","3299"
"Any Disability","Unknown","35","0"
"Cardiovascular Disease","Female","32539","3299"
"Cardiovascular Disease","Male","29787","4076"
"Cardiovascular Disease","Total","62371","7376"
"Cardiovascular Disease","Unknown","45","1"
"Chronic Liver Disease","Female","2119","192"
"Chronic Liver Disease","Male","1797","293"
"Chronic Liver Disease","Total","3919","485"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","50110","1920"
"Chronic Lung Disease","Male","31916","1953"
"Chronic Lung Disease","Total","82150","3873"
"Chronic Lung Disease","Unknown","124","0"
"Chronic Renal Disease","Female","7626","1466"
"Chronic Renal Disease","Male","7399","1863"
"Chronic Renal Disease","Total","15035","3330"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","11886","27"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","11893","27"
"Currently Pregnant","Unknown","7","0"
"Diabetes Mellitus","Female","40603","2726"
"Diabetes Mellitus","Male","34258","3347"
"Diabetes Mellitus","Total","74943","6075"
"Diabetes Mellitus","Unknown","82","2"
"Hypertension/High blood pressure","Female","40001","1992"
"Hypertension/High blood pressure","Male","31163","2233"
"Hypertension/High blood pressure","Total","71266","4225"
"Hypertension/High blood pressure","Unknown","102","0"
"ICU","Female","6965","2929"
"ICU","Male","8823","3936"
"ICU","Total","15819","6867"
"ICU","Unknown","31","2"
"Immunocompromised Condition","Female","9023","533"
"Immunocompromised Condition","Male","5230","593"
"Immunocompromised Condition","Total","14263","1126"
"Immunocompromised Condition","Unknown","10","0"
"Missing/Unknown status on all conditions","Female","558718","1349"
"Missing/Unknown status on all conditions","Male","494464","1538"
"Missing/Unknown status on all conditions","Total","1066269","2889"
"Missing/Unknown status on all conditions","Unknown","13087","2"
"None of the above conditions","Female","474599","12317"
"None of the above conditions","Male","368437","14369"
"None of the above conditions","Total","844922","26686"
"None of the above conditions","Unknown","1886","0"
"Obesity (BMI>40)","Female","14630","490"
"Obesity (BMI>40)","Male","7818","463"
"Obesity (BMI>40)","Total","22474","953"
"Obesity (BMI>40)","Unknown","26","0"
"Other Chronic Diseases","Female","40924","2653"
"Other Chronic Diseases","Male","26562","2746"
"Other Chronic Diseases","Total","67552","5399"
"Other Chronic Diseases","Unknown","66","0"
"Smoker","Female","43602","1065"
"Smoker","Male","50355","2011"
"Smoker","Total","94042","3076"
"Smoker","Unknown","85","0"
"Total with completed information","Female","492367","13146"
"Total with completed information","Male","380692","15274"
"Total with completed information","Total","874987","28422"
"Total with completed information","Unknown","1928","2"
