"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","59967","2542"
"Any Chronic Condition","Male","48844","2836"
"Any Chronic Condition","Total","109159","5381"
"Any Chronic Condition","Unknown","348","3"
"Cardiovascular Disease","Female","18547","1635"
"Cardiovascular Disease","Male","16059","1847"
"Cardiovascular Disease","Total","34683","3484"
"Cardiovascular Disease","Unknown","77","2"
"Chronic Liver Disease","Female","731","69"
"Chronic Liver Disease","Male","662","111"
"Chronic Liver Disease","Total","1396","180"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","17580","743"
"Chronic Lung Disease","Male","11013","749"
"Chronic Lung Disease","Total","28703","1493"
"Chronic Lung Disease","Unknown","110","1"
"Chronic Renal Disease","Female","3375","629"
"Chronic Renal Disease","Male","3116","739"
"Chronic Renal Disease","Total","6511","1369"
"Chronic Renal Disease","Unknown","20","1"
"Currently Pregnant","Female","3006","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3012","5"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","17247","1071"
"Diabetes Mellitus","Male","14588","1318"
"Diabetes Mellitus","Total","31927","2390"
"Diabetes Mellitus","Unknown","92","1"
"ICU","Female","3002","1106"
"ICU","Male","3841","1494"
"ICU","Total","6859","2602"
"ICU","Unknown","16","2"
"Immunocompromised Condition","Female","5904","311"
"Immunocompromised Condition","Male","3600","369"
"Immunocompromised Condition","Total","9521","680"
"Immunocompromised Condition","Unknown","17","0"
"Missing/Unknown status on all conditions","Female","101585","667"
"Missing/Unknown status on all conditions","Male","94905","771"
"Missing/Unknown status on all conditions","Total","202263","1444"
"Missing/Unknown status on all conditions","Unknown","5773","6"
"Neurologic/Neurodevelopmental","Female","4301","757"
"Neurologic/Neurodevelopmental","Male","2924","646"
"Neurologic/Neurodevelopmental","Total","7251","1404"
"Neurologic/Neurodevelopmental","Unknown","26","1"
"None of the above conditions","Female","146278","3292"
"None of the above conditions","Male","117949","3507"
"None of the above conditions","Total","265419","6803"
"None of the above conditions","Unknown","1192","4"
"Other Chronic Diseases","Female","9170","800"
"Other Chronic Diseases","Male","5818","787"
"Other Chronic Diseases","Total","15042","1588"
"Other Chronic Diseases","Unknown","54","1"
"Smoker","Female","15213","352"
"Smoker","Male","19344","687"
"Smoker","Total","34646","1039"
"Smoker","Unknown","89","0"
"Total with completed information","Female","152423","3739"
"Total with completed information","Male","123429","4030"
"Total with completed information","Total","277077","7774"
"Total with completed information","Unknown","1225","5"
