"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","120582","4587"
"Any Chronic Condition","Male","95927","5293"
"Any Chronic Condition","Total","216967","9882"
"Any Chronic Condition","Unknown","458","2"
"Any Disability","Female","8778","1267"
"Any Disability","Male","6718","1151"
"Any Disability","Total","15526","2419"
"Any Disability","Unknown","30","1"
"Cardiovascular Disease","Female","25743","2553"
"Cardiovascular Disease","Male","23453","3049"
"Cardiovascular Disease","Total","49265","5603"
"Cardiovascular Disease","Unknown","69","1"
"Chronic Liver Disease","Female","1360","129"
"Chronic Liver Disease","Male","1177","182"
"Chronic Liver Disease","Total","2544","311"
"Chronic Liver Disease","Unknown","7","0"
"Chronic Lung Disease","Female","31681","1289"
"Chronic Lung Disease","Male","20110","1337"
"Chronic Lung Disease","Total","51894","2626"
"Chronic Lung Disease","Unknown","103","0"
"Chronic Renal Disease","Female","5421","1045"
"Chronic Renal Disease","Male","5342","1305"
"Chronic Renal Disease","Total","10781","2350"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5170","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5176","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","29002","1876"
"Diabetes Mellitus","Male","25105","2361"
"Diabetes Mellitus","Total","54196","4238"
"Diabetes Mellitus","Unknown","89","1"
"Hypertension/High blood pressure","Female","18234","750"
"Hypertension/High blood pressure","Male","14366","841"
"Hypertension/High blood pressure","Total","32689","1591"
"Hypertension/High blood pressure","Unknown","89","0"
"ICU","Female","4634","1878"
"ICU","Male","5925","2534"
"ICU","Total","10573","4413"
"ICU","Unknown","14","1"
"Immunocompromised Condition","Female","10796","593"
"Immunocompromised Condition","Male","6315","687"
"Immunocompromised Condition","Total","17140","1280"
"Immunocompromised Condition","Unknown","29","0"
"Missing/Unknown status on all conditions","Female","201750","849"
"Missing/Unknown status on all conditions","Male","185660","1026"
"Missing/Unknown status on all conditions","Total","395261","1877"
"Missing/Unknown status on all conditions","Unknown","7851","2"
"None of the above conditions","Female","265365","6919"
"None of the above conditions","Male","215359","7818"
"None of the above conditions","Total","482147","14739"
"None of the above conditions","Unknown","1423","2"
"Obesity (BMI>40)","Female","6386","166"
"Obesity (BMI>40)","Male","3461","154"
"Obesity (BMI>40)","Total","9862","320"
"Obesity (BMI>40)","Unknown","15","0"
"Other Chronic Diseases","Female","34329","2095"
"Other Chronic Diseases","Male","22633","2143"
"Other Chronic Diseases","Total","57079","4238"
"Other Chronic Diseases","Unknown","117","0"
"Smoker","Female","27477","681"
"Smoker","Male","33926","1317"
"Smoker","Total","61505","1998"
"Smoker","Unknown","102","0"
"Total with completed information","Female","275565","7610"
"Total with completed information","Male","224328","8595"
"Total with completed information","Total","501361","16208"
"Total with completed information","Unknown","1468","3"
