county_resident,positive,deaths,hospitalization,case_rate
Appling,1030,28,91,5549.27
Atkinson,441,3,58,5294.12
Bacon,598,14,45,5243.77
Baker,84,4,20,2695.76
Baldwin,2113,56,167,4756.01
Banks,484,8,65,2422.18
Barrow,2184,48,240,2528.28
Bartow,2913,85,289,2629.75
Ben Hill,776,24,79,4662.06
Berrien,449,12,22,2329.32
Bibb,6068,170,843,3988.17
Bleckley,433,21,26,3372.8
Brantley,344,10,33,1791.48
Brooks,523,26,54,3325.49
Bryan,1147,11,79,2930.73
Bulloch,2882,28,132,3626.66
Burke,805,10,86,3603.08
Butts,657,42,52,2609.84
Calhoun,244,8,46,3862.59
Camden,1290,9,51,2392.26
Candler,459,19,31,4235.49
Carroll,2788,68,156,2321.03
Catoosa,1187,18,78,1726.02
Charlton,633,7,25,4777
Chatham,8446,159,758,2890.72
Chattahoochee,1634,1,14,15201.41
Chattooga,766,22,53,3092.95
Cherokee,6033,92,486,2262.8
Clarke,5035,44,225,3879.67
Clay,121,2,9,4238.18
Clayton,7094,162,643,2327.14
Clinch,378,6,28,5679.09
Cobb,19576,426,1761,2476.13
Coffee,2056,49,297,4776.73
Colquitt,1882,33,153,4146.01
Columbia,3755,61,181,2367.13
Cook,549,13,61,3148.48
Coweta,2614,46,130,1719.73
Crawford,167,5,26,1365.72
Crisp,557,17,72,2498.99
Dade,282,5,20,1744.83
Dawson,814,7,75,3012.47
DeKalb,18699,364,2089,2357.55
Decatur,1155,29,87,4387.96
Dodge,426,12,39,2089.77
Dooly,338,14,52,2522.39
Dougherty,3149,187,644,3502.59
Douglas,3558,71,405,2342.24
Early,493,33,37,4859.06
Echols,240,2,9,6046.86
Effingham,1439,23,96,2247.52
Elbert,645,3,43,3404.59
Emanuel,1050,31,77,4632.9
Evans,428,6,35,4004.87
Fannin,652,22,50,2477.2
Fayette,1855,50,104,1578.13
Floyd,3169,45,233,3171.66
Forsyth,4022,45,316,1592.83
Franklin,753,13,59,3227.74
Fulton,27605,575,2402,2511.42
Gilmer,819,13,79,2606.87
Glascock,39,2,4,1289.26
Glynn,3455,95,281,4015.25
Gordon,1846,36,113,3180.07
Grady,774,22,91,3154.03
Greene,503,24,56,2687.4
Gwinnett,27424,405,2672,2823.88
Habersham,1639,67,216,3578.6
Hall,9248,152,956,4481.73
Hancock,392,42,64,4784.57
Haralson,478,8,26,1555.89
Harris,793,22,88,2284.51
Hart,510,13,67,1953.5
Heard,194,5,15,1568.31
Henry,5218,100,212,2175.38
Houston,3155,82,373,2009.06
Irwin,295,4,37,3127.32
Jackson,1991,32,164,2665.33
Jasper,221,4,21,1556.45
Jeff Davis,716,20,47,4726.7
Jefferson,795,28,76,5191.67
Jenkins,422,30,63,4920.71
Johnson,416,22,57,4305.97
Jones,557,8,47,1948.17
Lamar,367,18,39,1896.93
Lanier,295,5,15,2849.97
Laurens,1652,69,141,3492.9
Lee,698,25,104,2328.92
Liberty,1110,22,109,1793.1
Lincoln,213,7,24,2621.54
Long,251,3,19,1260.36
Lowndes,3903,82,199,3311.05
Lumpkin,908,14,90,2686.23
Macon,234,10,46,1801.66
Madison,693,8,58,2296.45
Marion,190,8,20,2291.09
McDuffie,604,14,69,2796.68
McIntosh,291,7,29,1997.67
Meriwether,544,13,70,2588.01
Miller,261,1,10,4528.11
Mitchell,808,45,148,3663.4
Monroe,690,51,81,2488.55
Montgomery,306,5,22,3317.43
Morgan,481,2,37,2513.32
Murray,833,6,51,2069
Muscogee,6019,169,663,3141.01
Newton,2588,89,269,2303.43
Non-GA Resident/Unknown State,16318,158,633,0
Oconee,745,26,64,1784.99
Oglethorpe,330,11,45,2165.35
Paulding,2780,53,142,1611.2
Peach,672,24,105,2454.79
Pickens,618,10,56,1843.13
Pierce,607,20,79,3105.65
Pike,329,10,31,1744.43
Polk,1481,17,98,3406.01
Pulaski,312,22,37,2864.22
Putnam,688,25,68,3143.71
Quitman,32,1,6,1394.94
Rabun,340,9,45,2001.65
Randolph,331,29,55,4900.8
Richmond,7123,162,564,3522.05
Rockdale,1856,36,223,1954.51
Schley,105,2,16,1990.52
Screven,414,10,43,2978.42
Seminole,356,9,23,4373.46
Spalding,1336,61,189,1933.15
Stephens,1055,38,112,4007.14
Stewart,522,14,80,8516.89
Sumter,933,62,198,3173.58
Talbot,166,6,22,2695.68
Taliaferro,22,0,2,1348.04
Tattnall,834,12,60,3282.04
Taylor,212,10,32,2663.99
Telfair,386,19,39,2467.4
Terrell,329,32,74,3885.67
Thomas,1494,63,167,3362.52
Tift,1775,57,223,4347.29
Toombs,1330,49,102,4929.03
Towns,331,9,36,2750.54
Treutlen,258,8,27,3778.01
Troup,2805,99,308,3983.58
Turner,304,22,48,3764.24
Twiggs,194,7,44,2399.21
Union,756,20,81,2984.01
Unknown,2223,6,59,0
Upson,791,62,79,3010.24
Walker,1535,36,80,2205.14
Walton,1821,55,178,1900.56
Ware,1497,59,172,4175.38
Warren,151,5,23,2898.27
Washington,672,8,49,3310.02
Wayne,1130,30,106,3769.93
Webster,44,2,10,1725.49
Wheeler,334,11,19,4223.04
White,833,19,98,2622.96
Whitfield,4582,60,240,4377.48
Wilcox,248,20,51,2821.39
Wilkes,266,5,30,2656.28
Wilkinson,337,18,61,3778.45
Worth,532,30,90,2641.25
