"report_date","data_date","Country","confirmed_cases_total","cases_total_china_exposure","cases_total_outside_china_exposure_international","cases_total_local_exposure","cases_total_unknown_exposure","country_of_exposure","second_country_of_exposure","transmission_classification","source","accessed_by","accessed_date","notes","notes2","source2","accessed_by2","accessed_date2","notes3"
2020-01-13,2020-01-13,"Thailand",1,1,0,0,0,NA,NA,NA,"https://www.scmp.com/news/hong-kong/health-environment/article/3045902/wuhan-pneumonia-thailand-confirms-first-case","TCO",2020-03-09,"travel history to Wuhan, not seafood market",NA,NA,NA,NA,NA
2020-01-14,2020-01-14,"Thailand",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-15,2020-01-15,"Thailand",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-16,2020-01-16,"Thailand",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-16,2020-01-16,"Japan",1,1,0,0,0,NA,NA,NA,"https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html","TCO",2020-03-09,"travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-17,2020-01-17,"Thailand",2,2,0,0,0,NA,NA,NA,"https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html","TCO",2020-03-09,"travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-17,2020-01-17,"Japan",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-18,2020-01-18,"Thailand",2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-18,2020-01-18,"Japan",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-19,2020-01-19,"Thailand",2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-19,2020-01-19,"Japan",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-21,2020-01-20,"Japan",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200121-sitrep-1-2019-ncov.pdf?sfvrsn=20a99c10_4","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-21,2020-01-20,"Republic of Korea",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200121-sitrep-1-2019-ncov.pdf?sfvrsn=20a99c10_4","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-21,2020-01-20,"Thailand",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200121-sitrep-1-2019-ncov.pdf?sfvrsn=20a99c10_4","TCO",2020-02-28,"all have travel history to Wuhan",NA,"https://www.who.int/csr/don/14-january-2020-novel-coronavirus-thailand-ex-china/en/, https://www.info.gov.hk/gia/general/202001/17/P2020011700960.htm","CAS",2020-03-05,NA
2020-01-22,2020-01-21,"Japan",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200122-sitrep-2-2019-ncov.pdf?sfvrsn=4d5bcbca_2","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-22,2020-01-21,"Republic of Korea",1,1,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200122-sitrep-2-2019-ncov.pdf?sfvrsn=4d5bcbca_2","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-22,2020-01-21,"Thailand",2,2,0,0,0,NA,NA,NA,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200122-sitrep-2-2019-ncov.pdf?sfvrsn=4d5bcbca_2","TCO",2020-02-28,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-22,2020-01-22,"Japan",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-22,2020-01-22,"Republic of Korea",1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-22,2020-01-22,"Thailand",4,4,0,0,0,NA,NA,NA,"https://www.bangkokpost.com/thailand/general/1841589/govt-confirms-thai-coronavirus-case","TCO",2020-03-09,"all have travel history to Wuhan",NA,NA,NA,NA,NA
2020-01-22,2020-01-22,"United States of America",1,1,0,0,0,NA,NA,NA,"https://www.cdc.gov/media/releases/2020/p0121-novel-coronavirus-travel-case.html","TCO",2020-03-09,"travel history to Wuhan",NA,NA,NA,NA,NA
