"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","176406","6347"
"Any Chronic Condition","Male","135671","7357"
"Any Chronic Condition","Total","312454","13708"
"Any Chronic Condition","Unknown","377","4"
"Any Disability","Female","12803","1642"
"Any Disability","Male","10415","1528"
"Any Disability","Total","23247","3171"
"Any Disability","Unknown","29","1"
"Cardiovascular Disease","Female","31697","3200"
"Cardiovascular Disease","Male","28960","3908"
"Cardiovascular Disease","Total","60706","7110"
"Cardiovascular Disease","Unknown","49","2"
"Chronic Liver Disease","Female","2014","176"
"Chronic Liver Disease","Male","1710","268"
"Chronic Liver Disease","Total","3726","444"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","47823","1833"
"Chronic Lung Disease","Male","30548","1853"
"Chronic Lung Disease","Total","78474","3686"
"Chronic Lung Disease","Unknown","103","0"
"Chronic Renal Disease","Female","7340","1406"
"Chronic Renal Disease","Male","7123","1770"
"Chronic Renal Disease","Total","14475","3177"
"Chronic Renal Disease","Unknown","12","1"
"Currently Pregnant","Female","11198","26"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","11205","26"
"Currently Pregnant","Unknown","7","0"
"Diabetes Mellitus","Female","39198","2629"
"Diabetes Mellitus","Male","33061","3207"
"Diabetes Mellitus","Total","72336","5838"
"Diabetes Mellitus","Unknown","77","2"
"Hypertension/High blood pressure","Female","37067","1830"
"Hypertension/High blood pressure","Male","28821","2030"
"Hypertension/High blood pressure","Total","65980","3861"
"Hypertension/High blood pressure","Unknown","92","1"
"ICU","Female","6711","2810"
"ICU","Male","8472","3734"
"ICU","Total","15214","6546"
"ICU","Unknown","31","2"
"Immunocompromised Condition","Female","9360","548"
"Immunocompromised Condition","Male","5380","609"
"Immunocompromised Condition","Total","14752","1157"
"Immunocompromised Condition","Unknown","12","0"
"Missing/Unknown status on all conditions","Female","557776","1302"
"Missing/Unknown status on all conditions","Male","491845","1481"
"Missing/Unknown status on all conditions","Total","1063097","2785"
"Missing/Unknown status on all conditions","Unknown","13476","2"
"None of the above conditions","Female","452559","11292"
"None of the above conditions","Male","351220","13089"
"None of the above conditions","Total","805485","24385"
"None of the above conditions","Unknown","1706","4"
"Obesity (BMI>40)","Female","13601","452"
"Obesity (BMI>40)","Male","7261","429"
"Obesity (BMI>40)","Total","20884","882"
"Obesity (BMI>40)","Unknown","22","1"
"Other Chronic Diseases","Female","40144","2583"
"Other Chronic Diseases","Male","26045","2635"
"Other Chronic Diseases","Total","66249","5219"
"Other Chronic Diseases","Unknown","60","1"
"Smoker","Female","41859","1015"
"Smoker","Male","48500","1909"
"Smoker","Total","90440","2924"
"Smoker","Unknown","81","0"
"Total with completed information","Female","470095","12110"
"Total with completed information","Male","363464","13988"
"Total with completed information","Total","835313","26104"
"Total with completed information","Unknown","1754","6"
