"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","148149","5665"
"Any Chronic Condition","Male","116910","6491"
"Any Chronic Condition","Total","265408","12160"
"Any Chronic Condition","Unknown","349","4"
"Any Disability","Female","10900","1486"
"Any Disability","Male","8615","1355"
"Any Disability","Total","19536","2841"
"Any Disability","Unknown","21","0"
"Cardiovascular Disease","Female","28740","2905"
"Cardiovascular Disease","Male","26288","3545"
"Cardiovascular Disease","Total","55077","6453"
"Cardiovascular Disease","Unknown","49","3"
"Chronic Liver Disease","Female","1673","150"
"Chronic Liver Disease","Male","1453","228"
"Chronic Liver Disease","Total","3128","378"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","39731","1603"
"Chronic Lung Disease","Male","25588","1624"
"Chronic Lung Disease","Total","65397","3228"
"Chronic Lung Disease","Unknown","78","1"
"Chronic Renal Disease","Female","6454","1248"
"Chronic Renal Disease","Male","6259","1571"
"Chronic Renal Disease","Total","12722","2820"
"Chronic Renal Disease","Unknown","9","1"
"Currently Pregnant","Female","7350","14"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7353","14"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","34261","2338"
"Diabetes Mellitus","Male","29277","2856"
"Diabetes Mellitus","Total","63604","5197"
"Diabetes Mellitus","Unknown","66","3"
"Hypertension/High blood pressure","Female","28429","1397"
"Hypertension/High blood pressure","Male","22237","1535"
"Hypertension/High blood pressure","Total","50756","2933"
"Hypertension/High blood pressure","Unknown","90","1"
"ICU","Female","5889","2440"
"ICU","Male","7462","3278"
"ICU","Total","13376","5721"
"ICU","Unknown","25","3"
"Immunocompromised Condition","Female","9662","576"
"Immunocompromised Condition","Male","5648","662"
"Immunocompromised Condition","Total","15321","1238"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","313231","1125"
"Missing/Unknown status on all conditions","Male","291023","1278"
"Missing/Unknown status on all conditions","Total","612987","2405"
"Missing/Unknown status on all conditions","Unknown","8733","2"
"None of the above conditions","Female","344823","9494"
"None of the above conditions","Male","275796","10908"
"None of the above conditions","Total","621965","20408"
"None of the above conditions","Unknown","1346","6"
"Obesity (BMI>40)","Female","10212","325"
"Obesity (BMI>40)","Male","5557","298"
"Obesity (BMI>40)","Total","15787","623"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","37242","2340"
"Other Chronic Diseases","Male","24376","2377"
"Other Chronic Diseases","Total","61689","4717"
"Other Chronic Diseases","Unknown","71","0"
"Smoker","Female","35073","886"
"Smoker","Male","41720","1619"
"Smoker","Total","76876","2506"
"Smoker","Unknown","83","1"
"Total with completed information","Female","358291","10261"
"Total with completed information","Male","286798","11765"
"Total with completed information","Total","646477","22034"
"Total with completed information","Unknown","1388","8"
