"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","122819","4732"
"Any Chronic Condition","Male","97767","5447"
"Any Chronic Condition","Total","221046","10181"
"Any Chronic Condition","Unknown","460","2"
"Any Disability","Female","9046","1313"
"Any Disability","Male","6913","1176"
"Any Disability","Total","15987","2490"
"Any Disability","Unknown","28","1"
"Cardiovascular Disease","Female","25976","2607"
"Cardiovascular Disease","Male","23686","3125"
"Cardiovascular Disease","Total","49734","5733"
"Cardiovascular Disease","Unknown","72","1"
"Chronic Liver Disease","Female","1396","133"
"Chronic Liver Disease","Male","1208","194"
"Chronic Liver Disease","Total","2610","327"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","32240","1328"
"Chronic Lung Disease","Male","20483","1375"
"Chronic Lung Disease","Total","52822","2703"
"Chronic Lung Disease","Unknown","99","0"
"Chronic Renal Disease","Female","5513","1090"
"Chronic Renal Disease","Male","5436","1351"
"Chronic Renal Disease","Total","10967","2441"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","5279","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5285","6"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","29496","1947"
"Diabetes Mellitus","Male","25489","2427"
"Diabetes Mellitus","Total","55076","4375"
"Diabetes Mellitus","Unknown","91","1"
"Hypertension/High blood pressure","Female","19374","884"
"Hypertension/High blood pressure","Male","15305","957"
"Hypertension/High blood pressure","Total","34772","1841"
"Hypertension/High blood pressure","Unknown","93","0"
"ICU","Female","4778","1956"
"ICU","Male","6110","2629"
"ICU","Total","10901","4586"
"ICU","Unknown","13","1"
"Immunocompromised Condition","Female","10997","618"
"Immunocompromised Condition","Male","6413","711"
"Immunocompromised Condition","Total","17438","1329"
"Immunocompromised Condition","Unknown","28","0"
"Missing/Unknown status on all conditions","Female","199334","841"
"Missing/Unknown status on all conditions","Male","183717","1006"
"Missing/Unknown status on all conditions","Total","390283","1849"
"Missing/Unknown status on all conditions","Unknown","7232","2"
"None of the above conditions","Female","270615","7094"
"None of the above conditions","Male","219994","8000"
"None of the above conditions","Total","492024","15096"
"None of the above conditions","Unknown","1415","2"
"Obesity (BMI>40)","Female","6774","195"
"Obesity (BMI>40)","Male","3670","174"
"Obesity (BMI>40)","Total","10458","369"
"Obesity (BMI>40)","Unknown","14","0"
"Other Chronic Diseases","Female","34728","2132"
"Other Chronic Diseases","Male","22893","2181"
"Other Chronic Diseases","Total","57741","4313"
"Other Chronic Diseases","Unknown","120","0"
"Smoker","Female","28060","722"
"Smoker","Male","34602","1380"
"Smoker","Total","62765","2102"
"Smoker","Unknown","103","0"
"Total with completed information","Female","280650","7782"
"Total with completed information","Male","228805","8769"
"Total with completed information","Total","510915","16554"
"Total with completed information","Unknown","1460","3"
