"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","54377","2450"
"Any Chronic Condition","Male","44560","2729"
"Any Chronic Condition","Total","99253","5180"
"Any Chronic Condition","Unknown","316","1"
"Cardiovascular Disease","Female","17051","1574"
"Cardiovascular Disease","Male","14652","1779"
"Cardiovascular Disease","Total","31769","3353"
"Cardiovascular Disease","Unknown","66","0"
"Chronic Liver Disease","Female","666","68"
"Chronic Liver Disease","Male","598","100"
"Chronic Liver Disease","Total","1266","168"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","15782","724"
"Chronic Lung Disease","Male","9937","725"
"Chronic Lung Disease","Total","25822","1449"
"Chronic Lung Disease","Unknown","103","0"
"Chronic Renal Disease","Female","3157","615"
"Chronic Renal Disease","Male","2886","720"
"Chronic Renal Disease","Total","6059","1335"
"Chronic Renal Disease","Unknown","16","0"
"Currently Pregnant","Female","2759","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2765","5"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","15766","1031"
"Diabetes Mellitus","Male","13302","1274"
"Diabetes Mellitus","Total","29148","2306"
"Diabetes Mellitus","Unknown","80","1"
"ICU","Female","2849","1065"
"ICU","Male","3634","1449"
"ICU","Total","6497","2516"
"ICU","Unknown","14","2"
"Immunocompromised Condition","Female","5249","300"
"Immunocompromised Condition","Male","3232","358"
"Immunocompromised Condition","Total","8496","658"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","86618","658"
"Missing/Unknown status on all conditions","Male","81732","749"
"Missing/Unknown status on all conditions","Total","173350","1409"
"Missing/Unknown status on all conditions","Unknown","5000","2"
"Neurologic/Neurodevelopmental","Female","3957","725"
"Neurologic/Neurodevelopmental","Male","2707","623"
"Neurologic/Neurodevelopmental","Total","6686","1348"
"Neurologic/Neurodevelopmental","Unknown","22","0"
"None of the above conditions","Female","131073","3111"
"None of the above conditions","Male","106012","3324"
"None of the above conditions","Total","238174","6436"
"None of the above conditions","Unknown","1089","1"
"Other Chronic Diseases","Female","8439","773"
"Other Chronic Diseases","Male","5387","761"
"Other Chronic Diseases","Total","13871","1534"
"Other Chronic Diseases","Unknown","45","0"
"Smoker","Female","13874","334"
"Smoker","Male","17862","661"
"Smoker","Total","31820","995"
"Smoker","Unknown","84","0"
"Total with completed information","Female","136677","3542"
"Total with completed information","Male","110985","3825"
"Total with completed information","Total","248783","7369"
"Total with completed information","Unknown","1121","2"
