"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","73500","2767"
"Any Chronic Condition","Male","58637","3094"
"Any Chronic Condition","Total","132602","5861"
"Any Chronic Condition","Unknown","465","0"
"Cardiovascular Disease","Female","19980","1712"
"Cardiovascular Disease","Male","17478","1943"
"Cardiovascular Disease","Total","37546","3655"
"Cardiovascular Disease","Unknown","88","0"
"Chronic Liver Disease","Female","801","70"
"Chronic Liver Disease","Male","738","112"
"Chronic Liver Disease","Total","1542","182"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","19426","783"
"Chronic Lung Disease","Male","12306","781"
"Chronic Lung Disease","Total","31852","1564"
"Chronic Lung Disease","Unknown","120","0"
"Chronic Renal Disease","Female","3651","654"
"Chronic Renal Disease","Male","3457","779"
"Chronic Renal Disease","Total","7130","1433"
"Chronic Renal Disease","Unknown","22","0"
"Currently Pregnant","Female","3259","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3267","5"
"Currently Pregnant","Unknown","8","0"
"Diabetes Mellitus","Female","18892","1129"
"Diabetes Mellitus","Male","16079","1379"
"Diabetes Mellitus","Total","35077","2508"
"Diabetes Mellitus","Unknown","106","0"
"ICU","Female","3185","1165"
"ICU","Male","4122","1582"
"ICU","Total","7322","2747"
"ICU","Unknown","15","0"
"Immunocompromised Condition","Female","6636","328"
"Immunocompromised Condition","Male","4036","381"
"Immunocompromised Condition","Total","10695","709"
"Immunocompromised Condition","Unknown","23","0"
"Missing/Unknown status on all conditions","Female","122481","671"
"Missing/Unknown status on all conditions","Male","113544","778"
"Missing/Unknown status on all conditions","Total","242879","1452"
"Missing/Unknown status on all conditions","Unknown","6854","3"
"Neurologic/Neurodevelopmental","Female","4751","793"
"Neurologic/Neurodevelopmental","Male","3298","672"
"Neurologic/Neurodevelopmental","Total","8079","1465"
"Neurologic/Neurodevelopmental","Unknown","30","0"
"None of the above conditions","Female","162597","3477"
"None of the above conditions","Male","131093","3730"
"None of the above conditions","Total","295098","7209"
"None of the above conditions","Unknown","1408","2"
"Other Chronic Diseases","Female","26285","1526"
"Other Chronic Diseases","Male","17855","1531"
"Other Chronic Diseases","Total","44307","3057"
"Other Chronic Diseases","Unknown","167","0"
"Smoker","Female","16675","371"
"Smoker","Male","21068","723"
"Smoker","Total","37845","1094"
"Smoker","Unknown","102","0"
"Total with completed information","Female","170405","3982"
"Total with completed information","Male","137965","4323"
"Total with completed information","Total","309833","8307"
"Total with completed information","Unknown","1463","2"
