"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","93605","3491"
"Any Chronic Condition","Male","74606","4029"
"Any Chronic Condition","Total","168839","7523"
"Any Chronic Condition","Unknown","628","3"
"Cardiovascular Disease","Female","23278","2077"
"Cardiovascular Disease","Male","20885","2466"
"Cardiovascular Disease","Total","44287","4545"
"Cardiovascular Disease","Unknown","124","2"
"Chronic Liver Disease","Female","1096","100"
"Chronic Liver Disease","Male","945","139"
"Chronic Liver Disease","Total","2050","239"
"Chronic Liver Disease","Unknown","9","0"
"Chronic Lung Disease","Female","25619","1005"
"Chronic Lung Disease","Male","16246","1018"
"Chronic Lung Disease","Total","42021","2024"
"Chronic Lung Disease","Unknown","156","1"
"Chronic Renal Disease","Female","4577","810"
"Chronic Renal Disease","Male","4441","1005"
"Chronic Renal Disease","Total","9048","1816"
"Chronic Renal Disease","Unknown","30","1"
"Currently Pregnant","Female","4130","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4139","6"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","24282","1448"
"Diabetes Mellitus","Male","20836","1809"
"Diabetes Mellitus","Total","45259","3259"
"Diabetes Mellitus","Unknown","141","2"
"ICU","Female","3782","1489"
"ICU","Male","4916","2008"
"ICU","Total","8717","3499"
"ICU","Unknown","19","2"
"Immunocompromised Condition","Female","8752","428"
"Immunocompromised Condition","Male","5204","513"
"Immunocompromised Condition","Total","13991","941"
"Immunocompromised Condition","Unknown","35","0"
"Missing/Unknown status on all conditions","Female","193400","816"
"Missing/Unknown status on all conditions","Male","175677","992"
"Missing/Unknown status on all conditions","Total","378616","1819"
"Missing/Unknown status on all conditions","Unknown","9539","11"
"Neurologic/Neurodevelopmental","Female","6695","968"
"Neurologic/Neurodevelopmental","Male","4918","884"
"Neurologic/Neurodevelopmental","Total","11663","1853"
"Neurologic/Neurodevelopmental","Unknown","50","1"
"None of the above conditions","Female","213292","4938"
"None of the above conditions","Male","171348","5538"
"None of the above conditions","Total","386482","10487"
"None of the above conditions","Unknown","1842","11"
"Other Chronic Diseases","Female","30561","1761"
"Other Chronic Diseases","Male","20343","1814"
"Other Chronic Diseases","Total","51111","3575"
"Other Chronic Diseases","Unknown","207","0"
"Smoker","Female","21870","496"
"Smoker","Male","27150","972"
"Smoker","Total","49168","1468"
"Smoker","Unknown","148","0"
"Total with completed information","Female","223178","5567"
"Total with completed information","Male","180088","6273"
"Total with completed information","Total","405205","11853"
"Total with completed information","Unknown","1939","13"
