"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","101733","3729"
"Any Chronic Condition","Male","80768","4340"
"Any Chronic Condition","Total","183193","8074"
"Any Chronic Condition","Unknown","692","5"
"Any Disability","Female","7109","1019"
"Any Disability","Male","5267","938"
"Any Disability","Total","12427","1957"
"Any Disability","Unknown","51","0"
"Cardiovascular Disease","Female","23786","2157"
"Cardiovascular Disease","Male","21444","2600"
"Cardiovascular Disease","Total","45361","4759"
"Cardiovascular Disease","Unknown","131","2"
"Chronic Liver Disease","Female","1139","106"
"Chronic Liver Disease","Male","990","146"
"Chronic Liver Disease","Total","2138","252"
"Chronic Liver Disease","Unknown","9","0"
"Chronic Lung Disease","Female","26760","1065"
"Chronic Lung Disease","Male","17022","1093"
"Chronic Lung Disease","Total","43944","2160"
"Chronic Lung Disease","Unknown","162","2"
"Chronic Renal Disease","Female","4737","851"
"Chronic Renal Disease","Male","4640","1076"
"Chronic Renal Disease","Total","9409","1930"
"Chronic Renal Disease","Unknown","32","3"
"Currently Pregnant","Female","4284","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4295","6"
"Currently Pregnant","Unknown","11","0"
"Diabetes Mellitus","Female","25211","1542"
"Diabetes Mellitus","Male","21735","1936"
"Diabetes Mellitus","Total","47090","3481"
"Diabetes Mellitus","Unknown","144","3"
"Hypertension/High blood pressure","Female","10549","299"
"Hypertension/High blood pressure","Male","8216","378"
"Hypertension/High blood pressure","Total","18850","678"
"Hypertension/High blood pressure","Unknown","85","1"
"ICU","Female","3900","1564"
"ICU","Male","5078","2126"
"ICU","Total","8999","3693"
"ICU","Unknown","21","3"
"Immunocompromised Condition","Female","9124","453"
"Immunocompromised Condition","Male","5398","536"
"Immunocompromised Condition","Total","14559","989"
"Immunocompromised Condition","Unknown","37","0"
"Missing/Unknown status on all conditions","Female","197838","840"
"Missing/Unknown status on all conditions","Male","179955","1014"
"Missing/Unknown status on all conditions","Total","387427","1866"
"Missing/Unknown status on all conditions","Unknown","9634","12"
"None of the above conditions","Female","222638","5434"
"None of the above conditions","Male","179267","6153"
"None of the above conditions","Total","403833","11602"
"None of the above conditions","Unknown","1928","15"
"Obesity (BMI>40)","Female","3440","67"
"Obesity (BMI>40)","Male","1917","68"
"Obesity (BMI>40)","Total","5372","135"
"Obesity (BMI>40)","Unknown","15","0"
"Other Chronic Diseases","Female","31407","1822"
"Other Chronic Diseases","Male","20839","1884"
"Other Chronic Diseases","Total","52460","3706"
"Other Chronic Diseases","Unknown","214","0"
"Smoker","Female","22881","528"
"Smoker","Male","28381","1038"
"Smoker","Total","51421","1566"
"Smoker","Unknown","159","0"
"Total with completed information","Female","232771","6087"
"Total with completed information","Male","188241","6912"
"Total with completed information","Total","423046","13016"
"Total with completed information","Unknown","2034","17"
