"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","99835","3631"
"Any Chronic Condition","Male","79230","4218"
"Any Chronic Condition","Total","179737","7853"
"Any Chronic Condition","Unknown","672","4"
"Any Disability","Female","6942","991"
"Any Disability","Male","5142","910"
"Any Disability","Total","12135","1902"
"Any Disability","Unknown","51","1"
"Cardiovascular Disease","Female","23545","2117"
"Cardiovascular Disease","Male","21204","2545"
"Cardiovascular Disease","Total","44876","4664"
"Cardiovascular Disease","Unknown","127","2"
"Chronic Liver Disease","Female","1120","102"
"Chronic Liver Disease","Male","967","142"
"Chronic Liver Disease","Total","2096","244"
"Chronic Liver Disease","Unknown","9","0"
"Chronic Lung Disease","Female","26254","1038"
"Chronic Lung Disease","Male","16697","1059"
"Chronic Lung Disease","Total","43107","2098"
"Chronic Lung Disease","Unknown","156","1"
"Chronic Renal Disease","Female","4664","832"
"Chronic Renal Disease","Male","4540","1045"
"Chronic Renal Disease","Total","9236","1879"
"Chronic Renal Disease","Unknown","32","2"
"Currently Pregnant","Female","4216","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","4226","6"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","24830","1500"
"Diabetes Mellitus","Male","21362","1878"
"Diabetes Mellitus","Total","46336","3380"
"Diabetes Mellitus","Unknown","144","2"
"Hypertension/High blood pressure","Female","9796","268"
"Hypertension/High blood pressure","Male","7636","329"
"Hypertension/High blood pressure","Total","17508","598"
"Hypertension/High blood pressure","Unknown","76","1"
"ICU","Female","3842","1527"
"ICU","Male","5008","2072"
"ICU","Total","8869","3601"
"ICU","Unknown","19","2"
"Immunocompromised Condition","Female","8951","440"
"Immunocompromised Condition","Male","5319","525"
"Immunocompromised Condition","Total","14307","965"
"Immunocompromised Condition","Unknown","37","0"
"Missing/Unknown status on all conditions","Female","195804","820"
"Missing/Unknown status on all conditions","Male","178062","1004"
"Missing/Unknown status on all conditions","Total","383491","1836"
"Missing/Unknown status on all conditions","Unknown","9625","12"
"None of the above conditions","Female","218513","5235"
"None of the above conditions","Male","175833","5885"
"None of the above conditions","Total","396231","11132"
"None of the above conditions","Unknown","1885","12"
"Obesity (BMI>40)","Female","3187","58"
"Obesity (BMI>40)","Male","1784","59"
"Obesity (BMI>40)","Total","4986","117"
"Obesity (BMI>40)","Unknown","15","0"
"Other Chronic Diseases","Female","31058","1800"
"Other Chronic Diseases","Male","20618","1845"
"Other Chronic Diseases","Total","51885","3645"
"Other Chronic Diseases","Unknown","209","0"
"Smoker","Female","22433","513"
"Smoker","Male","27847","1007"
"Smoker","Total","50434","1520"
"Smoker","Unknown","154","0"
"Total with completed information","Female","228577","5872"
"Total with completed information","Male","184729","6636"
"Total with completed information","Total","415294","12522"
"Total with completed information","Unknown","1988","14"
