"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","60444","2547"
"Any Chronic Condition","Male","49226","2842"
"Any Chronic Condition","Total","110018","5390"
"Any Chronic Condition","Unknown","348","1"
"Cardiovascular Disease","Female","18708","1637"
"Cardiovascular Disease","Male","16197","1852"
"Cardiovascular Disease","Total","34981","3489"
"Cardiovascular Disease","Unknown","76","0"
"Chronic Liver Disease","Female","734","69"
"Chronic Liver Disease","Male","668","111"
"Chronic Liver Disease","Total","1405","180"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","17720","746"
"Chronic Lung Disease","Male","11099","748"
"Chronic Lung Disease","Total","28927","1494"
"Chronic Lung Disease","Unknown","108","0"
"Chronic Renal Disease","Female","3389","631"
"Chronic Renal Disease","Male","3150","742"
"Chronic Renal Disease","Total","6557","1373"
"Chronic Renal Disease","Unknown","18","0"
"Currently Pregnant","Female","3026","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","3032","5"
"Currently Pregnant","Unknown","6","0"
"Diabetes Mellitus","Female","17361","1072"
"Diabetes Mellitus","Male","14698","1320"
"Diabetes Mellitus","Total","32152","2393"
"Diabetes Mellitus","Unknown","93","1"
"ICU","Female","3016","1108"
"ICU","Male","3866","1501"
"ICU","Total","6896","2609"
"ICU","Unknown","14","0"
"Immunocompromised Condition","Female","5955","311"
"Immunocompromised Condition","Male","3620","369"
"Immunocompromised Condition","Total","9592","680"
"Immunocompromised Condition","Unknown","17","0"
"Missing/Unknown status on all conditions","Female","103021","671"
"Missing/Unknown status on all conditions","Male","96161","777"
"Missing/Unknown status on all conditions","Total","205065","1451"
"Missing/Unknown status on all conditions","Unknown","5883","3"
"Neurologic/Neurodevelopmental","Female","4335","758"
"Neurologic/Neurodevelopmental","Male","2951","648"
"Neurologic/Neurodevelopmental","Total","7310","1406"
"Neurologic/Neurodevelopmental","Unknown","24","0"
"None of the above conditions","Female","147335","3299"
"None of the above conditions","Male","118828","3528"
"None of the above conditions","Total","267369","6827"
"None of the above conditions","Unknown","1206","0"
"Other Chronic Diseases","Female","9252","801"
"Other Chronic Diseases","Male","5860","789"
"Other Chronic Diseases","Total","15164","1590"
"Other Chronic Diseases","Unknown","52","0"
"Smoker","Female","15339","353"
"Smoker","Male","19488","687"
"Smoker","Total","34915","1040"
"Smoker","Unknown","88","0"
"Total with completed information","Female","153526","3747"
"Total with completed information","Male","124323","4051"
"Total with completed information","Total","279087","7799"
"Total with completed information","Unknown","1238","1"
