"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","41400","2041"
"Any Chronic Condition","Male","33639","2216"
"Any Chronic Condition","Total","75456","4259"
"Any Chronic Condition","Unknown","417","2"
"Cardiovascular Disease","Female","13212","1320"
"Cardiovascular Disease","Male","11143","1466"
"Cardiovascular Disease","Total","24454","2786"
"Cardiovascular Disease","Unknown","99","0"
"Chronic Liver Disease","Female","520","55"
"Chronic Liver Disease","Male","464","74"
"Chronic Liver Disease","Total","986","129"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","11872","621"
"Chronic Lung Disease","Male","7407","583"
"Chronic Lung Disease","Total","19416","1204"
"Chronic Lung Disease","Unknown","137","0"
"Chronic Renal Disease","Female","2538","508"
"Chronic Renal Disease","Male","2337","607"
"Chronic Renal Disease","Total","4896","1115"
"Chronic Renal Disease","Unknown","21","0"
"Currently Pregnant","Female","2186","4"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2196","4"
"Currently Pregnant","Unknown","10","0"
"Diabetes Mellitus","Female","12421","864"
"Diabetes Mellitus","Male","10270","1029"
"Diabetes Mellitus","Total","22801","1895"
"Diabetes Mellitus","Unknown","110","2"
"ICU","Female","2377","867"
"ICU","Male","3002","1149"
"ICU","Total","5405","2018"
"ICU","Unknown","26","2"
"Immunocompromised Condition","Female","3964","242"
"Immunocompromised Condition","Male","2434","292"
"Immunocompromised Condition","Total","6427","534"
"Immunocompromised Condition","Unknown","29","0"
"Missing/Unknown status on all conditions","Female","69474","579"
"Missing/Unknown status on all conditions","Male","64771","686"
"Missing/Unknown status on all conditions","Total","140756","1268"
"Missing/Unknown status on all conditions","Unknown","6511","3"
"Neurologic/Neurodevelopmental","Female","3165","610"
"Neurologic/Neurodevelopmental","Male","2138","526"
"Neurologic/Neurodevelopmental","Total","5335","1136"
"Neurologic/Neurodevelopmental","Unknown","32","0"
"None of the above conditions","Female","95999","2509"
"None of the above conditions","Male","77157","2603"
"None of the above conditions","Total","174495","5112"
"None of the above conditions","Unknown","1339","0"
"Other Chronic Diseases","Female","6666","649"
"Other Chronic Diseases","Male","4251","647"
"Other Chronic Diseases","Total","10967","1296"
"Other Chronic Diseases","Unknown","50","0"
"Smoker","Female","10417","266"
"Smoker","Male","13355","512"
"Smoker","Total","23894","778"
"Smoker","Unknown","122","0"
"Total with completed information","Female","100970","2905"
"Total with completed information","Male","81520","3054"
"Total with completed information","Total","183894","5961"
"Total with completed information","Unknown","1404","2"
