"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","147649","5629"
"Any Chronic Condition","Male","116497","6460"
"Any Chronic Condition","Total","264503","12092"
"Any Chronic Condition","Unknown","357","3"
"Any Disability","Female","10850","1482"
"Any Disability","Male","8577","1349"
"Any Disability","Total","19449","2831"
"Any Disability","Unknown","22","0"
"Cardiovascular Disease","Female","28691","2893"
"Cardiovascular Disease","Male","26243","3530"
"Cardiovascular Disease","Total","54985","6425"
"Cardiovascular Disease","Unknown","51","2"
"Chronic Liver Disease","Female","1668","149"
"Chronic Liver Disease","Male","1449","227"
"Chronic Liver Disease","Total","3119","376"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","39571","1587"
"Chronic Lung Disease","Male","25476","1620"
"Chronic Lung Disease","Total","65127","3207"
"Chronic Lung Disease","Unknown","80","0"
"Chronic Renal Disease","Female","6435","1243"
"Chronic Renal Disease","Male","6250","1567"
"Chronic Renal Disease","Total","12695","2811"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","7313","13"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7316","13"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","34178","2327"
"Diabetes Mellitus","Male","29193","2845"
"Diabetes Mellitus","Total","63438","5175"
"Diabetes Mellitus","Unknown","67","3"
"Hypertension/High blood pressure","Female","28220","1371"
"Hypertension/High blood pressure","Male","22084","1518"
"Hypertension/High blood pressure","Total","50396","2889"
"Hypertension/High blood pressure","Unknown","92","0"
"ICU","Female","5853","2420"
"ICU","Male","7427","3258"
"ICU","Total","13305","5681"
"ICU","Unknown","25","3"
"Immunocompromised Condition","Female","9684","576"
"Immunocompromised Condition","Male","5661","662"
"Immunocompromised Condition","Total","15356","1238"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","312936","1116"
"Missing/Unknown status on all conditions","Male","290696","1274"
"Missing/Unknown status on all conditions","Total","612502","2392"
"Missing/Unknown status on all conditions","Unknown","8870","2"
"None of the above conditions","Female","343385","9418"
"None of the above conditions","Male","274538","10804"
"None of the above conditions","Total","619257","20227"
"None of the above conditions","Unknown","1334","5"
"Obesity (BMI>40)","Female","10133","319"
"Obesity (BMI>40)","Male","5507","294"
"Obesity (BMI>40)","Total","15659","613"
"Obesity (BMI>40)","Unknown","19","0"
"Other Chronic Diseases","Female","37206","2333"
"Other Chronic Diseases","Male","24348","2372"
"Other Chronic Diseases","Total","61626","4705"
"Other Chronic Diseases","Unknown","72","0"
"Smoker","Female","34916","878"
"Smoker","Male","41568","1615"
"Smoker","Total","76568","2493"
"Smoker","Unknown","84","0"
"Total with completed information","Female","356831","10181"
"Total with completed information","Male","285560","11659"
"Total with completed information","Total","643776","21847"
"Total with completed information","Unknown","1385","7"
