"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","130849","4908"
"Any Chronic Condition","Male","104012","5605"
"Any Chronic Condition","Total","235339","10515"
"Any Chronic Condition","Unknown","478","2"
"Any Disability","Female","9659","1355"
"Any Disability","Male","7432","1208"
"Any Disability","Total","17120","2564"
"Any Disability","Unknown","29","1"
"Cardiovascular Disease","Female","26898","2674"
"Cardiovascular Disease","Male","24518","3217"
"Cardiovascular Disease","Total","51488","5891"
"Cardiovascular Disease","Unknown","72","0"
"Chronic Liver Disease","Female","1481","135"
"Chronic Liver Disease","Male","1286","202"
"Chronic Liver Disease","Total","2773","337"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","34490","1373"
"Chronic Lung Disease","Male","21980","1423"
"Chronic Lung Disease","Total","56573","2796"
"Chronic Lung Disease","Unknown","103","0"
"Chronic Renal Disease","Female","5826","1124"
"Chronic Renal Disease","Male","5697","1396"
"Chronic Renal Disease","Total","11539","2520"
"Chronic Renal Disease","Unknown","16","0"
"Currently Pregnant","Female","5810","6"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","5815","6"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","31098","2021"
"Diabetes Mellitus","Male","26783","2493"
"Diabetes Mellitus","Total","57976","4515"
"Diabetes Mellitus","Unknown","95","1"
"Hypertension/High blood pressure","Female","22660","998"
"Hypertension/High blood pressure","Male","17855","1057"
"Hypertension/High blood pressure","Total","40616","2055"
"Hypertension/High blood pressure","Unknown","101","0"
"ICU","Female","5103","2039"
"ICU","Male","6484","2730"
"ICU","Total","11598","4770"
"ICU","Unknown","11","1"
"Immunocompromised Condition","Female","10114","589"
"Immunocompromised Condition","Male","5898","673"
"Immunocompromised Condition","Total","16036","1262"
"Immunocompromised Condition","Unknown","24","0"
"Missing/Unknown status on all conditions","Female","219556","864"
"Missing/Unknown status on all conditions","Male","202157","1039"
"Missing/Unknown status on all conditions","Total","429140","1907"
"Missing/Unknown status on all conditions","Unknown","7427","4"
"None of the above conditions","Female","290948","7317"
"None of the above conditions","Male","235758","8246"
"None of the above conditions","Total","528178","15565"
"None of the above conditions","Unknown","1472","2"
"Obesity (BMI>40)","Female","7944","223"
"Obesity (BMI>40)","Male","4309","192"
"Obesity (BMI>40)","Total","12273","415"
"Obesity (BMI>40)","Unknown","20","0"
"Other Chronic Diseases","Female","35585","2195"
"Other Chronic Diseases","Male","23394","2235"
"Other Chronic Diseases","Total","59097","4430"
"Other Chronic Diseases","Unknown","118","0"
"Smoker","Female","30298","751"
"Smoker","Male","37137","1427"
"Smoker","Total","67538","2178"
"Smoker","Unknown","103","0"
"Total with completed information","Female","301752","8005"
"Total with completed information","Male","245065","9027"
"Total with completed information","Total","548342","17035"
"Total with completed information","Unknown","1525","3"
