"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","135540","5007"
"Any Chronic Condition","Male","107307","5724"
"Any Chronic Condition","Total","243311","10733"
"Any Chronic Condition","Unknown","464","2"
"Any Disability","Female","9957","1385"
"Any Disability","Male","7695","1239"
"Any Disability","Total","17676","2624"
"Any Disability","Unknown","24","0"
"Cardiovascular Disease","Female","27410","2698"
"Cardiovascular Disease","Male","24989","3256"
"Cardiovascular Disease","Total","52465","5954"
"Cardiovascular Disease","Unknown","66","0"
"Chronic Liver Disease","Female","1528","136"
"Chronic Liver Disease","Male","1323","207"
"Chronic Liver Disease","Total","2857","343"
"Chronic Liver Disease","Unknown","6","0"
"Chronic Lung Disease","Female","35909","1395"
"Chronic Lung Disease","Male","22982","1454"
"Chronic Lung Disease","Total","58993","2849"
"Chronic Lung Disease","Unknown","102","0"
"Chronic Renal Disease","Female","5982","1139"
"Chronic Renal Disease","Male","5854","1427"
"Chronic Renal Disease","Total","11850","2566"
"Chronic Renal Disease","Unknown","14","0"
"Currently Pregnant","Female","6286","9"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","6291","9"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","31913","2072"
"Diabetes Mellitus","Male","27424","2537"
"Diabetes Mellitus","Total","59433","4611"
"Diabetes Mellitus","Unknown","96","2"
"Hypertension/High blood pressure","Female","24116","1053"
"Hypertension/High blood pressure","Male","18970","1116"
"Hypertension/High blood pressure","Total","43191","2170"
"Hypertension/High blood pressure","Unknown","105","1"
"ICU","Female","5263","2079"
"ICU","Male","6698","2781"
"ICU","Total","11978","4862"
"ICU","Unknown","17","2"
"Immunocompromised Condition","Female","10003","584"
"Immunocompromised Condition","Male","5843","671"
"Immunocompromised Condition","Total","15864","1255"
"Immunocompromised Condition","Unknown","18","0"
"Missing/Unknown status on all conditions","Female","262036","916"
"Missing/Unknown status on all conditions","Male","241072","1080"
"Missing/Unknown status on all conditions","Total","511023","1998"
"Missing/Unknown status on all conditions","Unknown","7915","2"
"None of the above conditions","Female","304529","7562"
"None of the above conditions","Male","245146","8544"
"None of the above conditions","Total","551106","16107"
"None of the above conditions","Unknown","1431","1"
"Obesity (BMI>40)","Female","8467","234"
"Obesity (BMI>40)","Male","4614","203"
"Obesity (BMI>40)","Total","13102","437"
"Obesity (BMI>40)","Unknown","21","0"
"Other Chronic Diseases","Female","36058","2209"
"Other Chronic Diseases","Male","23664","2258"
"Other Chronic Diseases","Total","59835","4468"
"Other Chronic Diseases","Unknown","113","1"
"Smoker","Female","31557","767"
"Smoker","Male","38178","1452"
"Smoker","Total","69834","2219"
"Smoker","Unknown","99","0"
"Total with completed information","Female","316478","8263"
"Total with completed information","Male","255232","9331"
"Total with completed information","Total","573202","17596"
"Total with completed information","Unknown","1492","2"
