"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","53411","2437"
"Any Chronic Condition","Male","43743","2707"
"Any Chronic Condition","Total","97466","5145"
"Any Chronic Condition","Unknown","312","1"
"Cardiovascular Disease","Female","16810","1567"
"Cardiovascular Disease","Male","14406","1764"
"Cardiovascular Disease","Total","31280","3331"
"Cardiovascular Disease","Unknown","64","0"
"Chronic Liver Disease","Female","658","68"
"Chronic Liver Disease","Male","588","99"
"Chronic Liver Disease","Total","1248","167"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","15446","721"
"Chronic Lung Disease","Male","9736","719"
"Chronic Lung Disease","Total","25282","1440"
"Chronic Lung Disease","Unknown","100","0"
"Chronic Renal Disease","Female","3116","615"
"Chronic Renal Disease","Male","2850","714"
"Chronic Renal Disease","Total","5981","1329"
"Chronic Renal Disease","Unknown","15","0"
"Currently Pregnant","Female","2723","5"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","2728","5"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","15524","1025"
"Diabetes Mellitus","Male","13084","1263"
"Diabetes Mellitus","Total","28688","2289"
"Diabetes Mellitus","Unknown","80","1"
"ICU","Female","2825","1057"
"ICU","Male","3595","1436"
"ICU","Total","6434","2495"
"ICU","Unknown","14","2"
"Immunocompromised Condition","Female","5139","299"
"Immunocompromised Condition","Male","3172","355"
"Immunocompromised Condition","Total","8326","654"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","83627","652"
"Missing/Unknown status on all conditions","Male","79171","740"
"Missing/Unknown status on all conditions","Total","167700","1394"
"Missing/Unknown status on all conditions","Unknown","4902","2"
"Neurologic/Neurodevelopmental","Female","3905","721"
"Neurologic/Neurodevelopmental","Male","2674","617"
"Neurologic/Neurodevelopmental","Total","6601","1338"
"Neurologic/Neurodevelopmental","Unknown","22","0"
"None of the above conditions","Female","128249","3090"
"None of the above conditions","Male","103546","3280"
"None of the above conditions","Total","232854","6371"
"None of the above conditions","Unknown","1059","1"
"Other Chronic Diseases","Female","8346","770"
"Other Chronic Diseases","Male","5306","753"
"Other Chronic Diseases","Total","13697","1523"
"Other Chronic Diseases","Unknown","45","0"
"Smoker","Female","13639","331"
"Smoker","Male","17541","656"
"Smoker","Total","31267","987"
"Smoker","Unknown","87","0"
"Total with completed information","Female","133783","3520"
"Total with completed information","Male","108429","3778"
"Total with completed information","Total","243302","7300"
"Total with completed information","Unknown","1090","2"
