county_resident,positive,deaths,hospitalization,case_rate
Appling,1010,26,89,5441.52
Atkinson,435,3,56,5222.09
Bacon,592,10,45,5191.16
Baker,78,3,17,2503.21
Baldwin,2058,55,153,4632.21
Banks,470,7,65,2352.12
Barrow,2103,46,233,2434.51
Bartow,2808,82,275,2534.96
Ben Hill,740,20,79,4445.78
Berrien,439,11,20,2277.44
Bibb,5963,157,830,3919.16
Bleckley,427,19,25,3326.06
Brantley,343,10,32,1786.27
Brooks,512,27,55,3255.55
Bryan,1067,11,75,2726.32
Bulloch,2788,25,129,3508.37
Burke,767,9,83,3433
Butts,630,42,52,2502.58
Calhoun,233,7,45,3688.46
Camden,1239,7,50,2297.68
Candler,422,17,28,3894.07
Carroll,2649,63,151,2205.31
Catoosa,1108,17,74,1611.14
Charlton,614,6,22,4633.61
Chatham,8142,146,741,2786.68
Chattahoochee,1626,1,13,15126.99
Chattooga,725,12,50,2927.4
Cherokee,5786,91,474,2170.15
Clarke,4890,41,204,3767.94
Clay,120,2,9,4203.15
Clayton,7043,158,648,2310.41
Clinch,368,6,28,5528.85
Cobb,19092,421,1716,2414.91
Coffee,1982,43,293,4604.8
Colquitt,1911,33,153,4209.9
Columbia,3637,57,178,2292.74
Cook,542,12,57,3108.33
Coweta,2513,41,123,1653.28
Crawford,165,4,25,1349.36
Crisp,532,17,69,2386.83
Dade,274,5,20,1695.33
Dawson,795,6,73,2942.16
DeKalb,18110,349,2030,2283.29
Decatur,1115,27,84,4236
Dodge,401,11,37,1967.13
Dooly,326,14,50,2432.84
Dougherty,3126,182,633,3477
Douglas,3447,70,398,2269.17
Early,474,32,37,4671.79
Echols,239,2,9,6021.67
Effingham,1380,23,89,2155.37
Elbert,596,3,37,3145.95
Emanuel,998,29,74,4403.46
Evans,415,6,32,3883.22
Fannin,598,12,44,2272.04
Fayette,1752,49,97,1490.51
Floyd,2984,40,221,2986.51
Forsyth,3751,42,304,1485.5
Franklin,726,11,55,3112.01
Fulton,27080,564,2337,2463.65
Gilmer,794,11,76,2527.29
Glascock,37,2,4,1223.14
Glynn,3419,94,273,3973.41
Gordon,1791,36,111,3085.32
Grady,760,21,90,3096.98
Greene,492,23,55,2628.63
Gwinnett,26678,391,2618,2747.07
Habersham,1563,66,208,3412.66
Hall,8827,144,927,4277.7
Hancock,388,41,63,4735.75
Haralson,444,8,26,1445.22
Harris,777,21,87,2238.42
Hart,486,13,62,1861.57
Heard,189,5,14,1527.89
Henry,4994,98,196,2082
Houston,3058,77,366,1947.29
Irwin,285,4,35,3021.31
Jackson,1894,30,152,2535.48
Jasper,210,4,20,1478.98
Jeff Davis,704,19,45,4647.48
Jefferson,775,23,74,5061.06
Jenkins,398,29,63,4640.86
Johnson,411,22,56,4254.22
Jones,532,8,46,1860.73
Lamar,351,17,38,1814.23
Lanier,294,5,15,2840.31
Laurens,1587,62,134,3355.46
Lee,698,25,102,2328.92
Liberty,1064,22,106,1718.79
Lincoln,212,7,24,2609.23
Long,231,3,18,1159.93
Lowndes,3818,76,194,3238.94
Lumpkin,881,14,88,2606.35
Macon,227,10,46,1747.77
Madison,667,8,54,2210.29
Marion,187,8,20,2254.91
McDuffie,580,13,67,2685.56
McIntosh,282,7,28,1935.88
Meriwether,536,12,69,2549.95
Miller,243,1,10,4215.82
Mitchell,782,45,142,3545.52
Monroe,660,48,81,2380.35
Montgomery,292,5,21,3165.65
Morgan,472,2,35,2466.3
Murray,796,5,51,1977.1
Muscogee,5874,163,646,3065.35
Newton,2535,80,257,2256.26
Non-GA Resident/Unknown State,17364,149,613,0
Oconee,716,26,59,1715.5
Oglethorpe,319,11,44,2093.18
Paulding,2717,49,139,1574.69
Peach,659,21,101,2407.31
Pickens,603,10,55,1798.39
Pierce,591,17,77,3023.79
Pike,315,9,27,1670.2
Polk,1409,17,95,3240.42
Pulaski,310,13,37,2845.86
Putnam,676,23,70,3088.87
Quitman,32,1,6,1394.94
Rabun,321,7,43,1889.79
Randolph,331,28,55,4900.8
Richmond,6900,153,547,3411.79
Rockdale,1817,35,212,1913.44
Schley,104,2,15,1971.56
Screven,389,9,41,2798.56
Seminole,347,9,23,4262.9
Spalding,1289,56,181,1865.14
Stephens,1017,33,103,3862.81
Stewart,462,13,79,7537.93
Sumter,919,60,195,3125.96
Talbot,159,5,22,2582.01
Taliaferro,21,0,2,1286.76
Tattnall,792,9,58,3116.76
Taylor,205,9,30,2576.02
Telfair,379,17,39,2422.65
Terrell,326,31,74,3850.24
Thomas,1476,58,164,3322
Tift,1697,56,218,4156.26
Toombs,1279,43,97,4740.02
Towns,304,8,37,2526.18
Treutlen,244,8,25,3573
Troup,2758,93,304,3916.83
Turner,293,22,48,3628.03
Twiggs,184,7,44,2275.54
Union,675,17,74,2664.3
Unknown,2386,5,59,0
Upson,755,59,76,2873.24
Walker,1470,30,75,2111.77
Walton,1742,53,172,1818.11
Ware,1465,53,169,4086.13
Warren,136,5,23,2610.36
Washington,654,8,47,3221.36
Wayne,1092,27,99,3643.16
Webster,43,2,10,1686.27
Wheeler,322,11,19,4071.31
White,727,17,92,2289.19
Whitfield,4457,60,236,4258.06
Wilcox,245,20,50,2787.26
Wilkes,260,4,29,2596.37
Wilkinson,332,17,59,3722.39
Worth,523,29,88,2596.56
