"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","149922","5775"
"Any Chronic Condition","Male","118412","6620"
"Any Chronic Condition","Total","268689","12400"
"Any Chronic Condition","Unknown","355","5"
"Any Disability","Female","11049","1503"
"Any Disability","Male","8775","1368"
"Any Disability","Total","19847","2871"
"Any Disability","Unknown","23","0"
"Cardiovascular Disease","Female","28930","2945"
"Cardiovascular Disease","Male","26469","3588"
"Cardiovascular Disease","Total","55446","6536"
"Cardiovascular Disease","Unknown","47","3"
"Chronic Liver Disease","Female","1692","157"
"Chronic Liver Disease","Male","1479","234"
"Chronic Liver Disease","Total","3173","391"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","40249","1631"
"Chronic Lung Disease","Male","25931","1656"
"Chronic Lung Disease","Total","66259","3288"
"Chronic Lung Disease","Unknown","79","1"
"Chronic Renal Disease","Female","6509","1275"
"Chronic Renal Disease","Male","6317","1594"
"Chronic Renal Disease","Total","12836","2871"
"Chronic Renal Disease","Unknown","10","2"
"Currently Pregnant","Female","7458","13"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7461","13"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","34596","2382"
"Diabetes Mellitus","Male","29602","2907"
"Diabetes Mellitus","Total","64266","5293"
"Diabetes Mellitus","Unknown","68","4"
"Hypertension/High blood pressure","Female","29117","1463"
"Hypertension/High blood pressure","Male","22816","1605"
"Hypertension/High blood pressure","Total","52021","3069"
"Hypertension/High blood pressure","Unknown","88","1"
"ICU","Female","5994","2498"
"ICU","Male","7564","3345"
"ICU","Total","13585","5847"
"ICU","Unknown","27","4"
"Immunocompromised Condition","Female","9584","576"
"Immunocompromised Condition","Male","5588","655"
"Immunocompromised Condition","Total","15183","1231"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","312646","1130"
"Missing/Unknown status on all conditions","Male","290750","1270"
"Missing/Unknown status on all conditions","Total","611958","2401"
"Missing/Unknown status on all conditions","Unknown","8562","1"
"None of the above conditions","Female","349880","9770"
"None of the above conditions","Male","280097","11220"
"None of the above conditions","Total","631346","20998"
"None of the above conditions","Unknown","1369","8"
"Obesity (BMI>40)","Female","10488","346"
"Obesity (BMI>40)","Male","5723","316"
"Obesity (BMI>40)","Total","16229","662"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","37405","2382"
"Other Chronic Diseases","Male","24485","2410"
"Other Chronic Diseases","Total","61963","4792"
"Other Chronic Diseases","Unknown","73","0"
"Smoker","Female","35604","903"
"Smoker","Male","42329","1661"
"Smoker","Total","78020","2565"
"Smoker","Unknown","87","1"
"Total with completed information","Female","363332","10547"
"Total with completed information","Male","291061","12083"
"Total with completed information","Total","655804","22641"
"Total with completed information","Unknown","1411","11"
