"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1061","US-13001","13","1","18561","97","30","5716.29","161.63","269.38","50"
"Atkinson","448","US-13003","13","3","8330","58","3","5378.15","36.01","156.06","13"
"Bacon","604","US-13005","13","5","11404","47","14","5296.39","122.76","122.76","14"
"Baker","84","US-13007","13","7","3116","20","4","2695.76","128.37","128.37","4"
"Baldwin","2145","US-13009","13","9","44428","167","58","4828.04","130.55","263.35","117"
"Banks","503","US-13011","13","11","19982","68","8","2517.27","40.04","155.14","31"
"Barrow","2274","US-13013","13","13","86383","247","48","2632.46","55.57","189.85","164"
"Bartow","3007","US-13015","13","15","110771","301","88","2714.61","79.44","175.14","194"
"Ben Hill","807","US-13017","13","17","16645","81","26","4848.3","156.2","426.55","71"
"Berrien","461","US-13019","13","19","19276","22","12","2391.58","62.25","103.76","20"
"Bibb","6136","US-13021","13","21","152150","858","177","4032.86","116.33","139.99","213"
"Bleckley","447","US-13023","13","23","12838","27","21","3481.85","163.58","163.58","21"
"Brantley","351","US-13025","13","25","19202","33","10","1827.93","52.08","46.87","9"
"Brooks","526","US-13027","13","27","15727","55","26","3344.57","165.32","95.38","15"
"Bryan","1175","US-13029","13","29","39137","81","11","3002.27","28.11","171.19","67"
"Bulloch","2922","US-13031","13","31","79467","132","28","3677","35.23","133.39","106"
"Burke","843","US-13033","13","33","22342","87","10","3773.16","44.76","331.21","74"
"Butts","684","US-13035","13","35","25174","54","43","2717.09","170.81","202.59","51"
"Calhoun","250","US-13037","13","37","6317","47","9","3957.57","142.47","284.95","18"
"Camden","1329","US-13039","13","39","53924","57","13","2464.58","24.11","161.34","87"
"Candler","475","US-13043","13","43","10837","32","20","4383.13","184.55","516.75","56"
"Carroll","2874","US-13045","13","45","120119","160","70","2392.63","58.28","153.18","184"
"Catoosa","1237","US-13047","13","47","68771","79","20","1798.72","29.08","186.12","128"
"Charlton","641","US-13049","13","49","13251","26","9","4837.37","67.92","196.21","26"
"Chatham","8652","US-13051","13","51","292176","782","168","2961.23","57.5","160.52","469"
"Chattahoochee","1683","US-13053","13","53","10749","13","1","15657.27","9.3","595.4","64"
"Chattooga","812","US-13055","13","55","24766","58","22","3278.69","88.83","335.14","83"
"Cherokee","6239","US-13057","13","57","266617","497","93","2340.06","34.88","153.03","408"
"Clarke","5198","US-13059","13","59","129779","231","45","4005.27","34.67","210.36","273"
"Clay","121","US-13061","13","61","2855","9","3","4238.18","105.08","35.03","1"
"Clayton","7178","US-13063","13","63","304838","648","162","2354.69","53.14","89.88","274"
"Clinch","390","US-13065","13","65","6656","28","9","5859.38","135.22","330.53","22"
"Cobb","20010","US-13067","13","67","790588","1816","429","2531.03","54.26","106.88","845"
"Coffee","2096","US-13069","13","69","43042","310","52","4869.66","120.81","260.21","112"
"Colquitt","1915","US-13071","13","71","45393","156","35","4218.71","77.1","127.77","58"
"Columbia","3853","US-13073","13","73","158631","186","62","2428.91","39.08","134.9","214"
"Cook","555","US-13075","13","75","17437","61","14","3182.89","80.29","80.29","14"
"Coweta","2669","US-13077","13","77","152001","134","50","1755.91","32.89","74.34","113"
"Crawford","170","US-13079","13","79","12228","27","5","1390.25","40.89","40.89","5"
"Crisp","585","US-13081","13","81","22289","73","18","2624.61","80.76","228.81","51"
"Dade","290","US-13083","13","83","16162","21","5","1794.33","30.94","80.44","13"
"Dawson","848","US-13085","13","85","27021","76","8","3138.3","29.61","173.94","47"
"DeKalb","19128","US-13089","13","89","793154","2137","371","2411.64","46.78","95.19","755"
"Decatur","1206","US-13087","13","87","26322","92","29","4581.72","110.17","372.31","98"
"Dodge","439","US-13091","13","91","20385","42","12","2153.54","58.87","176.6","36"
"Dooly","346","US-13093","13","93","13400","52","14","2582.09","104.48","149.25","20"
"Dougherty","3170","US-13095","13","95","89905","649","188","3525.94","209.11","57.84","52"
"Douglas","3671","US-13097","13","97","151906","422","69","2416.63","45.42","140.88","214"
"Early","513","US-13099","13","99","10146","37","33","5056.18","325.25","453.38","46"
"Echols","242","US-13101","13","101","3969","9","2","6097.25","50.39","75.59","3"
"Effingham","1506","US-13103","13","103","64026","99","26","2352.17","40.61","203.04","130"
"Elbert","709","US-13105","13","105","18945","46","5","3742.41","26.39","575.35","109"
"Emanuel","1102","US-13107","13","107","22664","79","32","4862.34","141.19","397.11","90"
"Evans","432","US-13109","13","109","10687","39","6","4042.29","56.14","187.14","20"
"Fannin","709","US-13111","13","111","26320","59","25","2693.77","94.98","395.14","104"
"Fayette","1922","US-13113","13","113","117544","108","52","1635.13","44.24","136.12","160"
"Floyd","3313","US-13115","13","115","99916","253","47","3315.79","47.04","307.26","307"
"Forsyth","4211","US-13117","13","117","252507","329","47","1667.68","18.61","90.69","229"
"Franklin","775","US-13119","13","119","23329","60","13","3322.05","55.72","300.06","70"
"Fulton","28096","US-13121","13","121","1099181","2454","579","2556.08","52.68","101.17","1112"
"Gilmer","859","US-13123","13","123","31417","80","13","2734.19","41.38","216.44","68"
"Glascock","40","US-13125","13","125","3025","4","2","1322.31","66.12","66.12","2"
"Glynn","3520","US-13127","13","127","86047","293","96","4090.79","111.57","126.67","109"
"Gordon","1912","US-13129","13","129","58049","120","40","3293.77","68.91","208.44","121"
"Grady","807","US-13131","13","131","24540","93","23","3288.51","93.72","252.65","62"
"Greene","516","US-13133","13","133","18717","58","24","2756.85","128.23","106.85","20"
"Gwinnett","28074","US-13135","13","135","971145","2725","414","2890.81","42.63","132.63","1288"
"Habersham","1733","US-13137","13","137","45800","228","71","3783.84","155.02","331.88","152"
"Hall","9618","US-13139","13","139","206349","989","158","4661.04","76.57","292.22","603"
"Hancock","399","US-13141","13","141","8193","66","43","4870.01","524.84","170.88","14"
"Haralson","518","US-13143","13","143","30722","29","9","1686.09","29.29","237.61","73"
"Harris","805","US-13145","13","145","34712","88","22","2319.08","63.38","63.38","22"
