"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","154451","5996"
"Any Chronic Condition","Male","122001","6868"
"Any Chronic Condition","Total","276811","12870"
"Any Chronic Condition","Unknown","359","6"
"Any Disability","Female","11459","1564"
"Any Disability","Male","9161","1407"
"Any Disability","Total","20646","2971"
"Any Disability","Unknown","26","0"
"Cardiovascular Disease","Female","29394","3034"
"Cardiovascular Disease","Male","26946","3696"
"Cardiovascular Disease","Total","56387","6734"
"Cardiovascular Disease","Unknown","47","4"
"Chronic Liver Disease","Female","1750","162"
"Chronic Liver Disease","Male","1540","246"
"Chronic Liver Disease","Total","3292","408"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","41529","1702"
"Chronic Lung Disease","Male","26795","1726"
"Chronic Lung Disease","Total","68415","3430"
"Chronic Lung Disease","Unknown","91","2"
"Chronic Renal Disease","Female","6669","1318"
"Chronic Renal Disease","Male","6464","1641"
"Chronic Renal Disease","Total","13144","2962"
"Chronic Renal Disease","Unknown","11","3"
"Currently Pregnant","Female","7816","21"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7821","21"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","35433","2481"
"Diabetes Mellitus","Male","30284","3005"
"Diabetes Mellitus","Total","65784","5490"
"Diabetes Mellitus","Unknown","67","4"
"Hypertension/High blood pressure","Female","30803","1604"
"Hypertension/High blood pressure","Male","24142","1759"
"Hypertension/High blood pressure","Total","55032","3364"
"Hypertension/High blood pressure","Unknown","87","1"
"ICU","Female","6209","2616"
"ICU","Male","7834","3487"
"ICU","Total","14071","6108"
"ICU","Unknown","28","5"
"Immunocompromised Condition","Female","9351","555"
"Immunocompromised Condition","Male","5431","619"
"Immunocompromised Condition","Total","14793","1174"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","312527","1132"
"Missing/Unknown status on all conditions","Male","291547","1289"
"Missing/Unknown status on all conditions","Total","612434","2422"
"Missing/Unknown status on all conditions","Unknown","8360","1"
"None of the above conditions","Female","362511","10112"
"None of the above conditions","Male","290749","11643"
"None of the above conditions","Total","654676","21764"
"None of the above conditions","Unknown","1416","9"
"Obesity (BMI>40)","Female","11249","404"
"Obesity (BMI>40)","Male","6137","362"
"Obesity (BMI>40)","Total","17403","766"
"Obesity (BMI>40)","Unknown","17","0"
"Other Chronic Diseases","Female","37909","2461"
"Other Chronic Diseases","Male","24821","2486"
"Other Chronic Diseases","Total","62805","4947"
"Other Chronic Diseases","Unknown","75","0"
"Smoker","Female","36872","944"
"Smoker","Male","43700","1759"
"Smoker","Total","80650","2704"
"Smoker","Unknown","78","1"
"Total with completed information","Female","375980","10905"
"Total with completed information","Male","301600","12507"
"Total with completed information","Total","679035","23425"
"Total with completed information","Unknown","1455","13"
