"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","152676","5941"
"Any Chronic Condition","Male","120571","6806"
"Any Chronic Condition","Total","273601","12753"
"Any Chronic Condition","Unknown","354","6"
"Any Disability","Female","11309","1547"
"Any Disability","Male","9005","1397"
"Any Disability","Total","20339","2944"
"Any Disability","Unknown","25","0"
"Cardiovascular Disease","Female","29225","3018"
"Cardiovascular Disease","Male","26740","3669"
"Cardiovascular Disease","Total","56011","6691"
"Cardiovascular Disease","Unknown","46","4"
"Chronic Liver Disease","Female","1726","161"
"Chronic Liver Disease","Male","1516","245"
"Chronic Liver Disease","Total","3244","406"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","41016","1687"
"Chronic Lung Disease","Male","26453","1708"
"Chronic Lung Disease","Total","67555","3397"
"Chronic Lung Disease","Unknown","86","2"
"Chronic Renal Disease","Female","6619","1311"
"Chronic Renal Disease","Male","6406","1628"
"Chronic Renal Disease","Total","13036","2942"
"Chronic Renal Disease","Unknown","11","3"
"Currently Pregnant","Female","7669","21"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7672","21"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","35099","2455"
"Diabetes Mellitus","Male","30005","2980"
"Diabetes Mellitus","Total","65171","5439"
"Diabetes Mellitus","Unknown","67","4"
"Hypertension/High blood pressure","Female","30152","1570"
"Hypertension/High blood pressure","Male","23581","1718"
"Hypertension/High blood pressure","Total","53820","3289"
"Hypertension/High blood pressure","Unknown","87","1"
"ICU","Female","6140","2591"
"ICU","Male","7742","3446"
"ICU","Total","13910","6042"
"ICU","Unknown","28","5"
"Immunocompromised Condition","Female","9450","562"
"Immunocompromised Condition","Male","5501","635"
"Immunocompromised Condition","Total","14962","1197"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","312071","1115"
"Missing/Unknown status on all conditions","Male","290850","1261"
"Missing/Unknown status on all conditions","Total","611339","2377"
"Missing/Unknown status on all conditions","Unknown","8418","1"
"None of the above conditions","Female","357256","10028"
"None of the above conditions","Male","286407","11544"
"None of the above conditions","Total","645049","21581"
"None of the above conditions","Unknown","1386","9"
"Obesity (BMI>40)","Female","10941","387"
"Obesity (BMI>40)","Male","5980","350"
"Obesity (BMI>40)","Total","16937","737"
"Obesity (BMI>40)","Unknown","16","0"
"Other Chronic Diseases","Female","37745","2442"
"Other Chronic Diseases","Male","24713","2471"
"Other Chronic Diseases","Total","62532","4913"
"Other Chronic Diseases","Unknown","74","0"
"Smoker","Female","36367","934"
"Smoker","Male","43157","1733"
"Smoker","Total","79604","2668"
"Smoker","Unknown","80","1"
"Total with completed information","Female","370705","10823"
"Total with completed information","Male","297278","12408"
"Total with completed information","Total","669409","23244"
"Total with completed information","Unknown","1426","13"
