"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","141092","5247"
"Any Chronic Condition","Male","111408","6025"
"Any Chronic Condition","Total","252861","11273"
"Any Chronic Condition","Unknown","361","1"
"Any Disability","Female","10353","1432"
"Any Disability","Male","8045","1298"
"Any Disability","Total","18422","2730"
"Any Disability","Unknown","24","0"
"Cardiovascular Disease","Female","28051","2771"
"Cardiovascular Disease","Male","25582","3373"
"Cardiovascular Disease","Total","53682","6144"
"Cardiovascular Disease","Unknown","49","0"
"Chronic Liver Disease","Female","1583","144"
"Chronic Liver Disease","Male","1381","217"
"Chronic Liver Disease","Total","2967","361"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","37572","1465"
"Chronic Lung Disease","Male","24112","1511"
"Chronic Lung Disease","Total","61757","2976"
"Chronic Lung Disease","Unknown","73","0"
"Chronic Renal Disease","Female","6223","1175"
"Chronic Renal Disease","Male","6049","1485"
"Chronic Renal Disease","Total","12281","2660"
"Chronic Renal Disease","Unknown","9","0"
"Currently Pregnant","Female","6793","11"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","6796","11"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","32952","2164"
"Diabetes Mellitus","Male","28204","2655"
"Diabetes Mellitus","Total","61230","4820"
"Diabetes Mellitus","Unknown","74","1"
"Hypertension/High blood pressure","Female","25869","1161"
"Hypertension/High blood pressure","Male","20294","1268"
"Hypertension/High blood pressure","Total","46257","2429"
"Hypertension/High blood pressure","Unknown","94","0"
"ICU","Female","5535","2218"
"ICU","Male","7027","2948"
"ICU","Total","12582","5167"
"ICU","Unknown","20","1"
"Immunocompromised Condition","Female","9928","580"
"Immunocompromised Condition","Male","5793","668"
"Immunocompromised Condition","Total","15736","1248"
"Immunocompromised Condition","Unknown","15","0"
"Missing/Unknown status on all conditions","Female","301628","1029"
"Missing/Unknown status on all conditions","Male","277592","1189"
"Missing/Unknown status on all conditions","Total","587713","2219"
"Missing/Unknown status on all conditions","Unknown","8493","1"
"None of the above conditions","Female","320888","8261"
"None of the above conditions","Male","257322","9388"
"None of the above conditions","Total","579419","17651"
"None of the above conditions","Unknown","1209","2"
"Obesity (BMI>40)","Female","9168","265"
"Obesity (BMI>40)","Male","4994","239"
"Obesity (BMI>40)","Total","14182","504"
"Obesity (BMI>40)","Unknown","20","0"
"Other Chronic Diseases","Female","36628","2250"
"Other Chronic Diseases","Male","23993","2305"
"Other Chronic Diseases","Total","60699","4555"
"Other Chronic Diseases","Unknown","78","0"
"Smoker","Female","33057","806"
"Smoker","Male","39640","1516"
"Smoker","Total","72779","2322"
"Smoker","Unknown","82","0"
"Total with completed information","Female","333966","8994"
"Total with completed information","Male","268163","10210"
"Total with completed information","Total","603392","19207"
"Total with completed information","Unknown","1263","3"
