"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","187756","6678"
"Any Chronic Condition","Male","143666","7784"
"Any Chronic Condition","Total","331835","14464"
"Any Chronic Condition","Unknown","413","2"
"Any Disability","Female","13722","1706"
"Any Disability","Male","11262","1617"
"Any Disability","Total","25019","3323"
"Any Disability","Unknown","35","0"
"Cardiovascular Disease","Female","32852","3318"
"Cardiovascular Disease","Male","30100","4099"
"Cardiovascular Disease","Total","62997","7418"
"Cardiovascular Disease","Unknown","45","1"
"Chronic Liver Disease","Female","2153","193"
"Chronic Liver Disease","Male","1824","295"
"Chronic Liver Disease","Total","3980","488"
"Chronic Liver Disease","Unknown","3","0"
"Chronic Lung Disease","Female","51064","1936"
"Chronic Lung Disease","Male","32464","1960"
"Chronic Lung Disease","Total","83652","3896"
"Chronic Lung Disease","Unknown","124","0"
"Chronic Renal Disease","Female","7718","1475"
"Chronic Renal Disease","Male","7487","1877"
"Chronic Renal Disease","Total","15215","3353"
"Chronic Renal Disease","Unknown","10","1"
"Currently Pregnant","Female","12756","27"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","12765","27"
"Currently Pregnant","Unknown","9","0"
"Diabetes Mellitus","Female","41177","2737"
"Diabetes Mellitus","Male","34731","3370"
"Diabetes Mellitus","Total","75989","6109"
"Diabetes Mellitus","Unknown","81","2"
"Hypertension/High blood pressure","Female","41289","2022"
"Hypertension/High blood pressure","Male","32127","2266"
"Hypertension/High blood pressure","Total","73520","4288"
"Hypertension/High blood pressure","Unknown","104","0"
"ICU","Female","7016","2948"
"ICU","Male","8895","3962"
"ICU","Total","15942","6912"
"ICU","Unknown","31","2"
"Immunocompromised Condition","Female","8887","530"
"Immunocompromised Condition","Male","5159","590"
"Immunocompromised Condition","Total","14055","1120"
"Immunocompromised Condition","Unknown","9","0"
"Missing/Unknown status on all conditions","Female","556141","1356"
"Missing/Unknown status on all conditions","Male","493495","1542"
"Missing/Unknown status on all conditions","Total","1062419","2900"
"Missing/Unknown status on all conditions","Unknown","12783","2"
"None of the above conditions","Female","484491","12448"
"None of the above conditions","Male","375908","14539"
"None of the above conditions","Total","862336","26987"
"None of the above conditions","Unknown","1937","0"
"Obesity (BMI>40)","Female","15096","497"
"Obesity (BMI>40)","Male","8018","465"
"Obesity (BMI>40)","Total","23144","962"
"Obesity (BMI>40)","Unknown","30","0"
"Other Chronic Diseases","Female","41241","2664"
"Other Chronic Diseases","Male","26745","2771"
"Other Chronic Diseases","Total","68049","5435"
"Other Chronic Diseases","Unknown","63","0"
"Smoker","Female","44358","1080"
"Smoker","Male","51158","2025"
"Smoker","Total","95600","3105"
"Smoker","Unknown","84","0"
"Total with completed information","Female","502673","13283"
"Total with completed information","Male","388159","15442"
"Total with completed information","Total","892811","28727"
"Total with completed information","Unknown","1979","2"
