"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","155362","6024"
"Any Chronic Condition","Male","122735","6901"
"Any Chronic Condition","Total","278453","12931"
"Any Chronic Condition","Unknown","356","6"
"Any Disability","Female","11525","1569"
"Any Disability","Male","9244","1418"
"Any Disability","Total","20796","2987"
"Any Disability","Unknown","27","0"
"Cardiovascular Disease","Female","29474","3046"
"Cardiovascular Disease","Male","27040","3713"
"Cardiovascular Disease","Total","56560","6763"
"Cardiovascular Disease","Unknown","46","4"
"Chronic Liver Disease","Female","1763","163"
"Chronic Liver Disease","Male","1548","250"
"Chronic Liver Disease","Total","3313","413"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","41791","1714"
"Chronic Lung Disease","Male","26986","1736"
"Chronic Lung Disease","Total","68867","3452"
"Chronic Lung Disease","Unknown","90","2"
"Chronic Renal Disease","Female","6692","1326"
"Chronic Renal Disease","Male","6485","1650"
"Chronic Renal Disease","Total","13188","2979"
"Chronic Renal Disease","Unknown","11","3"
"Currently Pregnant","Female","7888","22"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7893","22"
"Currently Pregnant","Unknown","5","0"
"Diabetes Mellitus","Female","35626","2492"
"Diabetes Mellitus","Male","30425","3019"
"Diabetes Mellitus","Total","66117","5515"
"Diabetes Mellitus","Unknown","66","4"
"Hypertension/High blood pressure","Female","31126","1616"
"Hypertension/High blood pressure","Male","24393","1777"
"Hypertension/High blood pressure","Total","55606","3394"
"Hypertension/High blood pressure","Unknown","87","1"
"ICU","Female","6241","2633"
"ICU","Male","7873","3505"
"ICU","Total","14142","6143"
"ICU","Unknown","28","5"
"Immunocompromised Condition","Female","9319","555"
"Immunocompromised Condition","Male","5410","617"
"Immunocompromised Condition","Total","14740","1172"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","313576","1134"
"Missing/Unknown status on all conditions","Male","292654","1288"
"Missing/Unknown status on all conditions","Total","614482","2423"
"Missing/Unknown status on all conditions","Unknown","8252","1"
"None of the above conditions","Female","365289","10174"
"None of the above conditions","Male","292957","11706"
"None of the above conditions","Total","659664","21889"
"None of the above conditions","Unknown","1418","9"
"Obesity (BMI>40)","Female","11389","407"
"Obesity (BMI>40)","Male","6214","368"
"Obesity (BMI>40)","Total","17620","775"
"Obesity (BMI>40)","Unknown","17","0"
"Other Chronic Diseases","Female","37986","2469"
"Other Chronic Diseases","Male","24876","2495"
"Other Chronic Diseases","Total","62936","4964"
"Other Chronic Diseases","Unknown","74","0"
"Smoker","Female","37127","950"
"Smoker","Male","43966","1772"
"Smoker","Total","81172","2723"
"Smoker","Unknown","79","1"
"Total with completed information","Female","378771","10967"
"Total with completed information","Male","303796","12570"
"Total with completed information","Total","684023","23550"
"Total with completed information","Unknown","1456","13"
