"comorbidity","sex","cases","deaths"
"Any Chronic Condition","Female","148594","5700"
"Any Chronic Condition","Male","117292","6522"
"Any Chronic Condition","Total","266234","12227"
"Any Chronic Condition","Unknown","348","5"
"Any Disability","Female","10927","1491"
"Any Disability","Male","8654","1357"
"Any Disability","Total","19602","2848"
"Any Disability","Unknown","21","0"
"Cardiovascular Disease","Female","28784","2915"
"Cardiovascular Disease","Male","26335","3556"
"Cardiovascular Disease","Total","55166","6474"
"Cardiovascular Disease","Unknown","47","3"
"Chronic Liver Disease","Female","1678","153"
"Chronic Liver Disease","Male","1458","230"
"Chronic Liver Disease","Total","3138","383"
"Chronic Liver Disease","Unknown","2","0"
"Chronic Lung Disease","Female","39879","1610"
"Chronic Lung Disease","Male","25671","1633"
"Chronic Lung Disease","Total","65628","3244"
"Chronic Lung Disease","Unknown","78","1"
"Chronic Renal Disease","Female","6474","1254"
"Chronic Renal Disease","Male","6273","1575"
"Chronic Renal Disease","Total","12757","2831"
"Chronic Renal Disease","Unknown","10","2"
"Currently Pregnant","Female","7369","15"
"Currently Pregnant","Male","0","0"
"Currently Pregnant","Total","7372","15"
"Currently Pregnant","Unknown","3","0"
"Diabetes Mellitus","Female","34345","2350"
"Diabetes Mellitus","Male","29352","2871"
"Diabetes Mellitus","Total","63763","5225"
"Diabetes Mellitus","Unknown","66","4"
"Hypertension/High blood pressure","Female","28610","1416"
"Hypertension/High blood pressure","Male","22380","1548"
"Hypertension/High blood pressure","Total","51078","2965"
"Hypertension/High blood pressure","Unknown","88","1"
"ICU","Female","5921","2453"
"ICU","Male","7495","3296"
"ICU","Total","13443","5753"
"ICU","Unknown","27","4"
"Immunocompromised Condition","Female","9634","576"
"Immunocompromised Condition","Male","5624","660"
"Immunocompromised Condition","Total","15269","1236"
"Immunocompromised Condition","Unknown","11","0"
"Missing/Unknown status on all conditions","Female","313198","1123"
"Missing/Unknown status on all conditions","Male","291107","1275"
"Missing/Unknown status on all conditions","Total","612924","2400"
"Missing/Unknown status on all conditions","Unknown","8619","2"
"None of the above conditions","Female","346089","9567"
"None of the above conditions","Male","276848","10991"
"None of the above conditions","Total","624282","20565"
"None of the above conditions","Unknown","1345","7"
"Obesity (BMI>40)","Female","10280","337"
"Obesity (BMI>40)","Male","5595","303"
"Obesity (BMI>40)","Total","15893","640"
"Obesity (BMI>40)","Unknown","18","0"
"Other Chronic Diseases","Female","37273","2351"
"Other Chronic Diseases","Male","24396","2379"
"Other Chronic Diseases","Total","61741","4730"
"Other Chronic Diseases","Unknown","72","0"
"Smoker","Female","35204","894"
"Smoker","Male","41864","1632"
"Smoker","Total","77151","2527"
"Smoker","Unknown","83","1"
"Total with completed information","Female","359567","10342"
"Total with completed information","Male","287851","11850"
"Total with completed information","Total","648805","22202"
"Total with completed information","Unknown","1387","10"
